N	3gram	Trubetskoy_1	Problema
1	тем не менее	3	10
2	в том что	3	9
3	той или иной	2	8
4	то же самое	2	7
5	в связи с	3	7
6	и в этом	2	6
7	во всяком случае	6	6
8	по крайней мере	5	5
9	в то же	2	4
10	бы то ни	2	4
11	то ни было	2	3
12	может быть даже	2	3
13	точно так же	3	3
14	о том что	4	3
15	в конце концов	3	3
16	может быть и	2	3
17	по сравнению с	2	2
18	то или иное	2	2
19	с точки зрения	6	2
20	можно сказать что	2	2
21	до сих пор	5	2
22	этой точки зрения	2	2
23	ничего общего с	2	2
24	в том виде	2	2
