N	2gram	Bakhtin_Pr_1	Istorich
1	и в	29	22
2	в этом	22	17
3	и т	4	16
4	т е	21	16
5	что в	8	15
6	не только	15	14
7	но и	14	12
8	и не	31	12
9	и пр	3	11
10	может быть	24	11
11	еще не	5	10
12	таким образом	12	10
13	но в	7	10
14	что он	8	9
15	в нем	19	9
16	что и	4	9
17	в том	8	9
18	с этим	2	8
19	том что	7	8
20	мы видим	2	8
21	как мы	4	8
22	другой стороны	3	7
23	с другой	3	7
24	но не	9	7
25	то что	15	7
26	уже не	13	7
27	и здесь	3	7
28	мы должны	3	7
29	так как	6	7
30	там где	10	7
31	связи с	2	6
32	в них	3	6
33	это не	9	6
34	мы уже	2	6
35	то и	2	6
36	а в	7	6
37	то же	14	6
38	а не	22	6
39	друг друга	3	6
40	ничего не	5	6
41	если бы	9	6
42	так что	2	5
43	до сих	2	5
44	есть и	2	5
45	один из	2	5
46	все же	9	5
47	что она	6	5
48	в свете	4	5
49	он не	5	5
50	здесь мы	2	5
51	сих пор	2	5
52	к нему	6	5
53	могут быть	6	5
54	в этой	4	5
55	в другой	3	4
56	не в	7	4
57	в пределах	13	4
58	только в	10	4
59	она не	7	4
60	они не	4	4
61	одним из	6	4
62	отношение к	2	4
63	его и	2	4
64	находится в	2	4
65	и его	14	4
66	и на	7	4
67	в данном	2	4
68	не может	12	4
69	но он	2	4
70	тем что	4	4
71	все эти	9	4
72	и с	4	4
73	я не	3	3
74	что герой	2	3
75	превращается в	4	3
76	в одной	6	3
77	и от	2	3
78	он все	2	3
79	о себе	12	3
80	прежде всего	7	3
81	от них	2	3
82	и к	2	3
83	как и	12	3
84	и как	7	3
85	но это	4	3
86	за ним	3	3
87	все что	3	3
88	у него	5	3
89	было бы	5	3
90	на его	2	3
91	в его	24	3
92	никогда не	3	3
93	в целом	6	3
94	данном случае	2	3
95	и у	3	3
96	так же	6	3
97	сказать что	3	3
98	потому что	8	3
99	он и	5	3
100	и ее	2	3
101	далеко не	3	3
102	его в	6	3
103	их в	4	3
104	героя с	3	2
105	не было	4	2
106	все время	2	2
107	всех этих	2	2
108	и есть	2	2
109	и др	5	2
110	друг другу	2	2
111	к более	2	2
112	что было	4	2
113	в особом	3	2
114	в одном	10	2
115	в жизни	2	2
116	вовсе не	7	2
117	вопрос о	2	2
118	во всяком	5	2
119	как таковой	2	2
120	же в	2	2
121	ни в	3	2
122	но все	5	2
123	но они	2	2
124	одна из	3	2
125	как в	6	2
126	при этом	2	2
127	не дает	3	2
128	ни один	3	2
129	на себя	2	2
130	например в	3	2
131	себе и	3	2
132	и о	5	2
133	они могут	2	2
134	в ней	2	2
135	его на	2	2
136	и потому	6	2
137	всяком случае	3	2
138	в котором	2	2
139	даже в	4	2
140	и уже	2	2
141	отношению к	8	2
142	и это	5	2
143	жизни и	2	2
144	так и	7	2
145	по отношению	8	2
146	в своем	8	2
147	той же	5	2
148	на самом	5	2
149	этот вопрос	2	2
150	и что	2	2
151	и даже	2	2
152	и для	4	2
153	в которых	2	2
154	со своими	2	2
155	между тем	5	2
156	точки зрения	19	2
157	в то	10	2
158	во все	2	2
159	как будто	3	2
160	большинстве случаев	2	2
161	героя не	5	2
162	же не	2	2
163	выйти за	2	2
