N	2gram	Savitsky_E_1	Stilisti
1	и в	37	42
2	как бы	6	27
3	не только	18	27
4	прежде всего	9	22
5	хотя бы	15	17
6	но и	14	15
7	то же	15	15
8	и не	14	14
9	может быть	6	12
10	не может	9	12
11	точки зрения	23	11
12	как и	7	11
13	и как	2	10
14	мы должны	2	10
15	отнюдь не	9	10
16	как мы	5	10
17	в этом	12	10
18	в то	16	9
19	то что	6	9
20	для того	6	9
21	мы не	4	9
22	в ней	4	8
23	таким образом	2	8
24	с тем	3	8
25	что же	2	8
26	тем самым	5	8
27	в себе	9	8
28	никогда не	3	7
29	и от	3	7
30	же время	14	7
31	и тем	3	7
32	и на	6	7
33	потому что	3	7
34	так как	7	7
35	было бы	8	7
36	а не	2	7
37	того чтобы	6	7
38	мы можем	3	7
39	только в	9	7
40	или иной	4	6
41	не в	5	6
42	в этой	2	6
43	в свою	3	6
44	во всех	6	6
45	в процессе	4	6
46	так и	10	6
47	в области	11	6
48	независимо от	4	5
49	не является	3	5
50	мы видели	3	5
51	а в	2	5
52	и с	2	5
53	и наконец	2	5
54	того или	4	5
55	как это	4	5
56	или иного	4	5
57	в его	2	5
58	вместе с	2	5
59	в той	5	5
60	с точки	17	5
61	что это	2	4
62	можно сказать	4	4
63	к тому	8	4
64	влияние на	2	4
65	свою очередь	2	4
66	в качестве	14	4
67	в самом	4	4
68	той или	4	4
69	точка зрения	2	4
70	того что	7	4
71	так же	9	4
72	о том	3	4
73	бы в	2	4
74	но в	14	4
75	если бы	2	4
76	и к	3	4
77	или иную	3	4
78	мы видим	2	4
79	ту или	3	4
80	всего в	2	4
81	можно было	3	4
82	и то	2	4
83	то есть	6	4
84	главным образом	2	3
85	приближается к	3	3
86	для нас	4	3
87	в будущем	3	3
88	и эта	2	3
89	хотя и	2	3
90	в котором	2	3
91	не к	2	3
92	из них	3	3
93	жизни и	2	3
94	заключает в	3	3
95	во второй	3	3
96	и даже	6	3
97	сказать что	4	3
98	ни на	3	3
99	и все	2	3
100	в одном	2	3
101	в ее	8	3
102	том что	6	3
103	в данной	3	3
104	что и	3	3
105	не будет	3	3
106	между ними	2	3
107	и для	3	3
108	долгое время	2	3
109	и поэтому	2	3
110	место в	3	2
111	бы и	3	2
112	в частности	5	2
113	но даже	4	2
114	в какой	2	2
115	вопрос о	4	2
116	не нужно	2	2
117	в мире	2	2
118	в том	11	2
119	иными словами	4	2
120	очевидно что	3	2
121	в пределах	25	2
122	несмотря на	4	2
123	в этих	2	2
124	не говоря	2	2
125	целый ряд	2	2
126	в отношении	32	2
127	случаях когда	2	2
128	этом отношении	3	2
129	в которых	3	2
130	в своих	2	2
131	также и	7	2
132	по своей	2	2
133	что эти	2	2
134	или хотя	2	2
135	для них	2	2
136	между собой	2	2
137	с этим	2	2
138	себе в	3	2
139	есть не	2	2
140	при условии	2	2
141	в идеологическом	2	2
142	представляет собой	3	2
143	но не	5	2
144	по своему	7	2
145	связано с	3	2
146	одной из	5	2
147	помнить что	2	2
148	и потому	5	2
149	и этот	2	2
150	не есть	2	2
151	как не	2	2
152	в своей	8	2
153	этот процесс	2	2
154	как в	3	2
155	в значительной	2	2
156	к нему	2	2
157	или в	2	2
158	этот вопрос	2	2
159	тем что	3	2
160	в каком	4	2
161	заметить что	2	2
