N	2gram	Propp_Morf_1	Vladivir
1	и в	13	30
2	то что	8	20
3	в этом	14	20
4	в том	6	18
5	и не	12	18
6	что он	4	13
7	том что	4	12
8	что в	8	12
9	не только	4	12
10	а в	7	11
11	как мы	6	11
12	сказать что	2	11
13	а также	4	10
14	не в	3	9
15	было бы	3	9
16	все же	7	9
17	потому что	3	9
18	не может	14	9
19	в то	3	9
20	связи с	10	8
21	но и	4	8
22	что же	2	8
23	в связи	9	8
24	но в	2	8
25	не менее	5	7
26	точки зрения	2	7
27	может быть	52	7
28	для нас	2	7
29	а не	11	7
30	как это	3	7
31	хотя и	3	6
32	к этому	3	6
33	прежде всего	9	6
34	и к	4	6
35	об этом	4	6
36	тем не	5	6
37	у нас	2	6
38	то время	3	6
39	только в	2	6
40	всяком случае	2	6
41	во всяком	2	6
42	также и	4	6
43	как и	3	5
44	то в	3	5
45	как бы	3	5
46	так и	6	5
47	с этим	11	5
48	и что	2	5
49	того что	3	5
50	в результате	7	5
51	все эти	2	5
52	так как	16	5
53	совсем не	3	4
54	с его	2	4
55	вовсе не	4	4
56	его в	2	4
57	можно сказать	2	4
58	что его	2	4
59	в этой	2	4
60	в целом	3	4
61	на его	4	4
62	несмотря на	4	4
63	он не	3	4
64	то это	3	4
65	в этих	13	4
66	со стороны	3	4
67	то же	7	4
68	так же	3	4
69	но это	6	4
70	в начале	3	4
71	мы должны	3	4
72	о том	2	4
73	здесь не	2	4
74	в которой	3	4
75	это было	3	4
76	учение о	3	3
77	мы будем	3	3
78	хотя бы	4	3
79	что и	7	3
80	по существу	12	3
81	и как	5	3
82	более или	2	3
83	но не	4	3
84	и для	2	3
85	с точки	2	3
86	сказать о	2	3
87	во всех	4	3
88	или менее	2	3
89	как в	3	3
90	а а	2	3
91	таким образом	21	3
92	здесь мы	3	3
93	уже не	2	3
94	в виде	2	3
95	но вот	2	3
96	в россии	2	3
97	к нему	3	2
98	в самых	2	2
99	этого не	2	2
100	здесь можно	3	2
101	с тем	2	2
102	и есть	2	2
103	однако в	2	2
104	это не	6	2
105	же они	2	2
106	в настоящее	3	2
107	к тому	4	2
108	на первый	3	2
109	на котором	3	2
110	увидим ниже	5	2
111	же в	2	2
112	без всякого	2	2
113	друг друга	3	2
114	из его	2	2
115	на этом	3	2
116	по своему	2	2
117	а то	3	2
118	есть и	4	2
119	настоящее время	3	2
120	она не	2	2
121	в сущности	3	2
122	в частности	2	2
123	мы пока	2	2
124	на то	2	2
125	для того	2	2
126	время как	3	2
127	не имеет	2	2
128	наряду с	5	2
129	можно назвать	3	2
130	его и	2	2
131	есть нечто	3	2
132	не на	2	2
133	того как	2	2
134	на другие	2	2
135	три года	3	2
136	но все	3	2
137	того чтобы	3	2
138	и по	2	2
139	то с	2	2
140	можно было	2	2
141	как будто	2	2
142	или по	2	2
143	что эти	2	2
144	ничего не	4	2
145	мы не	8	2
