N	2gram	Tiupa_Narr_1	StatiiOP
1	и в	19	29
2	том что	14	27
3	в том	18	27
4	в этом	17	21
5	но и	23	19
6	что в	3	19
7	не только	32	19
8	о том	6	17
9	что он	6	13
10	в его	9	13
11	то что	11	11
12	к тому	7	10
13	в своем	2	9
14	так и	9	9
15	этом отношении	3	9
16	и не	20	9
17	он не	3	9
18	как раз	2	8
19	но в	6	8
20	но все	4	7
21	в ней	3	7
22	не столько	4	7
23	одним из	2	6
24	все же	7	6
25	и его	5	6
26	и на	3	6
27	о чем	2	5
28	прежде всего	4	5
29	в той	6	5
30	в качестве	21	5
31	было бы	4	5
32	как бы	4	5
33	своего рода	12	5
34	а не	12	5
35	между тем	3	5
36	точки зрения	10	5
37	времени и	7	4
38	речь идет	4	4
39	именно в	6	4
40	в частности	14	4
41	что у	2	4
42	с другой	8	4
43	не в	14	4
44	для него	2	4
45	хотя и	3	4
46	в нем	4	4
47	ничего не	2	4
48	связи с	4	4
49	и с	4	4
50	в известном	2	3
51	не менее	3	3
52	же как	3	3
53	что это	3	3
54	не является	8	3
55	оно не	2	3
56	на себя	3	3
57	в полном	2	3
58	по себе	5	3
59	идет о	2	3
60	что на	2	3
61	ни в	3	3
62	не мог	4	3
63	тому же	5	3
64	обращает на	3	3
65	но не	5	3
66	одной из	4	3
67	например в	2	3
68	наконец в	2	3
69	в обоих	2	3
70	никогда не	3	3
71	и даже	3	3
72	не могло	2	3
73	из них	3	3
74	другой стороны	4	3
75	самом деле	2	3
76	как в	7	3
77	а с	3	3
78	не было	2	3
79	тем что	3	3
80	и сейчас	2	3
81	и он	3	3
82	хотя бы	4	3
83	так же	2	3
84	не то	2	3
85	с его	6	2
86	ни было	3	2
87	и др	2	2
88	в какой	2	2
89	если не	4	2
90	утверждать что	2	2
91	что именно	2	2
92	тем не	3	2
93	его как	2	2
94	в ее	3	2
95	говорит о	2	2
96	по существу	2	2
97	как и	7	2
98	то ни	3	2
99	и как	5	2
100	только о	2	2
101	в этой	5	2
102	что они	3	2
103	в то	3	2
104	о своей	2	2
105	как известно	2	2
106	несмотря на	2	2
107	такого рода	7	2
108	может быть	25	2
109	значительной степени	2	2
110	и потому	2	2
111	а также	7	2
112	даже в	2	2
113	нет и	2	2
114	сами по	2	2
115	только в	4	2
116	себя внимание	3	2
117	как говорит	3	2
118	бы то	3	2
119	со стороны	9	2
120	или менее	2	2
121	совершенно не	2	2
122	не на	2	2
123	не может	10	2
124	тогда как	12	2
125	в особенности	4	2
126	истории и	2	2
127	то же	4	2
128	все эти	2	2
129	при этом	9	2
130	в отличие	5	2
131	они не	2	2
132	более или	2	2
133	в значительной	2	2
134	не имеет	2	2
135	с точки	2	2
136	особенно в	3	2
137	для своей	2	2
138	в данном	5	2
139	в результате	2	2
140	сказать что	4	2
141	в себе	8	2
142	его в	2	2
143	как это	6	2
144	отличие от	5	2
145	в области	2	2
