N	2gram	Tiupa_Anal_1	slovoVRo
1	и в	18	41
2	в нем	3	30
3	и т	3	28
4	то есть	11	26
5	т п	3	23
6	могут быть	4	19
7	но и	17	16
8	и не	21	16
9	точки зрения	6	16
10	не только	15	16
11	а не	17	15
12	то же	9	14
13	в пределах	2	14
14	может быть	29	14
15	не может	22	14
16	и его	5	14
17	и на	5	14
18	в то	9	14
19	в сущности	6	13
20	в его	13	13
21	же время	6	12
22	как бы	5	12
23	в этом	13	12
24	так и	4	11
25	в той	8	10
26	или иной	6	9
27	той или	6	9
28	таким образом	3	9
29	все эти	2	9
30	себя в	6	9
31	прежде всего	6	8
32	на его	2	8
33	но в	8	8
34	как мы	2	8
35	с точки	4	8
36	не в	14	7
37	отношение к	2	7
38	с ним	4	7
39	на фоне	2	7
40	вовсе не	2	7
41	в своей	6	7
42	все же	4	7
43	того же	4	6
44	это не	6	6
45	при этом	12	6
46	а в	9	6
47	только в	6	6
48	с другой	4	5
49	национального языка	2	5
50	в самом	6	5
51	в основе	6	5
52	своего предмета	3	5
53	подхода к	3	5
54	и к	3	5
55	к нему	3	5
56	с другими	4	5
57	далеко не	6	5
58	или меньшей	4	4
59	большей или	4	4
60	одной стороны	3	4
61	одним из	3	4
62	один из	2	4
63	в их	5	4
64	за пределы	2	4
65	с одной	3	4
66	лишь в	5	4
67	и с	2	4
68	в которой	2	4
69	и все	3	4
70	с его	3	4
71	ли он	2	4
72	как и	13	4
73	еще не	3	4
74	и потому	2	4
75	о нем	3	4
76	к предмету	2	4
77	в процессе	2	4
78	другой стороны	2	4
79	автора и	3	4
80	смысла и	3	3
81	не могут	3	3
82	никогда не	2	3
83	хотя бы	3	3
84	из этих	2	3
85	к тому	7	3
86	в том	27	3
87	и сам	2	3
88	для него	2	3
89	из них	2	3
90	его и	2	3
91	данном случае	2	3
92	именно в	4	3
93	того что	4	3
94	также и	2	3
95	о том	5	3
96	в первом	2	3
97	так как	2	3
98	произведения как	7	3
99	романа в	2	3
100	бы ни	2	3
101	в себе	11	3
102	в качестве	31	3
103	было бы	2	3
104	он не	3	3
105	в свое	2	3
106	внутренней речи	5	3
107	в данном	2	3
108	более того	3	3
109	которые в	2	3
110	в частности	19	2
111	и одновременно	3	2
112	столь же	4	2
113	одного из	2	2
114	на все	2	2
115	том и	2	2
116	можно сказать	2	2
117	ни было	4	2
118	в широком	4	2
119	на этом	2	2
120	без другого	2	2
121	такого рода	5	2
122	для того	4	2
123	и по	2	2
124	в целом	5	2
125	как к	2	2
126	уже не	4	2
127	должно быть	2	2
128	широком смысле	2	2
129	потому что	2	2
130	того или	3	2
131	между тем	5	2
132	оно может	3	2
133	не является	2	2
134	в сознании	2	2
135	за пределами	2	2
136	а как	2	2
137	в котором	3	2
138	одному из	2	2
139	он может	2	2
140	между собой	2	2
141	первом случае	2	2
142	дело не	3	2
143	или иного	3	2
144	том что	12	2
145	не с	4	2
146	то в	2	2
147	но не	10	2
148	автора или	2	2
149	не предполагает	2	2
150	и о	2	2
151	а также	3	2
152	даже в	3	2
153	а с	3	2
154	на самом	2	2
155	не есть	8	2
156	той же	2	2
157	роль в	2	2
158	и то	2	2
159	в другом	4	2
160	жизни но	2	2
161	здесь не	2	2
