N	2gram	Berdyaev_O_1	Stilisti
1	и в	19	42
2	как бы	3	27
3	не только	11	27
4	прежде всего	9	22
5	хотя бы	3	17
6	но и	13	15
7	и не	13	14
8	может быть	11	12
9	не может	4	12
10	как и	6	11
11	в этом	12	10
12	то что	5	9
13	для того	3	9
14	все же	2	8
15	с тем	2	8
16	что же	2	8
17	в себе	3	8
18	никогда не	9	7
19	и от	3	7
20	и на	2	7
21	потому что	9	7
22	так как	2	7
23	с его	4	7
24	было бы	3	7
25	а не	11	7
26	того чтобы	4	7
27	и его	4	7
28	в которой	2	7
29	ничего не	2	7
30	не в	11	6
31	в этой	5	6
32	в нем	10	6
33	так и	2	6
34	уже в	2	5
35	своей жизни	2	5
36	а в	5	5
37	и с	2	5
38	в его	7	5
39	в самом	5	4
40	все это	6	4
41	того что	3	4
42	о том	3	4
43	его в	2	4
44	но в	2	4
45	и к	2	4
46	всего в	2	4
47	и то	2	4
48	что у	2	3
49	это не	3	3
50	хотя и	2	3
51	и вот	3	3
52	лишь в	7	3
53	сказать что	2	3
54	и все	10	3
55	природы он	2	3
56	в ее	2	3
57	том что	2	3
58	еще не	3	3
59	что и	2	3
60	и для	2	3
61	быть может	3	2
62	в душе	2	2
63	человека и	10	2
64	человека в	11	2
65	вопрос о	10	2
66	в том	5	2
67	из всего	2	2
68	и нет	2	2
69	для него	5	2
70	до конца	7	2
71	и все-таки	2	2
72	подойти к	2	2
73	в этих	3	2
74	отношение к	5	2
75	для всякого	2	2
76	человека все	2	2
77	не было	9	2
78	все эти	4	2
79	должно быть	2	2
80	его не	2	2
81	в своих	3	2
82	даже и	2	2
83	нет ничего	7	2
84	и ни	2	2
85	к этому	2	2
86	человек не	7	2
87	что он	3	2
88	и потому	2	2
89	не есть	2	2
90	в своей	2	2
91	природы и	2	2
92	и он	8	2
93	к нему	3	2
94	с ним	3	2
95	тем что	2	2
