N	2gram	Vinokur_Vv_1	Freidism
1	таким образом	19	24
2	и не	13	23
3	не может	13	20
4	точки зрения	7	19
5	прежде всего	8	18
6	в этом	34	15
7	в его	10	15
8	мы можем	2	13
9	может быть	24	13
10	и его	5	12
11	как и	5	11
12	как бы	5	11
13	то что	17	11
14	все эти	3	11
15	с точки	2	11
16	как мы	9	10
17	самом деле	6	10
18	его в	6	10
19	но в	10	10
20	и в	27	9
21	во всех	2	9
22	по отношению	4	9
23	что он	4	8
24	отношению к	4	8
25	еще не	4	8
26	в своей	4	8
27	не только	21	8
28	все это	6	8
29	то же	8	8
30	только в	13	8
31	так как	13	8
32	к нему	2	7
33	во всяком	3	7
34	один из	6	7
35	мы видели	2	7
36	отношение к	3	7
37	в самом	12	7
38	что же	3	7
39	сказать что	5	7
40	всяком случае	3	7
41	никогда не	3	6
42	вовсе не	6	6
43	и ее	4	6
44	того что	12	6
45	в ней	3	6
46	хотя бы	5	6
47	и с	2	6
48	на протяжении	2	6
49	он сам	3	5
50	можно сказать	3	5
51	не в	8	5
52	в этой	3	5
53	в чем	4	5
54	для этого	3	5
55	в то	5	5
56	что такое	10	5
57	что в	11	5
58	но и	5	5
59	для того	21	5
60	а в	5	5
61	и на	3	5
62	могут быть	4	5
63	с этим	2	5
64	не менее	8	4
65	но не	7	4
66	в котором	4	4
67	и др	2	4
68	в этих	3	4
69	из этих	5	4
70	в собственном	2	4
71	к тому	4	4
72	об этом	5	4
73	же время	5	4
74	на этом	3	4
75	смысле слова	7	4
76	при этом	3	4
77	от того	3	4
78	как раз	4	4
79	в нем	13	4
80	все же	8	4
81	данном случае	5	4
82	на основании	5	4
83	это только	4	4
84	между ними	2	4
85	уже не	5	4
86	того чтобы	21	4
87	и для	4	4
88	совсем не	3	4
89	той же	4	4
90	мы не	2	4
91	с их	5	4
92	в данном	11	4
93	этот вопрос	4	4
94	потому что	14	4
95	в более	2	4
96	говорить о	3	4
97	не могут	5	3
98	нисколько не	3	3
99	о которой	2	3
100	если бы	2	3
101	и есть	3	3
102	тому что	2	3
103	в них	4	3
104	во втором	2	3
105	всего к	2	3
106	а только	8	3
107	в себе	4	3
108	и как	9	3
109	учение о	2	3
110	по своему	5	3
111	было бы	5	3
112	в общем	12	3
113	что может	3	3
114	и той	2	3
115	себя в	2	3
116	жизни и	2	3
117	вместе с	6	3
118	этот процесс	3	3
119	собственном смысле	2	3
120	со стороны	12	3
121	и те	2	3
122	мысли и	2	3
123	одной и	2	3
124	и вот	3	3
125	этой области	3	3
126	и что	4	3
127	на этот	4	3
128	мы имеем	3	3
129	но ведь	4	3
130	одна из	2	3
131	не исчерпывается	2	2
132	есть и	4	2
133	в отношении	2	2
134	уже в	5	2
135	этого не	2	2
136	зависит от	3	2
137	но все	3	2
138	что это	3	2
139	быть и	2	2
140	них и	2	2
141	в какой	4	2
142	того же	3	2
143	с другой	8	2
144	это не	8	2
145	в конце	3	2
146	к этому	3	2
147	же самое	2	2
148	только о	2	2
149	и уже	3	2
150	тем не	8	2
151	в ее	11	2
152	до конца	3	2
153	да и	4	2
154	том что	26	2
155	на этой	3	2
156	в прошлом	2	2
157	не существует	2	2
158	а не	3	2
159	что с	3	2
160	одной стороны	4	2
161	отсюда и	2	2
162	из них	3	2
163	же касается	2	2
164	что мы	2	2
165	но если	3	2
166	конце концов	2	2
167	в своем	3	2
168	себе и	2	2
169	в этот	2	2
170	на почве	5	2
171	и до	2	2
172	ответ на	3	2
173	во второй	3	2
174	дело не	3	2
175	сих пор	5	2
176	что она	3	2
177	в их	11	2
178	только на	3	2
179	этом отношении	3	2
180	с одной	4	2
181	что оно	2	2
182	а потому	3	2
183	из того	2	2
184	в отличие	3	2
185	выводу что	5	2
186	свое выражение	3	2
187	и даже	5	2
188	так же	3	2
189	как на	11	2
190	рядом с	2	2
191	отличие от	3	2
192	и то	5	2
193	от этого	5	2
194	чем же	3	2
195	нуждается в	2	2
196	может оказаться	3	2
197	в своих	2	2
198	что и	3	2
199	и при	2	2
200	но как	2	2
201	в другом	3	2
202	и вообще	3	2
203	при помощи	2	2
204	в первом	5	2
205	до сих	5	2
206	когда мы	2	2
207	только с	3	2
208	как это	5	2
209	в области	4	2
210	в виду	4	2
