N	2gram	Nazirov_Vr_1	VLabPisa
1	таким образом	2	27
2	в этом	8	26
3	и в	8	25
4	не только	9	22
5	может быть	4	21
6	и не	5	19
7	т е	3	17
8	не может	2	17
9	в его	3	15
10	в письме	5	14
11	в том	3	13
12	все это	4	12
13	из них	2	11
14	письме к	4	10
15	о том	4	10
16	к этому	3	9
17	об этом	5	9
18	что в	7	9
19	для него	2	9
20	но и	7	9
21	то же	5	9
22	в своем	3	8
23	в году	18	7
24	же в	2	7
25	как и	6	7
26	том что	3	7
27	вместе с	2	7
28	он пишет	2	7
29	не было	5	7
30	у него	5	6
31	это не	4	6
32	в себе	2	6
33	то что	7	6
34	том же	2	6
35	в нем	6	6
36	и его	3	6
37	их в	2	6
38	между тем	5	6
39	в то	5	6
40	же время	5	5
41	все же	6	5
42	связи с	3	5
43	одним из	3	5
44	как бы	4	5
45	на основе	2	5
46	письме от	2	5
47	никогда не	2	4
48	что он	4	4
49	с его	3	4
50	в романе	6	4
51	одна из	2	4
52	в своей	2	4
53	в нашей	2	4
54	как раз	2	4
55	в них	2	4
56	в связи	3	4
57	в этой	2	4
58	во время	2	3
59	и ее	2	3
60	и как	3	3
61	в конце	3	3
62	п в	2	3
63	и образы	2	3
64	мы знаем	2	3
65	но как	2	3
66	мая года	2	3
67	у тургенева	11	3
68	далеко не	3	3
69	и он	2	3
70	в виду	4	3
71	в котором	6	3
72	его в	3	3
73	так же	4	3
74	точки зрения	2	3
75	в дневнике	4	3
76	при создании	2	3
77	не менее	2	2
78	он сам	2	2
79	с нею	2	2
80	еще не	2	2
81	тургенева и	18	2
82	апреля года	3	2
83	к ним	2	2
84	в ней	4	2
85	и даже	6	2
86	отнюдь не	2	2
87	при помощи	2	2
88	после этого	2	2
89	и достоевский	2	2
90	а в	2	2
91	начиная с	2	2
92	достоевского и	7	2
93	человека в	3	2
94	в своих	4	2
95	он не	3	2
96	марта года	3	2
97	на это	2	2
98	в чем	3	2
99	же как	2	2
100	о чем	2	2
101	но в	6	2
