N	2gram	Bakhtin_fo_1	Tragedij
1	и в	50	18
2	в романе	32	10
3	в этом	25	9
4	не только	9	8
5	и не	14	7
6	и на	8	7
7	и с	4	7
8	может быть	11	7
9	как бы	2	7
10	в образе	5	6
11	и его	16	6
12	же время	9	6
13	у него	6	6
14	но в	10	6
15	все же	6	5
16	к жизни	2	5
17	так и	12	5
18	это не	6	5
19	не может	6	5
20	то же	11	5
21	в дальнейшем	6	5
22	как и	8	5
23	в то	9	5
24	но и	8	4
25	то что	6	4
26	в целом	2	4
27	что в	5	4
28	все это	4	4
29	прежде всего	15	4
30	и все	6	4
31	в нем	24	4
32	и даже	2	4
33	так же	6	4
34	том что	4	4
35	в себе	3	4
36	еще не	5	4
37	этот образ	2	4
38	об этом	2	4
39	уже в	2	3
40	один из	3	3
41	с ее	6	3
42	отнюдь не	5	3
43	в своем	4	3
44	романа и	3	3
45	никто не	2	3
46	в конце	9	3
47	как в	6	3
48	все эти	9	3
49	жизнь и	4	3
50	и как	10	3
51	в основном	5	3
52	в его	13	3
53	для него	2	3
54	при этом	3	3
55	с ним	2	3
56	то есть	33	3
57	не имеет	4	2
58	и до	5	2
59	не могут	3	2
60	но они	3	2
61	что и	3	2
62	только к	3	2
63	раз и	2	2
64	в частности	6	2
65	в отличие	2	2
66	что все	2	2
67	а как	3	2
68	вопрос о	2	2
69	этого романа	4	2
70	но эта	3	2
71	уже не	2	2
72	с его	9	2
73	отношение к	2	2
74	к тому	3	2
75	между этими	4	2
76	времени в	7	2
77	ни в	8	2
78	в ее	6	2
79	в том	9	2
80	до конца	4	2
81	друг друга	3	2
82	отличие от	2	2
83	но все	5	2
84	в таком	3	2
85	не в	5	2
86	в данном	2	2
87	и то	4	2
88	одна из	2	2
89	потому что	4	2
90	с тем	3	2
91	тем что	2	2
92	личности и	2	2
93	в глаза	2	2
94	и ее	3	2
95	в это	2	2
96	его в	3	2
97	и это	4	2
98	нет в	2	2
99	в самом	8	2
100	этими двумя	3	2
101	ничего не	9	2
102	он не	5	2
103	в одном	3	2
104	никогда не	2	2
105	имеет в	2	2
