N	2gram	Vinokur_St_3	Literetu
1	и не	10	22
2	и в	25	16
3	х годов	2	15
4	не только	12	14
5	но и	9	14
6	в этом	24	14
7	а не	5	12
8	то что	12	12
9	может быть	19	12
10	в том	20	12
11	не в	6	10
12	такого рода	5	10
13	своего рода	3	10
14	я и	3	10
15	то же	5	9
16	так и	5	9
17	того что	5	9
18	в то	7	9
19	в жизни	4	8
20	том что	15	8
21	не может	7	8
22	в этой	14	8
23	как бы	6	8
24	в своей	4	7
25	же время	3	7
26	со стороны	3	7
27	точки зрения	7	7
28	только в	6	7
29	с его	3	6
30	состоит в	4	6
31	в стихах	2	6
32	с другой	5	6
33	в стихотворении	3	6
34	к тому	2	6
35	еще не	2	6
36	в его	12	6
37	и его	3	6
38	в другом	3	6
39	о том	8	6
40	в качестве	4	5
41	это не	7	5
42	в году	5	5
43	что он	19	5
44	как и	4	5
45	лишь в	4	5
46	в целом	4	5
47	вместе с	2	5
48	как в	6	5
49	а в	6	5
50	этом отношении	4	5
51	что я	3	5
52	то есть	2	5
53	в поэзии	2	5
54	место в	6	4
55	но не	2	4
56	в рамках	2	4
57	никогда не	2	4
58	до конца	3	4
59	одной стороны	3	4
60	и если	3	4
61	в начале	4	4
62	и для	4	4
63	с одной	2	4
64	а также	4	4
65	одно из	2	4
66	все время	2	3
67	для его	2	3
68	взгляд на	2	3
69	прежде всего	10	3
70	в г	12	3
71	то в	4	3
72	разумеется не	2	3
73	например в	4	3
74	и к	4	3
75	на его	4	3
76	в самом	2	3
77	и тем	4	3
78	с ее	2	3
79	в словах	3	3
80	уже не	3	3
81	самом деле	2	3
82	и наконец	3	3
83	с точки	4	3
84	как на	6	3
85	той же	2	3
86	потому что	5	3
87	в области	6	3
88	но в	5	3
89	между тем	6	3
90	с по	2	2
91	то она	2	2
92	что в	19	2
93	с чувством	2	2
94	не менее	2	2
95	если бы	4	2
96	все более	2	2
97	все они	3	2
98	что у	2	2
99	как о	2	2
100	с этой	3	2
101	не как	2	2
102	в конце	6	2
103	одного из	2	2
104	к этому	3	2
105	на то	5	2
106	или иной	2	2
107	и ее	2	2
108	а по	2	2
109	у нас	4	2
110	связи с	3	2
111	так чтобы	2	2
112	того же	2	2
113	во втором	2	2
114	в свою	2	2
115	для него	3	2
116	можно сказать	4	2
117	было бы	7	2
118	что не	2	2
119	несмотря на	3	2
120	во всех	2	2
121	том чтобы	2	2
122	нас к	2	2
123	себя и	2	2
124	один из	2	2
125	все же	4	2
126	отношение к	4	2
127	и тогда	2	2
128	как мы	2	2
129	внимание на	2	2
130	как раз	3	2
131	им в	2	2
132	как например	8	2
133	и только	2	2
134	быть не	2	2
135	для того	2	2
136	о которой	2	2
137	другой стороны	5	2
138	в своих	8	2
139	и на	6	2
140	отказ от	2	2
141	и с	4	2
142	тем что	19	2
143	он и	2	2
144	xix века	4	2
145	в каждой	2	2
146	ее в	2	2
