N	3gram	Losev_Prob_2	Myslijsy
1	в том что	4	13
2	не может быть	3	9
3	и в этом	3	6
4	тем не менее	12	6
5	только в том	4	6
6	с другой стороны	5	5
7	и т д	6	4
8	само по себе	2	4
9	но и в	3	4
10	только тогда когда	3	4
11	в этом смысле	5	4
12	с одной стороны	5	3
13	в то же	4	3
14	с самого начала	2	3
15	не только в	2	3
16	сама по себе	4	3
17	подобно тому как	2	3
18	и той же	2	3
19	одной и той	2	3
20	по крайней мере	6	2
21	уже с самого	2	2
22	друг от друга	2	2
23	в таком случае	10	2
24	что иное как	3	2
25	так что в	2	2
26	то есть если	2	2
27	бы то ни	2	2
28	не что иное	3	2
29	не только не	2	2
30	если бы не	3	2
31	для того чтобы	2	2
