N	2gram	Tiupa_Lite_3	VelikijI
1	и не	22	20
2	и в	16	16
3	свободы и	2	12
4	то что	12	9
5	еще не	6	8
6	и потому	2	7
7	а не	12	7
8	в мире	16	5
9	хотя и	4	5
10	как бы	8	5
11	но и	14	5
12	того что	9	5
13	на себя	2	5
14	что он	5	4
15	в нем	2	4
16	как и	5	4
17	так и	9	4
18	что не	2	4
19	потому что	3	4
20	в этом	14	4
21	в его	6	4
22	с тобою	2	3
23	с его	6	3
24	если не	2	3
25	что в	2	3
26	в конце	2	3
27	в жизни	8	3
28	в том	12	3
29	не в	10	3
30	за ним	2	3
31	что я	5	3
32	к тому	6	3
33	во всех	2	3
34	никогда не	4	3
35	оно не	2	3
36	то это	2	3
37	что и	2	3
38	жизни и	3	3
39	в своей	7	3
40	бы и	3	3
41	лишь в	5	3
42	и для	4	3
43	должно быть	4	3
44	но в	3	3
45	это не	5	2
46	прежде всего	3	2
47	том что	8	2
48	мы и	2	2
49	но не	4	2
50	для него	2	2
51	и сам	2	2
52	того чтобы	2	2
53	вслед за	3	2
54	не только	14	2
55	один из	2	2
56	не с	2	2
57	ее в	2	2
58	и тогда	2	2
59	тем что	2	2
60	уже не	3	2
61	а в	5	2
62	я говорю	2	2
63	между тем	3	2
64	только в	7	2
65	мира в	3	2
