N	2gram	Bakhtin_sl_1	Analitik
1	в этом	12	18
2	в частности	2	16
3	и в	41	16
4	не только	16	16
5	так и	11	15
6	как и	4	14
7	в том	3	12
8	но и	16	12
9	и не	16	12
10	том что	2	12
11	в качестве	3	11
12	могут быть	19	10
13	как бы	12	10
14	при этом	6	10
15	а не	15	10
16	в пределах	14	9
17	лишь в	4	9
18	и даже	6	9
19	ничего не	4	9
20	то есть	26	9
21	в данном	3	8
22	в целом	2	8
23	в сочетании	2	7
24	к тому	3	7
25	в себе	3	7
26	о том	3	7
27	а также	2	7
28	с другой	5	6
29	в самом	5	6
30	и на	14	6
31	может быть	14	6
32	но в	8	6
33	и к	5	5
34	в контексте	2	5
35	данном случае	3	5
36	с одной	4	5
37	в своем	3	4
38	столь же	2	4
39	можно сказать	2	4
40	у него	3	4
41	этом случае	2	4
42	уже не	2	4
43	не в	7	4
44	за пределы	4	4
45	но не	2	4
46	того же	6	4
47	для него	3	4
48	одной стороны	4	4
49	в сущности	13	4
50	по преимуществу	4	4
51	внутренней речи	3	4
52	и тем	2	4
53	не с	2	4
54	во всех	17	4
55	как в	8	4
56	все это	5	4
57	как раз	2	4
58	не может	14	4
59	на этом	2	4
60	и его	14	4
61	то же	14	4
62	хотя и	2	4
63	он в	5	4
64	точки зрения	16	4
65	только в	6	4
66	композиционная форма	2	4
67	в сознании	2	4
68	никогда не	3	3
69	одного из	2	3
70	на фоне	7	3
71	прежде всего	8	3
72	или иного	2	3
73	или иной	9	3
74	одной из	3	3
75	так что	2	3
76	было бы	3	3
77	и сам	3	3
78	со своим	5	3
79	на его	8	3
80	ни о	2	3
81	или в	8	3
82	той или	9	3
83	из них	3	3
84	в их	4	3
85	только на	2	3
86	и одновременно	2	3
87	именно в	3	3
88	того или	2	3
89	можно было	2	3
90	а в	6	3
91	как мы	8	3
92	с ними	3	3
93	и то	2	3
94	в результате	3	3
95	автора и	4	3
96	романа в	3	3
97	в эту	2	3
98	и все	4	3
99	а как	2	2
100	того что	3	2
101	вообще не	3	2
102	или даже	2	2
103	будучи по	2	2
104	в одном	2	2
105	от автора	3	2
106	что все	2	2
107	к этому	2	2
108	вовсе не	7	2
109	из своих	2	2
110	к своему	6	2
111	момент его	3	2
112	его как	2	2
113	или напротив	2	2
114	по существу	3	2
115	же время	12	2
116	она не	3	2
117	еще не	4	2
118	такого рода	2	2
119	в своей	7	2
120	в котором	2	2
121	к предмету	4	2
122	даже в	2	2
123	один из	4	2
124	не есть	2	2
125	с ее	4	2
126	себя в	9	2
127	дело не	2	2
128	другой стороны	4	2
129	языка и	12	2
130	таким образом	9	2
131	здесь в	4	2
132	той же	2	2
133	еще более	5	2
134	за пределами	2	2
135	те же	2	2
136	и слово	2	2
137	речи в	4	2
138	и для	4	2
139	с точки	8	2
140	высказывания и	2	2
141	так же	2	2
142	роль в	2	2
143	между тем	2	2
144	и во	3	2
145	он не	3	2
146	на протяжении	2	2
147	в то	14	2
148	в его	13	2
149	в поэзии	3	2
150	жизни но	2	2
151	его в	3	2
152	в этих	2	2
153	сказать что	2	2
154	с ним	7	2
155	произведения как	3	2
