N	2gram	Trubetskoy_1	KFilosof
1	может быть	10	43
2	в его	5	39
3	в нем	4	31
4	не может	4	27
5	и не	8	26
6	и в	26	22
7	в котором	4	21
8	отношению к	3	21
9	в себе	6	21
10	а не	5	17
11	только в	4	16
12	точки зрения	13	13
13	в этом	15	13
14	для него	3	12
15	но не	8	12
16	и это	2	12
17	все эти	6	11
18	не в	2	11
19	к нему	7	11
20	из себя	2	10
21	в своем	3	10
22	все это	6	10
23	во всех	2	10
24	с точки	6	10
25	но и	9	9
26	как бы	12	9
27	и все	2	9
28	и для	5	9
29	не было	2	8
30	лишь в	5	8
31	если бы	3	8
32	жизни и	2	8
33	и здесь	2	7
34	конечно не	2	7
35	что и	6	7
36	то что	7	7
37	в смысле	4	6
38	в том	11	6
39	отношение к	5	6
40	и только	4	6
41	в мире	5	6
42	и действительно	2	6
43	он не	4	6
44	уже не	3	6
45	никогда не	5	5
46	хотя бы	3	5
47	то же	4	5
48	но все	7	5
49	именно в	2	5
50	не имеет	5	5
51	но в	7	5
52	не только	10	5
53	все же	6	5
54	мы имеем	2	5
55	ко всему	2	5
56	что в	9	4
57	ни было	2	4
58	при этом	3	4
59	к ним	3	4
60	между тем	2	4
61	в одном	3	4
62	не как	2	4
63	том что	7	4
64	а в	4	4
65	и т.д	6	4
66	что это	3	3
67	не менее	3	3
68	из него	2	3
69	в свою	2	3
70	в виду	2	3
71	того что	3	3
72	и на	2	3
73	людей и	2	3
74	в то	4	3
75	о том	6	3
76	тогда когда	2	3
77	ясно что	3	3
78	по своему	2	3
79	культурные ценности	2	3
80	еще не	2	3
81	быть и	2	3
82	культуры и	3	3
83	для того	5	3
84	или иное	2	2
85	а с	7	2
86	то ни	2	2
87	прежде всего	2	2
88	или иной	2	2
89	ему в	2	2
90	тем не	3	2
91	и как	3	2
92	же время	2	2
93	выход из	2	2
94	для этого	2	2
95	ни у	2	2
96	потому что	7	2
97	той или	2	2
98	с его	2	2
99	с тем	18	2
100	к этому	3	2
101	что он	4	2
102	культура в	3	2
103	бы то	2	2
104	в качестве	3	2
105	ли это	2	2
106	тот же	2	2
107	со всеми	2	2
108	этот факт	2	2
109	и потому	6	2
110	в процессе	2	2
111	так и	6	2
112	в виде	4	2
113	если не	2	2
114	того чтобы	5	2
115	то или	2	2
116	в этой	4	2
117	ничего общего	2	2
118	не потому	2	2
119	в области	9	2
