N	2gram	Bakhtin_fo_2	Dialekti
1	и не	9	30
2	может быть	7	20
3	и в	46	19
4	не только	11	19
5	по себе	2	18
6	и т	14	17
7	а не	4	16
8	т д	3	15
9	в себе	4	15
10	то что	7	14
11	и даже	3	14
12	в том	10	14
13	как бы	10	14
14	так как	6	14
15	потому что	8	14
16	вовсе не	13	13
17	но и	9	12
18	то же	8	12
19	значит что	2	12
20	точки зрения	10	12
21	и все	6	12
22	как и	8	10
23	и как	3	10
24	в нем	5	10
25	так и	7	10
26	том что	4	10
27	это не	2	10
28	никогда не	6	9
29	не может	2	9
30	прежде всего	14	8
31	это значит	3	8
32	она не	2	8
33	мы уже	9	8
34	с точки	8	8
35	не в	9	8
36	в этом	22	8
37	как это	2	7
38	но это	2	7
39	и к	2	7
40	что в	5	7
41	должно быть	5	7
42	в поэзии	2	7
43	так что	4	7
44	пространства и	2	7
45	и та	2	6
46	в вечности	2	6
47	что он	3	6
48	что они	4	6
49	отнюдь не	4	6
50	в то	5	6
51	но не	5	6
52	есть и	4	6
53	конечно не	4	6
54	того что	3	6
55	жизни и	8	6
56	с другой	2	5
57	же время	4	5
58	по своему	2	5
59	можно сказать	2	5
60	и пр	2	5
61	и потому	2	5
62	и времени	6	5
63	что и	3	5
64	и это	2	5
65	в смысле	5	5
66	и его	12	5
67	тела и	5	5
68	жизнь и	3	5
69	говорить о	2	5
70	только в	11	5
71	о том	4	5
72	и с	6	5
73	в виду	3	5
74	уже в	4	4
75	и есть	2	4
76	а потом	2	4
77	в своем	5	4
78	та же	3	4
79	в одном	7	4
80	одна и	2	4
81	все же	6	4
82	при этом	6	4
83	еще не	6	4
84	он не	5	4
85	связи с	8	4
86	быть и	2	4
87	без всякого	2	4
88	все это	6	4
89	во времени	3	4
90	в связи	8	4
91	и только	2	4
92	таким образом	3	4
93	и вот	2	4
94	и по	3	4
95	а в	3	4
96	в одной	2	4
97	могут быть	2	4
98	но он	2	4
99	в другом	3	4
100	как он	2	4
101	с ним	4	4
102	вещей и	7	3
103	всех этих	7	3
104	и более	2	3
105	о чем	3	3
106	в этих	3	3
107	в это	3	3
108	и от	2	3
109	вещи и	2	3
110	и почти	2	3
111	как мы	6	3
112	уже не	3	3
113	в этой	2	3
114	кроме того	3	3
115	было бы	2	3
116	сами по	2	3
117	из них	8	3
118	и их	4	3
119	с этим	5	3
120	не было	3	3
121	мы имеем	2	3
122	в той	2	3
123	после этого	2	3
124	в данном	2	3
125	от этого	2	3
126	его в	6	3
127	все его	4	3
128	смысла и	2	2
129	в частности	5	2
130	в конце	2	2
131	человека и	4	2
132	именно в	2	2
133	не быть	2	2
134	к тому	3	2
135	что на	3	2
136	же в	4	2
137	мы видим	2	2
138	в истории	4	2
139	с тем	2	2
140	и идеи	3	2
141	до сих	2	2
142	и прежде	3	2
143	в сущности	2	2
144	далее в	2	2
145	если в	2	2
146	сих пор	2	2
147	все в	2	2
148	в мире	4	2
149	во всех	11	2
150	в некоторых	2	2
151	ее в	3	2
152	жизни с	2	2
153	в античном	5	2
154	в их	3	2
155	так же	2	2
156	не на	3	2
157	т п	11	2
158	с одной	2	2
159	как в	4	2
160	и они	3	2
161	человеческой жизни	4	2
162	тем же	2	2
163	времени в	7	2
164	и совершенно	3	2
165	также и	4	2
166	их в	4	2
167	тем что	3	2
168	что здесь	2	2
169	во время	10	2
170	во все	2	2
171	же самое	3	2
172	во всяком	2	2
173	явлений и	2	2
174	все эти	5	2
175	и вечное	2	2
176	и должно	2	2
177	но в	10	2
178	мире и	2	2
179	том как	3	2
180	вместе с	9	2
181	на этом	2	2
