N	2gram	Berdyaev_N_1	Problema
1	и не	11	42
2	и в	16	38
3	познания и	2	30
4	не может	16	27
5	может быть	7	26
6	и с	2	17
7	к содержанию	2	17
8	в нем	5	15
9	в этом	7	15
10	прежде всего	4	13
11	за пределы	3	12
12	но не	2	12
13	ни в	6	11
14	во всех	3	11
15	и для	4	11
16	но и	3	9
17	не имеет	4	9
18	не только	5	9
19	место в	2	8
20	в том	8	8
21	то что	4	8
22	что в	9	7
23	с другой	3	7
24	не в	6	7
25	как и	7	7
26	еще не	3	7
27	в своей	3	7
28	не к	2	6
29	а в	2	6
30	не есть	3	6
31	все они	2	5
32	это не	4	5
33	формы и	2	5
34	высшей степени	6	5
35	никогда не	6	5
36	все эти	2	5
37	должно быть	4	5
38	в основе	3	5
39	в них	4	5
40	в высшей	6	5
41	конечно не	3	5
42	так и	2	5
43	а не	17	5
44	могут быть	2	5
45	должна быть	3	4
46	не менее	4	4
47	в ней	5	4
48	другой стороны	2	4
49	сказать что	3	4
50	в то	2	4
51	о том	4	4
52	и потому	4	4
53	но в	2	4
54	перестает быть	4	4
55	в ее	3	4
56	как в	3	4
57	хотя бы	2	4
58	можно было	2	4
59	в себе	2	4
60	и от	2	3
61	но это	6	3
62	одной стороны	2	3
63	хотя и	2	3
64	все это	5	3
65	с одной	2	3
66	есть лишь	4	3
67	и даже	2	3
68	и на	2	3
69	и должно	2	3
70	и все	4	3
71	этом смысле	2	3
72	и к	5	3
73	том что	2	3
74	он не	8	3
75	помнить что	2	3
76	нет и	2	3
77	бытия в	2	3
78	культуры и	7	3
79	в мире	3	3
80	не знает	6	3
81	и это	2	3
82	я не	2	2
83	и весь	2	2
84	ни к	2	2
85	и есть	10	2
86	что все	2	2
87	связаны с	2	2
88	смысле слова	3	2
89	и пр	3	2
90	не имеют	2	2
91	центр тяжести	2	2
92	но она	2	2
93	не было	4	2
94	лишь в	6	2
95	и что	2	2
96	в истории	3	2
97	в россии	3	2
98	как это	2	2
99	с его	6	2
100	по существу	2	2
101	одна из	2	2
102	она не	3	2
103	ни одна	2	2
104	должен быть	5	2
105	себя в	2	2
106	не во	4	2
107	всех сторон	4	2
108	того чтобы	2	2
109	со всех	4	2
110	не могли	2	2
