N	2gram	Losev_Vlad_3	formyVre
1	и в	40	46
2	в этом	16	22
3	прежде всего	10	14
4	вовсе не	13	13
5	и его	10	12
6	только в	13	11
7	не только	25	11
8	в том	18	10
9	как бы	3	10
10	точки зрения	13	10
11	то есть	24	10
12	но в	4	10
13	у него	24	9
14	не в	3	9
15	мы уже	5	9
16	вместе с	7	9
17	но и	18	9
18	и не	25	9
19	и для	3	9
20	в связи	3	8
21	связи с	2	8
22	как и	7	8
23	в его	14	8
24	то же	4	8
25	того чтобы	3	8
26	для того	2	8
27	с точки	6	8
28	потому что	11	8
29	из них	2	8
30	в основном	4	8
31	в одном	5	7
32	может быть	8	7
33	то что	28	7
34	так и	6	7
35	и на	6	7
36	никогда не	11	6
37	и все	4	6
38	при этом	3	6
39	как мы	8	6
40	здесь в	4	6
41	еще не	4	6
42	его в	2	6
43	все же	4	6
44	и наконец	2	6
45	так как	7	6
46	и с	9	6
47	в своем	8	5
48	с этим	2	5
49	по существу	4	5
50	в дальнейшем	4	5
51	в то	7	5
52	но не	4	5
53	он не	8	5
54	в нем	3	5
55	что в	17	5
56	все эти	5	5
57	в смысле	6	5
58	и у	3	5
59	должно быть	5	5
60	уже в	3	4
61	отнюдь не	5	4
62	с этой	2	4
63	из этих	3	4
64	человека и	3	4
65	же время	2	4
66	же в	3	4
67	том что	18	4
68	так что	14	4
69	есть и	4	4
70	в котором	4	4
71	в мире	2	4
72	отношения к	5	4
73	а не	8	4
74	также и	17	4
75	в себе	9	4
76	в истории	5	4
77	о том	11	4
78	не было	5	3
79	мы будем	2	3
80	все они	2	3
81	не является	2	3
82	того же	2	3
83	к этому	2	3
84	к тому	7	3
85	на первый	2	3
86	что он	5	3
87	и как	7	3
88	это значит	6	3
89	в качестве	3	3
90	для него	8	3
91	кроме того	6	3
92	в это	2	3
93	хотя и	7	3
94	а также	8	3
95	что на	2	3
96	в этот	2	3
97	как можно	2	3
98	что и	7	3
99	ее в	3	3
100	не на	2	3
101	таким образом	11	3
102	в их	2	3
103	уже не	9	3
104	того что	7	3
105	и даже	6	3
106	и по	2	3
107	а в	7	3
108	роль в	2	3
109	жизнь и	3	3
110	тем что	5	3
111	в другом	2	3
112	же самое	3	3
113	в этих	2	3
114	в виду	3	3
115	всю эту	2	2
116	не был	8	2
117	и более	2	2
118	с другой	5	2
119	это не	3	2
120	и так	2	2
121	что все	7	2
122	в духе	3	2
123	первый план	2	2
124	по себе	6	2
125	в отношении	5	2
126	он был	2	2
127	не мог	6	2
128	именно в	3	2
129	у нас	5	2
130	всего существующего	3	2
131	в этой	8	2
132	с тем	7	2
133	совсем не	5	2
134	утверждает что	4	2
135	больше и	2	2
136	смысле слова	6	2
137	до конца	4	2
138	она не	2	2
139	было бы	4	2
140	и к	2	2
141	дается в	2	2
142	жизни а	2	2
143	наряду с	2	2
144	в сущности	2	2
145	и о	4	2
146	и потому	10	2
147	мы видели	3	2
148	быть и	2	2
149	находится в	3	2
150	не может	14	2
151	здесь не	3	2
152	и только	3	2
153	если не	6	2
154	этом отношении	2	2
155	с одной	3	2
156	и всегда	2	2
157	так же	8	2
158	как на	3	2
159	в данном	5	2
160	но это	6	2
161	то в	6	2
162	от этого	2	2
163	и от	6	2
164	мы имеем	3	2
165	и самая	2	2
166	что здесь	3	2
167	далеко не	3	2
168	в конце	12	2
169	и это	6	2
170	как это	4	2
171	во всяком	3	2
172	значит что	6	2
