N	2gram	Tiupa_Vved_1	Problemy
1	и в	13	35
2	как бы	4	31
3	и не	12	27
4	в его	4	21
5	но в	6	19
6	не может	7	18
7	как и	11	18
8	в нем	5	16
9	то есть	8	16
10	то же	5	15
11	и все	4	15
12	но и	19	14
13	для него	3	14
14	может быть	18	14
15	и его	5	14
16	в этом	21	14
17	он не	3	13
18	прежде всего	7	12
19	и с	2	12
20	и к	2	12
21	в пределах	2	11
22	в то	4	11
23	не в	6	10
24	самом деле	3	10
25	же время	3	10
26	не только	20	10
27	то что	6	10
28	героя и	3	10
29	на самом	4	9
30	так и	8	8
31	потому что	5	8
32	все же	6	8
33	как мы	3	8
34	и для	3	8
35	лишь в	2	7
36	а в	6	7
37	и наконец	2	7
38	с ним	3	7
39	еще не	7	7
40	отношению к	7	7
41	что же	3	7
42	таким образом	4	7
43	слова в	2	6
44	что в	3	6
45	к тому	6	6
46	но это	3	6
47	отношение к	2	6
48	в самом	2	6
49	чужого слова	3	6
50	и на	3	6
51	но не	5	6
52	и т.п	9	6
53	в слове	3	6
54	по отношению	7	6
55	только в	6	6
56	рассказчика и	2	5
57	в том	10	5
58	его с	2	5
59	он и	2	5
60	на него	2	5
61	как в	4	5
62	в себе	5	5
63	но на	2	4
64	никогда не	4	4
65	с другой	5	4
66	или иной	3	4
67	в мире	8	4
68	до конца	3	4
69	не о	2	4
70	той или	3	4
71	бы в	3	4
72	как раз	2	4
73	в них	2	4
74	по себе	2	4
75	по своему	2	4
76	еще в	2	4
77	в своей	5	4
78	в той	4	4
79	а не	15	4
80	тем что	2	4
81	как будто	4	4
82	и от	2	3
83	появляется в	2	3
84	тому же	4	3
85	высшей степени	2	3
86	с человеком	2	3
87	в целом	3	3
88	другой стороны	2	3
89	в одной	2	3
90	того что	6	3
91	это не	6	3
92	говорить о	2	3
93	в начале	3	3
94	рассказ в	2	3
95	в высшей	2	3
96	в котором	8	3
97	установкой на	2	3
98	не как	2	3
99	как его	2	3
100	том что	7	3
101	было бы	4	3
102	в речь	2	3
103	во всех	2	3
104	что и	2	3
105	а с	2	3
106	сводится к	4	3
107	уже не	5	3
108	и т.д	5	3
109	так сказать	2	2
110	не менее	4	2
111	времени и	7	2
112	в этих	3	2
113	о них	3	2
114	что на	2	2
115	при этом	26	2
116	например в	2	2
117	хотя и	7	2
118	мы видели	2	2
119	в своем	5	2
120	те же	2	2
121	и по	3	2
122	тому как	2	2
123	их в	2	2
124	в ней	4	2
125	по своей	3	2
126	о том	5	2
127	как он	2	2
128	в первом	2	2
129	в этот	2	2
130	однако в	4	2
131	будто бы	3	2
132	в жизни	4	2
133	точек зрения	2	2
134	и того	2	2
135	ли это	2	2
136	своего рода	10	2
137	быть и	2	2
138	бы и	4	2
139	приводит к	2	2
140	так в	4	2
141	в отличие	2	2
142	бы не	2	2
143	все равно	2	2
144	в речи	2	2
145	без исключения	2	2
146	можно было	2	2
147	в рассказе	6	2
148	пока еще	4	2
149	мы можем	2	2
150	между двумя	3	2
151	подобно тому	2	2
152	всей своей	2	2
153	сохраняется и	2	2
154	отличие от	2	2
155	этот раз	2	2
