N	2gram	Tiupa_Narr_1	Istorich
1	и в	11	25
2	что он	3	22
3	вместе с	2	22
4	может быть	15	17
5	мы имеем	3	14
6	не только	31	13
7	но и	27	13
8	в его	6	12
9	и не	23	11
10	уже не	8	11
11	все же	4	10
12	в этом	12	10
13	с другой	2	9
14	и его	10	9
15	героя в	3	9
16	связи с	2	8
17	что в	3	8
18	том что	7	8
19	еще не	4	8
20	другой стороны	2	8
21	и на	5	8
22	в частности	14	7
23	в качестве	14	7
24	тот кто	2	7
25	как и	13	7
26	то что	9	7
27	в нем	4	7
28	потому что	5	7
29	представляет собой	8	7
30	только в	12	7
31	о том	4	7
32	в этих	2	6
33	это не	3	6
34	прежде всего	4	6
35	себя в	2	6
36	как в	4	6
37	не может	8	6
38	и он	6	6
39	не в	6	6
40	или в	6	6
41	в том	8	6
42	как мы	2	5
43	но не	4	5
44	в ней	4	5
45	с появлением	2	5
46	входит в	2	5
47	мы не	3	5
48	не менее	3	4
49	если не	2	4
50	что у	4	4
51	не всегда	3	4
52	и тем	4	4
53	тем не	3	4
54	в пределах	2	4
55	в связи	2	4
56	то же	8	4
57	он не	3	4
58	с ним	2	4
59	после смерти	2	3
60	никогда не	4	3
61	и как	3	3
62	и все	3	3
63	в целом	3	3
64	в свою	2	3
65	ему в	2	3
66	в этой	6	3
67	в то	4	3
68	того чтобы	4	3
69	в роли	2	3
70	о нем	3	3
71	если в	2	3
72	на себя	4	3
73	представляют собой	3	3
74	в форме	2	3
75	в особенности	2	3
76	для того	3	3
77	к нему	4	3
78	друг друга	2	3
79	а в	13	3
80	в данном	11	3
81	их в	3	3
82	и с	3	3
83	человека в	2	3
84	в русской	3	3
85	героя и	2	3
86	перед нами	5	2
87	это уже	3	2
88	у него	7	2
89	его и	2	2
90	по себе	4	2
91	на то	2	2
92	можно сказать	5	2
93	об этом	6	2
94	же в	2	2
95	одна из	4	2
96	как у	2	2
97	а на	2	2
98	до сих	2	2
99	она не	2	2
100	жизни и	6	2
101	если бы	7	2
102	во сне	2	2
103	но для	3	2
104	как бы	6	2
105	еще в	3	2
106	по мере	2	2
107	один из	6	2
108	сих пор	2	2
109	в своей	5	2
110	отношению к	3	2
111	данном случае	8	2
112	со стороны	8	2
113	по отношению	3	2
114	и стал	2	2
115	и для	2	2
116	также не	2	2
117	самом деле	3	2
118	а не	13	2
119	того что	4	2
120	роль в	2	2
121	так в	4	2
122	то в	4	2
123	сказать что	2	2
124	точки зрения	5	2
125	к его	2	2
126	что мы	2	2
127	из них	4	2
128	особенно в	2	2
129	героя но	2	2
130	ничего не	2	2
131	о чем	4	2
132	это было	2	2
133	мы можем	2	2
