N	2gram	Berdyaev_M_1	Myshleni
1	в том	6	42
2	том что	3	35
3	точки зрения	4	24
4	в этом	20	24
5	и в	28	20
6	что в	10	19
7	в основе	2	17
8	то что	5	15
9	не только	29	15
10	в их	4	12
11	потому что	16	12
12	может быть	30	12
13	в его	9	11
14	того что	7	10
15	в истории	2	10
16	так как	3	10
17	мы видим	2	10
18	в себе	7	10
19	только в	6	10
20	и как	2	9
21	но и	25	9
22	как и	5	9
23	что и	4	9
24	и не	11	8
25	и что	2	8
26	было бы	10	8
27	вместе с	6	8
28	как бы	2	7
29	в своей	15	7
30	а не	25	7
31	того чтобы	2	7
32	тем что	4	7
33	могут быть	2	7
34	уже в	4	6
35	к тому	3	6
36	в самом	11	6
37	этот процесс	3	6
38	не может	28	6
39	и на	6	6
40	сказать что	2	6
41	по своей	2	6
42	его в	3	6
43	с тем	9	6
44	что он	10	6
45	никогда не	14	5
46	это не	5	5
47	увидим что	4	5
48	если бы	2	5
49	и его	9	5
50	с этим	3	5
51	и к	2	5
52	все же	2	5
53	о том	2	5
54	как в	2	5
55	для того	2	5
56	все эти	2	5
57	в своем	10	4
58	для нас	3	4
59	на том	3	4
60	и те	2	4
61	с этой	4	4
62	как он	2	4
63	и с	3	4
64	к этому	2	4
65	по своему	2	4
66	по сравнению	2	4
67	не в	16	4
68	и для	2	4
69	на этом	3	3
70	не могут	5	3
71	в этих	4	3
72	и от	2	3
73	в этой	6	3
74	себе и	2	3
75	в виду	2	3
76	один из	4	3
77	должно быть	3	3
78	и когда	2	3
79	но в	7	3
80	своему значению	2	3
81	и во	2	3
82	различие между	2	3
83	бы в	2	3
84	чем в	2	3
85	но не	8	3
86	себя в	3	3
87	когда он	3	3
88	приводит к	2	3
89	на этот	2	3
90	в которой	6	3
91	может не	2	2
92	место в	2	2
93	связана с	2	2
94	должна быть	6	2
95	толстой и	3	2
96	прежде всего	10	2
97	высшей степени	2	2
98	в свою	2	2
99	для него	11	2
100	и у	2	2
101	одним из	2	2
102	в ней	15	2
103	в ином	2	2
104	в него	3	2
105	в нем	13	2
106	к нему	7	2
107	привести к	4	2
108	отличается от	2	2
109	должно привести	2	2
110	не имеет	3	2
111	а в	4	2
112	вообще не	2	2
113	не знает	4	2
114	также и	2	2
115	в начале	2	2
116	самого себя	2	2
117	том смысле	2	2
118	когда мы	2	2
119	у него	17	2
120	которую он	2	2
121	не есть	9	2
122	мысли и	2	2
123	входит в	2	2
124	в той	2	2
125	и он	12	2
126	к этим	2	2
127	в высшей	2	2
128	это значит	3	2
129	в каком	2	2
130	и это	12	2
131	значит что	4	2
