N	2gram	Medvedev_F_3	UchenyiS
1	и в	27	14
2	а не	17	10
3	не только	9	10
4	формального метода	2	9
5	и не	30	8
6	прежде всего	4	8
7	то что	8	7
8	в этом	18	7
9	не может	24	7
10	в искусстве	7	6
11	может быть	25	6
12	в художественном	5	5
13	хотя бы	6	5
14	художественное произведение	11	5
15	художественного творчества	2	5
16	перестает быть	2	5
17	все это	7	5
18	и только	2	5
19	то же	15	5
20	но и	10	4
21	в этой	2	4
22	в россии	2	4
23	конечно не	4	4
24	с другой	6	4
25	но в	6	3
26	как и	14	3
27	все же	6	3
28	истории литературы	6	3
29	не следует	3	3
30	в своей	6	3
31	и формы	5	3
32	бы то	4	3
33	очевидно что	2	3
34	для этого	2	3
35	формы в	3	3
36	то ни	4	3
37	же время	7	3
38	другой стороны	5	3
39	это не	3	3
40	в то	7	3
41	не как	2	3
42	было бы	6	3
43	в области	2	3
44	не о	3	3
45	ни было	5	3
46	или точнее	2	3
47	у нас	3	3
48	смысле этого	2	2
49	том что	4	2
50	но не	5	2
51	в том	7	2
52	является в	2	2
53	художественного произведения	7	2
54	и прием	4	2
55	мы не	4	2
56	с его	2	2
57	не есть	4	2
58	не в	12	2
59	всех этих	2	2
60	и для	6	2
61	но это	2	2
62	мы и	3	2
63	бы и	3	2
64	должна быть	3	2
65	этом смысле	2	2
66	если бы	12	2
67	литературы и	3	2
68	только в	8	2
69	и с	3	2
70	тем что	5	2
71	в шкловского	2	2
72	материала и	3	2
73	могут быть	4	2
74	его и	3	2
75	что он	6	2
76	в себе	3	2
77	как раз	8	2
78	формы и	3	2
79	же самое	3	2
80	в конце	3	2
81	в шкловский	3	2
82	прием и	2	2
83	этом отношении	3	2
84	что материал	3	2
85	в самом	11	2
86	в сторону	2	2
87	не могут	10	2
88	по себе	4	2
89	превращается в	2	2
90	сводится к	5	2
91	одним из	3	2
92	ничего не	2	2
93	материал как	2	2
94	самом деле	16	2
95	что она	2	2
96	и является	4	2
97	что и	2	2
98	в его	7	2
99	между тем	7	2
100	конце концов	2	2
101	таким образом	18	2
102	художественном произведении	3	2
103	как таковой	3	2
