N	2gram	Voloshinov_1	Literetu
1	и не	26	22
2	и в	19	16
3	при этом	8	15
4	не только	8	14
5	но и	8	14
6	в этом	16	14
7	а не	7	12
8	то что	8	12
9	может быть	26	12
10	в том	6	12
11	в частности	2	11
12	не в	5	10
13	то же	7	9
14	так и	11	9
15	того что	3	9
16	в то	3	9
17	том что	3	8
18	не может	24	8
19	как бы	15	8
20	в своей	3	7
21	же время	3	7
22	точки зрения	34	7
23	только в	9	7
24	с другой	5	6
25	к тому	2	6
26	еще не	4	6
27	в его	6	6
28	и т.п	10	6
29	и его	19	6
30	в себе	2	6
31	в другом	2	6
32	о том	2	6
33	в качестве	2	5
34	что он	2	5
35	в ее	7	5
36	как и	12	5
37	лишь в	9	5
38	как в	4	5
39	в отличие	5	5
40	а в	4	5
41	этом отношении	3	5
42	именно в	5	5
43	в основе	2	5
44	отличие от	5	5
45	место в	3	4
46	никогда не	2	4
47	до конца	5	4
48	в начале	5	4
49	и для	11	4
50	одним из	2	4
51	отношению к	2	4
52	из них	3	4
53	по отношению	3	4
54	жизни в	4	4
55	входит в	5	4
56	должно быть	2	4
57	в данном	4	4
58	ни к	2	3
59	том числе	2	3
60	в единстве	2	3
61	отнюдь не	6	3
62	прежде всего	13	3
63	более того	3	3
64	в романе	2	3
65	и как	3	3
66	то в	2	3
67	совершенно не	3	3
68	и к	3	3
69	в самом	10	3
70	в слове	10	3
71	однако не	2	3
72	с ее	2	3
73	жизни и	2	3
74	бы и	2	3
75	самом деле	10	3
76	с точки	20	3
77	на смену	2	3
78	той же	2	3
79	не становится	3	3
80	там где	2	3
81	в области	3	3
82	но в	7	3
83	между тем	3	3
84	ни было	10	2
85	сознания и	3	2
86	что в	4	2
87	не менее	4	2
88	если бы	2	2
89	то ни	8	2
90	с этой	2	2
91	не как	2	2
92	в конце	5	2
93	одного из	3	2
94	к этому	5	2
95	вопрос о	4	2
96	по себе	4	2
97	или иной	3	2
98	в нем	10	2
99	и ее	3	2
100	у нас	2	2
101	и при	3	2
102	связи с	11	2
103	вот в	2	2
104	числе и	2	2
105	того же	6	2
106	во втором	2	2
107	в свою	2	2
108	для него	9	2
109	можно сказать	3	2
110	было бы	4	2
111	что не	2	2
112	в первой	2	2
113	во всех	7	2
114	в работе	2	2
115	что и	2	2
116	все же	8	2
117	бы то	8	2
118	бытия в	7	2
119	как мы	13	2
120	какого бы	3	2
121	так же	7	2
122	как раз	2	2
123	по аналогии	2	2
124	и только	2	2
125	человека в	2	2
126	того чтобы	5	2
127	для того	4	2
128	действительности в	2	2
129	другой стороны	6	2
130	и даже	2	2
131	или иначе	2	2
132	в своих	2	2
133	и на	4	2
134	и с	2	2
135	тем что	2	2
136	которой она	2	2
137	далеко не	4	2
138	xix века	3	2
139	не знает	2	2
140	же самое	3	2
141	его в	3	2
142	в первом	3	2
143	и потому	5	2
144	мира и	2	2
