N	2gram	Potebnia_M_3	KFilosof
1	может быть	28	43
2	в его	4	39
3	в нем	9	31
4	не может	6	27
5	и не	15	26
6	по отношению	5	25
7	и в	30	22
8	в котором	4	21
9	отношению к	5	21
10	в себе	16	21
11	для меня	4	20
12	не есть	17	19
13	в ее	2	17
14	а не	15	17
15	и его	4	17
16	только в	21	16
17	точки зрения	2	13
18	в этом	10	13
19	ни в	2	12
20	для него	9	12
21	но не	7	12
22	и это	4	12
23	в своей	2	11
24	не в	15	11
25	к нему	3	11
26	из себя	2	10
27	в своем	5	10
28	все это	4	10
29	и есть	3	9
30	в целом	3	9
31	но и	19	9
32	в их	2	9
33	как бы	3	9
34	и все	3	9
35	не было	4	8
36	если бы	12	8
37	было бы	9	8
38	жизни и	2	8
39	со стороны	3	8
40	вовсе не	7	7
41	что и	13	7
42	то что	18	7
43	быть только	4	7
44	в смысле	4	6
45	в том	32	6
46	но это	6	6
47	отношение к	2	6
48	он не	4	6
49	уже не	6	6
50	то же	23	5
51	но все	2	5
52	и содержание	2	5
53	именно в	3	5
54	не имеет	6	5
55	должно быть	5	5
56	но как	2	5
57	его в	3	5
58	с ним	6	5
59	не знает	3	5
60	как и	10	5
61	что я	5	5
62	не только	21	5
63	для себя	3	5
64	все же	2	5
65	там где	3	5
66	место в	3	4
67	что в	17	4
68	время и	2	4
69	входит в	2	4
70	для нас	20	4
71	при этом	3	4
72	между тем	9	4
73	бы быть	2	4
74	в одном	2	4
75	не как	2	4
76	том что	18	4
77	только как	5	4
78	а в	12	4
79	тем самым	7	4
80	в каком	5	4
81	в чем	3	4
82	независимо от	5	3
83	что это	4	3
84	не менее	5	3
85	в каждом	3	3
86	не я	3	3
87	из него	2	3
88	предмета в	2	3
89	в свою	3	3
90	не дает	2	3
91	был бы	2	3
92	и тем	5	3
93	от того	8	3
94	того что	18	3
95	слово не	5	3
96	и на	3	3
97	людей и	2	3
98	в ней	8	3
99	в то	10	3
100	о том	2	3
101	мы не	9	3
102	тогда когда	9	3
103	в некотором	2	3
104	это единство	2	3
105	от него	2	3
106	по своему	2	3
107	могла бы	2	3
108	еще не	5	3
109	бы не	4	3
110	самом деле	2	3
111	для того	4	3
112	что не	8	3
113	тем что	7	3
114	могут быть	3	3
115	слова в	7	2
116	а с	2	2
117	котором мы	2	2
118	та же	2	2
119	прежде всего	3	2
120	его к	2	2
121	ему в	2	2
122	тем не	3	2
123	себе а	4	2
124	и как	5	2
125	только по	5	2
126	предмет и	2	2
127	же время	5	2
128	и мы	2	2
129	нечто вроде	2	2
130	себя и	4	2
131	его с	2	2
132	под ним	2	2
133	его жизни	2	2
134	по себе	16	2
135	тому что	3	2
136	что есть	2	2
137	быть не	2	2
138	мысль не	2	2
139	все остальные	3	2
140	отказаться от	2	2
141	потому что	46	2
142	говорить о	3	2
143	все возможное	2	2
144	в сознании	15	2
145	я и	3	2
146	что только	6	2
147	а как	2	2
148	и то	8	2
149	с тем	7	2
150	что эта	2	2
151	к этому	3	2
152	думать что	5	2
153	человек не	2	2
154	что он	6	2
155	будет ли	2	2
156	не будет	3	2
157	и может	3	2
158	и тот	2	2
159	к содержанию	3	2
160	и потому	4	2
161	но этот	2	2
162	этого слова	11	2
163	оно не	4	2
164	так и	11	2
165	как в	10	2
166	в виде	2	2
167	если не	4	2
168	это и	2	2
169	того чтобы	3	2
170	то или	2	2
171	это можно	3	2
172	и та	2	2
173	от этого	2	2
174	в этой	2	2
175	ничего общего	2	2
176	отношении к	2	2
177	же с	6	2
178	в области	2	2
179	смысле в	2	2
