N	3gram	Tiupa_Hudo_1	Analitik
1	в том что	7	7
2	по отношению к	9	7
3	так и не	4	5
4	с другой стороны	5	5
5	мы имеем дело	2	4
6	в свою очередь	2	4
7	и того же	2	3
8	то же время	5	3
9	одного и того	2	3
10	до известной степени	2	3
11	о полку игореве	2	3
12	той или иной	4	3
13	в тарасе бульбе	2	3
14	присутствия я в	5	3
15	в то же	5	3
16	роли в миропорядке	4	3
17	всех без исключения	3	3
18	в русской литературе	2	3
19	однако при этом	2	2
20	в отличие от	7	2
21	можно сказать что	3	2
22	не в самом	2	2
23	в миропорядке судьбы	2	2
24	в имени тебе	2	2
25	я в мире	6	2
26	сама по себе	2	2
27	и в форме	2	2
28	индивидуального речевого замысла	2	2
29	пушкина что в	2	2
30	кто говорит и	2	2
31	в конечном счете	5	2
32	тот или иной	2	2
33	в слове о	2	2
34	с точки зрения	3	2
35	слове о полку	2	2
36	с одной стороны	2	2
37	что в имени	2	2
38	тем не менее	3	2
39	и его внешней	4	2
40	внутренняя граница личности	2	2
