N	2gram	Losev_Dial_4	VelikijI
1	и не	30	20
2	и в	15	16
3	свободы и	3	12
4	то что	16	9
5	так как	14	9
6	еще не	4	8
7	в истории	3	8
8	что они	4	7
9	и потому	3	7
10	а не	18	7
11	человека и	2	6
12	не есть	40	6
13	хотя и	6	5
14	как бы	14	5
15	религиозного сознания	2	5
16	но и	4	5
17	все это	9	5
18	что есть	2	5
19	того что	13	5
20	и есть	19	4
21	что все	4	4
22	что он	7	4
23	в нем	5	4
24	как и	7	4
25	все что	2	4
26	что мы	7	4
27	в котором	2	4
28	так и	5	4
29	мы хотим	2	4
30	что не	3	4
31	потому что	10	4
32	в этом	11	4
33	в ней	5	4
34	говорить о	11	4
35	и все	11	4
36	в его	4	4
37	с его	5	3
38	должна быть	7	3
39	что в	7	3
40	в них	2	3
41	в жизни	5	3
42	ни в	8	3
43	в том	11	3
44	не в	8	3
45	но это	4	3
46	и будет	2	3
47	что я	5	3
48	и мы	7	3
49	во всех	2	3
50	никогда не	2	3
51	оно не	2	3
52	что и	6	3
53	жизни и	4	3
54	как не	2	3
55	в своей	3	3
56	бы и	3	3
57	не было	2	3
58	лишь в	2	3
59	и что	9	3
60	не имеет	14	3
61	хотя бы	4	3
62	и для	5	3
63	должно быть	2	3
64	от этого	3	3
65	личности и	10	3
66	все эти	3	3
67	нет ничего	6	3
68	в абсолютном	2	3
69	в чем	8	3
70	но в	3	3
71	тот кто	2	2
72	не могут	2	2
73	с тем	4	2
74	личности а	2	2
75	это не	12	2
76	прежде всего	11	2
77	что было	2	2
78	да и	2	2
79	том что	10	2
80	от него	3	2
81	чудо то	2	2
82	конечно не	2	2
83	того чтобы	5	2
84	и во	2	2
85	не только	8	2
86	своей истории	2	2
87	нет и	2	2
88	не могли	2	2
89	один из	4	2
90	но мы	2	2
91	и т	17	2
92	не будет	2	2
93	нем нет	2	2
94	ее в	2	2
95	и тогда	2	2
96	т д	15	2
97	истории и	2	2
98	личность как	4	2
99	все равно	2	2
100	это все	2	2
101	тем что	2	2
102	в себя	5	2
103	мы не	9	2
104	уже не	9	2
105	я думаю	2	2
106	вот почему	3	2
107	с ним	3	2
108	я говорю	2	2
109	и то	3	2
110	могут быть	3	2
111	мир и	4	2
112	только в	7	2
113	от этих	2	2
114	и это	8	2
115	во всяком	2	2
