N	2gram	Vinokur_Ku_2	formyVre
1	и в	23	50
2	в этом	18	25
3	в нем	4	24
4	и его	3	16
5	прежде всего	8	15
6	и не	16	14
7	как мы	3	14
8	вовсе не	9	13
9	как раз	3	13
10	в его	5	13
11	по существу	5	12
12	так и	4	12
13	может быть	15	11
14	таким образом	5	11
15	то же	6	11
16	но в	11	10
17	в конце	4	9
18	в том	19	9
19	же время	3	9
20	в особенности	4	9
21	все эти	12	9
22	в то	4	9
23	не только	20	9
24	роль в	2	9
25	ничего не	4	9
26	в самом	12	8
27	и т	39	8
28	но и	7	8
29	и на	6	8
30	как и	2	8
31	того же	3	8
32	ни в	4	8
33	т п	24	8
34	не было	4	7
35	характер и	2	7
36	все же	7	6
37	в частности	2	6
38	это не	6	6
39	в их	2	6
40	не может	9	6
41	лишь в	5	6
42	так же	4	6
43	в результате	4	6
44	так как	15	6
45	у него	3	6
46	с этим	3	6
47	и все	2	6
48	связи с	3	6
49	то что	9	6
50	как в	3	6
51	что в	10	5
52	не в	8	5
53	в пределах	4	5
54	и до	2	5
55	в связи	4	5
56	точки зрения	14	5
57	всех этих	3	5
58	но все	4	5
59	если бы	12	5
60	отнюдь не	4	5
61	но не	6	5
62	еще не	5	5
63	он не	3	5
64	того чтобы	11	5
65	для того	9	5
66	и у	2	5
67	могут быть	4	5
68	в своем	2	4
69	до конца	3	4
70	и следовательно	2	4
71	на этой	4	4
72	все это	5	4
73	не имеет	4	4
74	конечно и	2	4
75	потому что	25	4
76	и с	7	4
77	в ней	3	4
78	в них	4	4
79	конечно не	2	4
80	в процессе	3	4
81	в той	2	4
82	том что	11	4
83	и для	2	4
84	и то	5	4
85	только в	5	4
86	и это	3	4
87	здесь не	3	4
88	не могут	5	3
89	в отношении	2	3
90	к тому	4	3
91	да и	6	3
92	с тем	2	3
93	при этом	2	3
94	хотя и	4	3
95	в виду	3	3
96	один из	5	3
97	в форме	3	3
98	отношения к	2	3
99	этом отношении	3	3
100	с одной	2	3
101	именно в	3	3
102	а в	3	3
103	сказать что	4	3
104	ни к	15	3
105	был бы	2	3
106	не знает	3	3
107	на фоне	3	3
108	к этому	4	3
109	же в	3	3
110	в качестве	8	3
111	в сущности	9	3
112	по преимуществу	2	3
113	и потому	2	3
114	что и	3	3
115	вместе с	5	3
116	а не	10	3
117	что не	6	3
118	своей собственной	3	3
119	или в	4	3
120	во всяком	5	3
121	быть только	2	3
122	уже в	3	2
123	мы будем	2	2
124	же как	2	2
125	никогда не	2	2
126	в нашем	7	2
127	с другой	8	2
128	что все	5	2
129	была бы	4	2
130	вопрос о	9	2
131	а только	3	2
132	для нас	4	2
133	в широком	2	2
134	есть в	3	2
135	смысле слова	2	2
136	в свою	2	2
137	новый тип	2	2
138	но для	3	2
139	еще и	2	2
140	те же	3	2
141	с помощью	7	2
142	в буквальном	2	2
143	в самой	2	2
144	всякого рода	2	2
145	того что	3	2
146	и даже	2	2
147	и по	3	2
148	рядом с	2	2
149	в которых	2	2
150	широком смысле	4	2
151	также и	5	2
152	же и	2	2
153	и еще	2	2
154	что мы	6	2
155	мы должны	2	2
156	отсюда и	2	2
157	тех же	2	2
158	не как	2	2
159	ясно что	5	2
160	по себе	10	2
161	об этом	5	2
162	в соответствии	3	2
163	чем в	3	2
164	было бы	15	2
165	но оно	2	2
166	а также	3	2
167	оно не	2	2
168	по сравнению	2	2
169	в своей	2	2
170	как бы	4	2
171	совершенно не	3	2
172	в отличие	2	2
173	если мы	4	2
174	уже не	8	2
175	с точки	8	2
176	речи в	6	2
177	хотя бы	9	2
178	той же	2	2
179	в данном	4	2
180	от этого	2	2
181	тем что	3	2
182	в каком	4	2
183	выражение в	3	2
184	соответствии с	2	2
185	и вообще	2	2
186	ту же	6	2
187	слова и	5	2
188	там где	5	2
189	отличие от	2	2
