N	2gram	Propp_Isto_7	Sovremen
1	не может	14	17
2	точки зрения	4	12
3	может быть	14	12
4	таким образом	7	11
5	мы не	4	9
6	не можем	2	7
7	в этом	12	7
8	и в	24	7
9	и не	4	6
10	как и	6	6
11	мы можем	4	6
12	ничего не	5	6
13	прежде всего	2	5
14	все эти	2	5
15	и наконец	3	5
16	как бы	4	4
17	мы видели	7	4
18	вместе с	7	4
19	это не	10	4
20	а в	10	4
21	вопрос о	3	4
22	не только	21	4
23	в том	7	4
24	в дальнейшем	3	4
25	из них	2	4
26	мы должны	4	4
27	так как	8	4
28	уже в	3	3
29	все же	9	3
30	он может	4	3
31	все это	8	3
32	отличается от	2	3
33	в конце	3	3
34	то же	8	3
35	в нем	6	3
36	а не	8	3
37	для нас	6	3
38	не в	9	3
39	одна из	7	3
40	еще не	8	3
41	он в	2	3
42	при этом	4	3
43	было бы	2	3
44	и все	6	3
45	как он	6	3
46	следующим образом	3	3
47	что она	5	3
48	но в	5	3
49	не могут	2	2
50	что это	6	2
51	не менее	5	2
52	у него	10	2
53	то и	4	2
54	из этих	3	2
55	из одного	3	2
56	с одной	5	2
57	как мы	3	2
58	уже не	2	2
59	и что	10	2
60	что при	2	2
61	что такое	2	2
62	на этот	2	2
63	и даже	3	2
64	и по	3	2
65	тем не	4	2
66	мы знаем	2	2
67	мы видим	10	2
68	но все	4	2
69	знаем что	3	2
70	с этим	2	2
71	что в	13	2
72	тот же	2	2
73	которой он	3	2
74	в один	2	2
75	на его	2	2
76	в самом	2	2
77	ее на	4	2
78	в которой	2	2
