N	2gram	Tiupa_Lite_2	Freidism
1	и не	11	23
2	не может	9	20
3	точки зрения	4	19
4	прежде всего	4	18
5	в этом	9	15
6	в его	4	15
7	может быть	17	13
8	и его	3	12
9	как и	10	11
10	как бы	2	11
11	то что	7	11
12	с точки	3	11
13	так и	7	10
14	с ним	2	10
15	но в	2	10
16	и в	19	9
17	во всех	3	9
18	по отношению	4	9
19	все что	2	8
20	что он	3	8
21	отношению к	3	8
22	еще не	2	8
23	он не	5	8
24	не только	8	8
25	то же	12	8
26	так как	3	8
27	тот же	2	7
28	один из	4	7
29	и наконец	2	7
30	никогда не	3	6
31	вовсе не	2	6
32	для него	4	6
33	того что	5	6
34	в ней	4	6
35	хотя бы	2	6
36	и с	3	6
37	и к	2	5
38	не в	4	5
39	в этой	3	5
40	для этого	2	5
41	в то	9	5
42	что в	4	5
43	но и	10	5
44	в себя	3	5
45	для того	2	5
46	а в	3	5
47	и на	6	5
48	могут быть	2	5
49	я и	4	5
50	не менее	6	4
51	но не	5	4
52	я не	5	4
53	и др	3	4
54	в жизни	2	4
55	же время	9	4
56	на этом	2	4
57	при этом	6	4
58	как раз	2	4
59	в основе	2	4
60	в нем	3	4
61	все же	2	4
62	и за	2	4
63	данном случае	3	4
64	не было	2	4
65	уже не	2	4
66	и для	3	4
67	той же	2	4
68	мы не	4	4
69	в данном	3	4
70	потому что	2	4
71	себя и	2	4
72	о которой	2	3
73	конечном счете	5	3
74	в них	2	3
75	о себе	3	3
76	на себя	2	3
77	в конечном	5	3
78	в себе	6	3
79	это как	2	3
80	и как	3	3
81	но это	3	3
82	было бы	2	3
83	с ее	2	3
84	себя в	6	3
85	жизни и	4	3
86	вместе с	5	3
87	со стороны	3	3
88	не знает	2	3
89	мысли и	2	3
90	всех своих	3	3
91	и что	2	3
92	и т.п	10	3
93	такой же	3	3
94	у него	2	3
95	в искусстве	4	3
96	слова и	7	3
97	одна из	5	3
98	не является	2	3
99	из тех	2	2
100	уже в	2	2
101	человека в	4	2
102	для всех	5	2
103	в нашем	2	2
104	для себя	2	2
105	в какой	2	2
106	того же	4	2
107	с другой	8	2
108	в конце	2	2
109	в такой	2	2
110	тем не	2	2
111	для нас	2	2
112	в ее	2	2
113	до конца	2	2
114	ни было	2	2
115	том что	7	2
116	а не	20	2
117	одной стороны	6	2
118	из них	2	2
119	в него	2	2
120	себе и	3	2
121	и до	2	2
122	в их	3	2
123	этом отношении	3	2
124	с одной	7	2
125	сознания в	3	2
126	а потому	2	2
127	из того	2	2
128	это прежде	2	2
129	тем же	3	2
130	и даже	8	2
131	к объекту	2	2
132	как на	3	2
133	и то	3	2
134	в своих	2	2
135	что и	2	2
136	в первый	2	2
137	но как	2	2
138	в другом	3	2
139	как это	2	2
140	в области	4	2
141	в виду	2	2
