N	2gram	Nazirov_Tv_2	Istorich
1	и в	20	22
2	в этом	8	17
3	и т	13	16
4	т д	11	15
5	что в	7	15
6	не только	13	14
7	но и	8	12
8	и не	9	12
9	может быть	8	11
10	еще не	5	10
11	таким образом	10	10
12	но в	4	10
13	что он	6	9
14	в нем	3	9
15	вместе с	3	9
16	в том	8	9
17	что они	4	8
18	том что	4	8
19	мы видим	4	8
20	другой стороны	2	7
21	с другой	2	7
22	к этому	3	7
23	но не	5	7
24	то что	3	7
25	из них	2	7
26	уже не	3	7
27	так как	3	7
28	это не	7	6
29	связь с	2	6
30	а в	4	6
31	то же	7	6
32	а не	6	6
33	друг друга	2	6
34	так в	2	6
35	ничего не	4	6
36	если бы	4	6
37	не менее	2	5
38	в частности	2	5
39	показывает что	4	5
40	так что	2	5
41	до сих	3	5
42	один из	3	5
43	все же	5	5
44	что она	4	5
45	в свете	3	5
46	он не	3	5
47	с большим	3	5
48	на ней	2	5
49	сих пор	3	5
50	могут быть	2	5
51	в этой	5	5
52	у нас	2	4
53	не в	4	4
54	в дальнейшем	4	4
55	только в	2	4
56	одним из	3	4
57	что на	2	4
58	его и	2	4
59	и его	9	4
60	и на	5	4
61	не может	7	4
62	тем что	3	4
63	все эти	4	4
64	и с	8	4
65	я не	2	3
66	что у	4	3
67	превращается в	3	3
68	в одной	3	3
69	и от	4	3
70	представление о	7	3
71	прежде всего	8	3
72	а затем	3	3
73	как и	6	3
74	но это	5	3
75	у него	6	3
76	на его	4	3
77	в его	10	3
78	никогда не	11	3
79	в целом	6	3
80	и у	2	3
81	так же	5	3
82	с ними	2	3
83	потому что	7	3
84	и ее	2	3
85	в русской	2	3
86	о том	5	3
87	его в	3	3
88	при помощи	2	3
89	их в	2	3
90	в чем	4	3
91	одном из	2	3
92	однако это	2	3
93	героя с	2	2
94	не было	2	2
95	все время	2	2
96	и есть	2	2
97	и др	3	2
98	в одном	2	2
99	если он	5	2
100	вовсе не	2	2
101	а я	2	2
102	во всяком	2	2
103	тому же	2	2
104	такой же	2	2
105	одна из	3	2
106	как в	4	2
107	при этом	8	2
108	у нее	3	2
109	например в	5	2
110	же как	3	2
111	хотя и	4	2
112	и потому	4	2
113	и он	2	2
114	всяком случае	2	2
115	в этот	2	2
116	в котором	3	2
117	к жизни	2	2
118	отношению к	3	2
119	и это	3	2
120	нет ничего	3	2
121	я буду	2	2
122	на землю	2	2
123	так и	6	2
124	по отношению	3	2
125	если не	4	2
126	этот вопрос	3	2
127	там же	9	2
128	из этой	2	2
129	и что	2	2
130	что не	3	2
131	и даже	5	2
132	роль в	2	2
133	в которых	3	2
134	со своими	2	2
135	между тем	3	2
136	в виде	2	2
137	известно что	2	2
138	в то	10	2
139	как правило	2	2
140	во многих	2	2
141	же не	2	2
