N	3gram	Potebnia_M_3	Myshleni
1	в том что	16	31
2	с одной стороны	3	9
3	с другой стороны	4	8
4	смысле этого слова	7	7
5	в собственном смысле	2	7
6	в этом отношении	2	7
7	одно и то	5	6
8	и то же	5	6
9	не только не	2	5
10	для того чтобы	3	5
11	и той же	2	4
12	тем же словом	3	4
13	одной и той	2	4
14	то же слово	2	3
15	одним и тем	3	3
16	и тем же	3	3
17	вместе с тем	4	3
18	в том смысле	3	2
19	в свою очередь	3	2
20	не могут быть	2	2
21	только в том	3	2
22	но вместе с	2	2
23	подобно тому как	2	2
24	в том чтобы	2	2
25	именно то что	2	2
26	но и в	4	2
