N	2gram	Berdyaev_V_1	KulturaY
1	и т	2	39
2	потому что	4	25
3	и в	16	23
4	не только	2	20
5	в том	3	19
6	в этом	4	18
7	и не	20	16
8	так как	9	15
9	т д	2	14
10	все эти	3	12
11	том что	2	11
12	того чтобы	2	11
13	но в	3	11
14	что в	3	10
15	а не	7	10
16	то что	9	9
17	хотя бы	3	9
18	можно было	2	9
19	прежде всего	2	8
20	не в	3	8
21	уже не	2	8
22	и что	3	8
23	но и	5	7
24	это не	2	6
25	да и	2	6
26	но не	2	6
27	что не	4	6
28	между тем	2	6
29	что мы	4	6
30	не могут	2	5
31	должна быть	3	5
32	что все	4	5
33	что он	4	5
34	тот же	3	5
35	еще не	8	5
36	в его	4	5
37	один из	2	5
38	все это	5	5
39	лишь в	3	5
40	и то	2	5
41	во всяком	2	5
42	только в	2	5
43	в них	3	4
44	бы и	3	4
45	к тому	3	4
46	для нас	2	4
47	ни в	3	4
48	что я	3	4
49	должно быть	3	4
50	хотя и	5	4
51	как бы	5	4
52	в нем	4	4
53	не было	3	4
54	не имеет	3	4
55	могут быть	2	4
56	говорить о	4	4
57	в конце	3	4
58	так и	4	4
59	но это	3	3
60	в первый	3	3
61	в ней	4	3
62	что и	3	3
63	как не	3	3
64	всего в	2	3
65	в форме	2	3
66	того что	5	3
67	вот почему	2	3
68	а в	2	3
69	тем что	2	3
70	и это	2	3
71	с тем	2	2
72	и есть	4	2
73	никогда не	3	2
74	оно не	3	2
75	и все	4	2
76	его к	2	2
77	что они	7	2
78	и потому	7	2
79	материалом для	2	2
80	когда в	2	2
81	конечно не	2	2
82	превращается в	3	2
83	в своей	3	2
84	на том	2	2
85	вопросе о	2	2
86	и для	3	2
87	все равно	2	2
88	как и	4	2
89	под этим	2	2
90	от этого	3	2
