N	2gram	Bakhtin_Pr_1	Tvorches
1	у достоевского	24	30
2	и в	23	20
3	в романе	11	15
4	романах достоевского	6	13
5	не только	13	13
6	в романах	7	13
7	никогда не	5	11
8	как бы	28	11
9	в его	24	10
10	таким образом	11	10
11	в то	10	10
12	достоевского в	19	9
13	и его	13	9
14	и не	34	9
15	прежде всего	7	8
16	достоевского не	11	8
17	в том	11	8
18	достоевского как	12	8
19	при этом	3	8
20	ивана карамазова	5	8
21	но и	11	8
22	может быть	21	8
23	в этом	25	8
24	и с	4	8
25	это не	10	7
26	же время	7	7
27	что в	8	7
28	не может	11	7
29	то же	10	7
30	достоевский в	7	7
31	потому что	12	7
32	у него	6	6
33	в конце	5	6
34	что он	10	6
35	романе достоевского	9	6
36	как и	8	6
37	из подполья	11	6
38	в целом	4	6
39	в своей	11	6
40	так и	10	6
41	все это	7	6
42	именно в	6	6
43	а не	20	6
44	в основном	2	6
45	романов достоевского	12	5
46	романа достоевского	14	5
47	в мире	7	5
48	но это	5	5
49	достоевского с	7	5
50	еще не	5	5
51	но не	8	5
52	достоевский не	5	5
53	и сам	2	5
54	например в	3	5
55	все же	5	5
56	и даже	3	5
57	так же	6	5
58	и на	10	5
59	в этой	4	5
60	о том	2	5
61	героев достоевского	3	5
62	в творчестве	5	5
63	то есть	24	5
64	в духе	3	4
65	мы не	2	4
66	том что	9	4
67	мы видим	3	4
68	на его	2	4
69	что она	2	4
70	по нашему	5	4
71	творческого процесса	3	4
72	но у	2	4
73	как в	6	4
74	все эти	8	4
75	нашему мнению	3	4
76	творчество достоевского	3	4
77	героя в	4	4
78	не в	6	4
79	а в	7	4
80	герои достоевского	3	4
81	творчестве достоевского	5	4
82	и потому	3	4
83	ничего не	6	4
84	и достоевский	3	4
85	если бы	10	4
86	но в	4	4
87	он сам	3	3
88	что достоевский	3	3
89	мире достоевского	5	3
90	в одной	4	3
91	своих героев	3	3
92	к этому	2	3
93	с ним	6	3
94	роман достоевского	11	3
95	отношению к	11	3
96	одна из	2	3
97	достоевского нет	3	3
98	на западе	2	3
99	для него	15	3
100	в самом	8	3
101	он не	4	3
102	в котором	2	3
103	один из	2	3
104	в нем	20	3
105	то что	18	3
106	и это	5	3
107	вместе с	2	3
108	сих пор	2	3
109	в их	3	3
110	достоевского но	8	3
111	по отношению	11	3
112	в й	2	3
113	достоевского от	2	3
114	так как	7	3
115	человека в	5	3
116	в свете	3	3
117	уже не	8	3
118	романа и	4	3
119	одним из	8	3
120	этот вопрос	2	3
121	тем что	3	3
122	в своих	2	3
123	в которых	2	3
124	в себе	5	3
125	как у	2	3
126	его в	4	3
127	в плане	5	3
128	между тем	5	3
129	до сих	2	3
130	уже в	5	2
131	и есть	5	2
132	личности в	4	2
133	точку зрения	4	2
134	с другой	2	2
135	или даже	2	2
136	по крайней	2	2
137	й главе	2	2
138	в одном	9	2
139	я не	3	2
140	вовсе не	8	2
141	в этот	2	2
142	во всяком	4	2
143	авторского сознания	5	2
144	романы достоевского	3	2
145	в литературе	3	2
146	крайней мере	2	2
147	в искусстве	2	2
148	более того	3	2
149	как достоевский	3	2
150	в произведениях	2	2
151	всяком случае	3	2
152	точка зрения	7	2
153	не могли	2	2
154	себя в	3	2
155	в первой	2	2
156	него в	2	2
157	самого достоевского	6	2
158	по преимуществу	3	2
159	в процессе	4	2
160	в истории	2	2
161	но эти	2	2
162	достоевского для	2	2
163	на него	2	2
164	приводит к	3	2
165	с героями	3	2
166	в отличие	2	2
167	для автора	3	2
168	не было	3	2
169	достоевского к	5	2
170	и других	5	2
171	достоевского и	12	2
172	но эта	4	2
173	самом деле	5	2
174	во что	2	2
175	и у	4	2
176	и наконец	5	2
177	на этот	2	2
178	другой стороны	2	2
179	и по	2	2
180	идеи в	7	2
181	друг друга	3	2
182	достоевского мы	4	2
183	рядом с	13	2
184	роль в	2	2
185	с другими	7	2
186	о достоевском	12	2
187	не столько	3	2
188	в основе	5	2
189	героя с	2	2
190	из них	2	2
191	он писал	3	2
192	для достоевского	6	2
193	в которой	4	2
194	говорить о	2	2
195	только в	8	2
196	карамазова и	4	2
197	героя и	5	2
198	так сказать	3	2
199	их в	2	2
200	только с	2	2
201	отличие от	2	2
202	произведениях достоевского	5	2
203	одном из	2	2
