N	2gram	Vygotskiy__2	Formalny
1	и не	10	30
2	вовсе не	2	28
3	и в	32	27
4	может быть	18	25
5	не может	17	24
6	так и	3	21
7	и его	7	19
8	таким образом	21	18
9	в этом	13	18
10	а не	7	17
11	точки зрения	17	16
12	самом деле	16	16
13	в нем	4	15
14	в процессе	2	15
15	то же	13	15
16	на самом	5	14
17	как и	10	14
18	с точки	10	14
19	не в	8	12
20	если бы	6	12
21	и от	2	11
22	в самом	12	11
23	в жизни	4	11
24	художественное произведение	6	11
25	и т	10	11
26	место в	2	10
27	но и	10	10
28	не могут	3	10
29	в действительности	4	9
30	так как	12	9
31	не только	12	9
32	так же	18	9
33	что в	20	8
34	ни в	2	8
35	при этом	13	8
36	как бы	6	8
37	отнюдь не	5	8
38	и все	4	8
39	то что	21	8
40	как раз	5	8
41	только в	7	8
42	не менее	8	7
43	в том	37	7
44	же время	2	7
45	все это	5	7
46	потому что	21	7
47	в искусстве	21	7
48	в то	5	7
49	между тем	4	7
50	художественного произведения	5	7
51	с тем	11	7
52	совершенно не	4	7
53	в его	2	7
54	если мы	12	7
55	там где	2	7
56	все время	6	6
57	с другой	3	6
58	всяком случае	2	6
59	т д	2	6
60	все эти	7	6
61	в своих	9	6
62	но в	3	6
63	произведения как	2	6
64	что он	13	6
65	еще не	2	6
66	было бы	11	6
67	все же	4	6
68	в своей	3	6
69	хотя бы	3	6
70	и для	4	6
71	в данном	4	6
72	во всяком	2	6
73	и ее	3	6
74	произведение как	2	6
75	вместе с	2	6
76	никогда не	9	5
77	в каждом	2	5
78	что именно	3	5
79	что они	7	5
80	того чтобы	14	5
81	и их	3	5
82	другой стороны	2	5
83	в ней	5	5
84	говорит он	4	5
85	в художественном	6	5
86	но не	2	5
87	что же	3	5
88	т п	8	5
89	сводится к	2	5
90	тому как	3	5
91	тем что	9	5
92	если же	4	5
93	то ни	2	4
94	в смысле	3	4
95	к тому	7	4
96	мы знаем	7	4
97	и как	7	4
98	до конца	3	4
99	для того	13	4
100	бы то	2	4
101	в целом	4	4
102	жизни и	4	4
103	данном случае	4	4
104	смысл и	2	4
105	содержания и	2	4
106	и те	4	4
107	о том	6	4
108	как это	4	4
109	мы можем	3	4
110	тогда когда	3	4
111	по себе	12	4
112	в ее	2	4
113	в романе	2	4
114	том что	21	4
115	она не	2	4
116	как в	9	4
117	только на	5	4
118	роль в	2	4
119	мы не	3	4
120	могут быть	4	4
121	подобно тому	2	4
122	из этого	4	4
123	приема и	2	4
124	творчества и	3	3
125	же как	4	3
126	бы и	3	3
127	искусства в	5	3
128	что это	8	3
129	в этих	2	3
130	материала и	2	3
131	тому что	4	3
132	в какой	2	3
133	столь же	4	3
134	это не	2	3
135	формы и	6	3
136	формы в	3	3
137	в конце	3	3
138	те же	6	3
139	для нас	2	3
140	того что	8	3
141	в него	2	3
142	в виду	3	3
143	и тем	4	3
144	той же	8	3
145	этом отношении	5	3
146	и что	22	3
147	в которых	3	3
148	и на	5	3
149	никак не	4	3
150	их в	2	3
151	сказать что	7	3
152	и с	4	3
153	в основе	11	3
154	и следовательно	2	3
155	и более	4	3
156	в них	2	3
157	ясно что	7	3
158	художественном произведении	5	3
159	того же	2	3
160	же самое	6	3
161	во всех	3	3
162	оно не	2	3
163	самое понятие	2	3
164	дело с	8	3
165	в произведении	4	3
166	что материал	2	3
167	одни и	2	3
168	не на	2	3
169	жизнь и	3	3
170	в себе	2	3
171	в поэзии	3	3
172	художественного приема	2	2
173	а на	4	2
174	для этого	3	2
175	в отношении	3	2
176	но так	2	2
177	главным образом	3	2
178	была бы	2	2
179	на все	5	2
180	его от	2	2
181	но это	2	2
182	такой же	7	2
183	в этой	6	2
184	на этом	3	2
185	очевидно что	2	2
186	роман и	2	2
187	в общем	3	2
188	к нулю	2	2
189	из них	4	2
190	от того	4	2
191	что она	16	2
192	отличается от	2	2
193	в нас	3	2
194	и только	2	2
195	и содержание	2	2
196	но эта	2	2
197	в самой	2	2
198	у них	2	2
199	именно на	2	2
200	и даже	5	2
201	одной и	4	2
202	увидим что	2	2
203	принадлежат к	2	2
204	действующих лиц	3	2
205	материал и	2	2
206	знаем что	4	2
207	говорит эйхенбаум	2	2
208	как он	2	2
209	конце концов	3	2
210	к которому	2	2
211	том как	2	2
212	по учению	2	2
213	с его	2	2
214	именно потому	2	2
215	не как	3	2
216	же что	2	2
217	идет не	2	2
218	с ее	3	2
219	а к	2	2
220	мы должны	3	2
221	и из	6	2
222	в сущности	7	2
223	не значит	2	2
224	сами по	3	2
225	с таким	8	2
226	что и	17	2
227	тем не	4	2
228	как не	2	2
229	жизни с	3	2
230	так в	2	2
231	в языке	4	2
232	это только	3	2
233	художественный прием	2	2
234	бы не	2	2
235	то или	2	2
236	в таком	2	2
237	форма в	2	2
238	что этот	2	2
239	это можно	2	2
240	это значит	3	2
241	в каком	3	2
242	ту же	4	2
243	и это	4	2
244	отличие от	2	2
245	ничего не	4	2
246	для художественного	2	2
