N	2gram	Losev_Dial_4	slovoVRo
1	и в	15	39
2	может быть	17	37
3	и т	17	35
4	и его	7	33
5	не только	8	24
6	и не	30	22
7	но и	4	21
8	не может	11	20
9	в нем	5	19
10	все это	9	16
11	в этом	11	16
12	так и	5	15
13	а не	18	14
14	как в	3	13
15	отличие от	2	13
16	во всех	2	12
17	в истории	3	11
18	вовсе не	6	10
19	к своему	2	9
20	не в	8	9
21	и с	4	9
22	прежде всего	11	8
23	себя в	2	8
24	оно не	2	8
25	таким образом	5	8
26	точки зрения	14	8
27	с его	5	7
28	при этом	2	7
29	еще не	4	7
30	в его	4	7
31	как бы	14	7
32	никогда не	2	7
33	и потому	3	7
34	и даже	6	7
35	могут быть	3	7
36	с ним	3	7
37	в них	2	6
38	все же	2	6
39	как и	7	6
40	в своем	5	6
41	она не	4	6
42	в сущности	5	6
43	жизни и	4	6
44	все эти	3	6
45	но в	3	6
46	не могут	2	5
47	это не	12	5
48	и для	5	5
49	и все	11	5
50	по себе	13	5
51	том что	10	5
52	но все	2	5
53	только в	7	5
54	в том	11	5
55	и их	2	5
56	той или	4	5
57	один из	4	5
58	уже не	9	5
59	и наконец	3	5
60	с ними	4	5
61	от него	3	5
62	конечно не	2	5
63	не менее	2	4
64	себя и	3	4
65	ни в	8	4
66	же время	6	4
67	в смысле	5	4
68	в отношении	2	4
69	для этого	2	4
70	отношения к	3	4
71	то же	9	4
72	что оно	7	4
73	для всех	3	4
74	и на	5	4
75	в основе	10	4
76	даже и	3	4
77	в то	6	4
78	отношении к	2	4
79	во всем	2	4
80	так как	14	4
81	если она	2	3
82	смысла и	3	3
83	перед нами	6	3
84	что в	7	3
85	хотя бы	4	3
86	человека и	2	3
87	должна быть	7	3
88	в собственном	3	3
89	в свою	3	3
90	сама по	5	3
91	что и	6	3
92	но это	4	3
93	на этом	3	3
94	и как	4	3
95	с их	4	3
96	и часто	2	3
97	в ней	5	3
98	быть и	3	3
99	собственном смысле	2	3
100	бы и	3	3
101	в свете	5	3
102	лишь в	2	3
103	с точки	9	3
104	той же	5	3
105	сказать что	6	3
106	говорить о	11	3
107	в особенности	4	3
108	в чем	8	3
109	как это	2	3
110	во всяком	2	3
111	в данном	3	2
112	не было	2	2
113	в сфере	5	2
114	хотя и	6	2
115	однако в	2	2
116	того как	2	2
117	тогда когда	5	2
118	не всегда	3	2
119	только о	3	2
120	в себе	8	2
121	что он	7	2
122	без всякого	2	2
123	с ее	10	2
124	и слово	2	2
125	свою очередь	2	2
126	на нем	2	2
127	все что	2	2
128	как о	2	2
129	и нет	3	2
130	и само	2	2
131	и чисто	5	2
132	мы уже	3	2
133	за пределы	3	2
134	как вещь	2	2
135	же и	2	2
136	о нем	2	2
137	но мы	2	2
138	то что	16	2
139	его как	2	2
140	вместе с	2	2
141	а именно	6	2
142	в их	3	2
143	кроме того	2	2
144	смысл и	3	2
145	далее в	2	2
146	и ни	2	2
147	с этим	3	2
148	может и	2	2
149	т д	15	2
150	в виде	3	2
151	именно в	5	2
152	это и	9	2
153	в себя	5	2
154	мы не	9	2
155	того чтобы	5	2
156	для того	5	2
157	или в	7	2
158	также и	4	2
159	в результате	6	2
160	и при	2	2
161	но как	2	2
162	ведь и	2	2
163	и вне	2	2
164	о том	5	2
165	это возможно	2	2
166	бы только	4	2
167	можно говорить	2	2
168	в области	3	2
169	в одном	4	2
