N	2gram	Berdyaev_N_1	Marksizm
1	может быть	7	28
2	и пр	3	25
3	и в	16	19
4	и не	11	19
5	не может	16	18
6	в этом	7	15
7	лишь в	6	14
8	не только	5	13
9	в нем	5	11
10	не в	6	10
11	но и	3	10
12	том что	2	10
13	так и	2	10
14	и т.п	2	10
15	в основе	3	9
16	как и	7	9
17	а не	17	9
18	в то	2	8
19	с его	6	8
20	никогда не	6	7
21	в том	8	7
22	но в	2	7
23	прежде всего	4	7
24	одна из	2	7
25	и для	4	7
26	в смысле	2	6
27	к тому	3	6
28	ни в	6	6
29	того чтобы	2	6
30	и все	4	6
31	во всех	3	6
32	хотя бы	2	6
33	смысле слова	3	5
34	так же	2	5
35	и на	2	5
36	должна быть	3	4
37	это не	4	4
38	то что	4	4
39	сказать что	3	4
40	в русском	2	4
41	конечно не	3	4
42	в себе	2	4
43	не существует	3	3
44	с другой	3	3
45	и от	2	3
46	высшей степени	6	3
47	одной стороны	2	3
48	не имеют	2	3
49	в ней	5	3
50	за пределы	3	3
51	а в	2	3
52	с этим	2	3
53	с одной	2	3
54	все эти	2	3
55	не имеет	4	3
56	должно быть	4	3
57	и формы	2	3
58	не было	4	3
59	в истории	3	3
60	о том	4	3
61	в высшей	6	3
62	в ее	3	3
63	еще не	3	3
64	не к	2	3
65	он не	8	3
66	не есть	3	3
67	не будет	7	3
68	в своей	3	3
69	мысли и	2	3
70	могут быть	2	3
71	и это	2	3
72	место в	2	2
73	связана с	2	2
74	все время	2	2
75	что в	9	2
76	формы и	2	2
77	не знает	6	2
78	вопрос о	3	2
79	каждого человека	2	2
80	жизни и	8	2
81	и даже	2	2
82	но для	2	2
83	и с	2	2
84	xix века	5	2
85	стремится к	3	2
86	у него	2	2
87	в жизни	5	2
88	но не	2	2
89	ли это	2	2
90	и потому	4	2
91	должен быть	5	2
92	себя в	2	2
93	нем нет	2	2
94	мы не	2	2
95	на протяжении	2	2
96	бытия в	2	2
97	это было	3	2
98	вместе с	2	2
