N	2gram	Vinokur_St_1	Narrotol
1	не только	18	32
2	может быть	15	25
3	но и	10	23
4	в качестве	4	21
5	и не	16	20
6	и в	44	19
7	то есть	2	19
8	в том	36	18
9	в этом	21	17
10	в тексте	12	16
11	в частности	4	14
12	том что	29	14
13	не в	12	14
14	а не	16	12
15	своего рода	3	12
16	то что	18	11
17	а в	17	11
18	не может	8	10
19	точки зрения	11	10
20	при этом	2	9
21	со стороны	6	9
22	так и	9	9
23	в его	9	9
24	с другой	9	8
25	не является	3	8
26	в себе	2	8
27	в случае	2	7
28	как и	9	7
29	еще не	3	7
30	такого рода	2	7
31	а также	2	7
32	все же	8	7
33	как в	13	7
34	по отношению	3	7
35	с одной	3	7
36	одной стороны	2	7
37	том числе	2	6
38	что он	10	6
39	отношению к	3	6
40	то в	3	6
41	но не	3	6
42	именно в	6	6
43	в той	6	6
44	тем самым	2	6
45	как это	4	6
46	о том	17	6
47	но в	10	6
48	не все	3	5
49	к нему	2	5
50	и его	8	5
51	в данном	14	5
52	в основе	3	5
53	в этой	11	5
54	точку зрения	3	4
55	во втором	4	4
56	прежде всего	7	4
57	в нем	5	4
58	у него	2	4
59	что не	3	4
60	то же	5	4
61	да и	3	4
62	но все	4	4
63	если не	2	4
64	же время	4	4
65	было бы	17	4
66	как бы	4	4
67	речь идет	4	4
68	и тем	3	4
69	хотя бы	6	4
70	данном случае	6	4
71	другой стороны	7	4
72	числе и	2	4
73	сказать что	7	4
74	только в	10	4
75	как правило	2	4
76	и с	3	4
77	не существует	3	3
78	не менее	5	3
79	а с	3	3
80	же как	3	3
81	что в	30	3
82	могут быть	5	3
83	никогда не	5	3
84	уже в	2	3
85	а во	3	3
86	из этих	6	3
87	тем не	2	3
88	ни в	3	3
89	это и	4	3
90	может не	2	3
91	что они	7	3
92	в сущности	2	3
93	в ней	3	3
94	он не	2	3
95	и даже	5	3
96	из двух	3	3
97	если в	2	3
98	в первом	2	3
99	из них	8	3
100	жизни и	5	3
101	в ее	4	3
102	на него	2	3
103	а именно	3	3
104	даже не	4	3
105	этом отношении	7	3
106	столь же	4	3
107	то или	3	3
108	или иначе	2	3
109	будто бы	3	3
110	между тем	3	3
111	тем что	5	3
112	по своей	2	3
113	в то	9	3
114	как будто	4	3
115	что это	4	3
116	дело с	2	2
117	не являются	3	2
118	или иное	3	2
119	бы не	2	2
120	должна быть	3	2
121	в своем	2	2
122	что у	4	2
123	в какой	3	2
124	текста в	5	2
125	не всегда	2	2
126	на свой	2	2
127	или иного	4	2
128	идет о	2	2
129	и сейчас	4	2
130	что на	2	2
131	говорит о	3	2
132	по существу	2	2
133	есть в	2	2
134	имеем дело	2	2
135	для него	6	2
136	языка и	4	2
137	она не	2	2
138	несмотря на	2	2
139	например в	8	2
140	вплоть до	5	2
141	и потому	2	2
142	так или	2	2
143	даже в	3	2
144	не имеет	4	2
145	его жизни	3	2
146	во второй	9	2
147	отношение к	2	2
148	так же	5	2
149	как раз	4	2
150	как к	3	2
151	и только	3	2
152	отношения к	2	2
153	не было	4	2
154	все эти	5	2
155	хотя в	2	2
156	в двух	3	2
157	совершенно не	5	2
158	самом деле	11	2
159	что мы	5	2
160	того или	4	2
161	и для	3	2
162	с точки	8	2
163	это не	8	2
164	в таком	3	2
165	можно было	13	2
166	а иногда	2	2
167	в результате	3	2
168	тем более	4	2
169	одно из	2	2
170	что касается	3	2
171	говорить о	2	2
172	здесь совершенно	3	2
173	этого слова	2	2
174	и все	2	2
175	его в	2	2
176	а если	2	2
177	ничего не	2	2
178	мы имеем	2	2
179	к которому	4	2
180	что нет	2	2
