N	2gram	Vinokur_Ku_3	Sotsiolo
1	все это	2	7
2	в том	22	5
3	в этом	16	5
4	не в	5	3
5	как же	3	3
6	для нас	4	3
7	и только	3	3
8	в его	11	3
9	более чем	2	3
10	и в	23	3
11	не только	17	3
12	по отношению	3	2
13	еще не	9	2
14	было бы	16	2
15	она может	2	2
16	только в	6	2
17	по существу	3	2
18	это и	3	2
19	таким образом	9	2
20	том что	11	2
21	далеко не	5	2
22	то же	6	2
23	отношению к	2	2
24	то что	4	2
25	главным образом	2	2
26	тем более	5	2
27	может быть	14	2
28	за пределы	2	2
29	в результате	3	2
30	в частности	2	2
31	и что	7	2
32	но и	3	2
33	дело не	2	2
34	очевидно что	3	2
35	только как	4	2
36	как бы	5	2
37	должна быть	3	2
38	что в	13	2
