N	2gram	Vygotskiy__5	Freidism
1	таким образом	19	24
2	и не	12	23
3	не может	18	20
4	точки зрения	18	19
5	прежде всего	3	18
6	в этом	25	15
7	в его	11	15
8	с помощью	10	14
9	мы можем	6	13
10	может быть	9	13
11	и его	3	12
12	как и	8	11
13	как бы	5	11
14	то что	26	11
15	все эти	4	11
16	с точки	9	11
17	и потому	2	10
18	так и	7	10
19	как мы	10	10
20	самом деле	3	10
21	его в	2	10
22	с ним	5	10
23	но в	6	10
24	и в	16	9
25	во всех	2	9
26	по отношению	12	9
27	все что	2	8
28	что он	25	8
29	отношению к	12	8
30	еще не	4	8
31	в своей	2	8
32	он не	8	8
33	не только	16	8
34	все это	2	8
35	то же	8	8
36	только в	10	8
37	так как	16	8
38	мы знаем	3	7
39	тот же	5	7
40	к нему	3	7
41	во всяком	2	7
42	мы видели	3	7
43	отношение к	11	7
44	в самом	4	7
45	те же	2	7
46	сказать что	13	7
47	никогда не	5	6
48	вовсе не	2	6
49	для него	5	6
50	за пределы	4	6
51	того что	16	6
52	в ней	2	6
53	совершенно не	2	6
54	хотя бы	5	6
55	и с	3	6
56	на протяжении	2	6
57	и к	2	5
58	но мы	5	5
59	в свою	4	5
60	можно сказать	5	5
61	не в	6	5
62	в этой	6	5
63	в чем	3	5
64	в то	5	5
65	что в	16	5
66	но и	6	5
67	в себя	3	5
68	для того	14	5
69	а в	3	5
70	и на	6	5
71	могут быть	4	5
72	с этим	3	5
73	мы должны	8	5
74	не менее	3	4
75	но не	10	4
76	я не	2	4
77	в котором	2	4
78	сознания и	2	4
79	в этих	3	4
80	в пределах	4	4
81	в жизни	2	4
82	не дает	2	4
83	если мы	7	4
84	к тому	6	4
85	на которые	3	4
86	на этом	3	4
87	связанные с	6	4
88	при этом	4	4
89	от того	3	4
90	в основе	8	4
91	в зависимости	2	4
92	в нем	7	4
93	все же	3	4
94	на основании	2	4
95	того чтобы	17	4
96	с самого	5	4
97	в которой	5	4
98	той же	4	4
99	мы не	3	4
100	с их	4	4
101	этот вопрос	6	4
102	потому что	21	4
103	в более	2	4
104	себя и	2	4
105	говорить о	3	4
106	зависимости от	2	4
107	не могут	4	3
108	самого начала	5	3
109	если бы	8	3
110	и есть	7	3
111	ребенка к	4	3
112	тому что	5	3
113	в них	2	3
114	и от	2	3
115	что все	6	3
116	а только	4	3
117	и как	3	3
118	но это	3	3
119	учение о	2	3
120	по своему	3	3
121	со всеми	2	3
122	по поводу	2	3
123	и может	3	3
124	было бы	10	3
125	и тот	3	3
126	один и	3	3
127	ни на	2	3
128	внутренняя речь	7	3
129	ее в	3	3
130	ребенка в	5	3
131	жизни и	2	3
132	когда он	2	3
133	вместе с	4	3
134	приводит к	7	3
135	тому чтобы	4	3
136	не знает	5	3
137	как в	5	3
138	мысли и	5	3
139	и что	12	3
140	свою очередь	3	3
141	этой теории	5	3
142	на этот	4	3
143	и по	4	3
144	между двумя	3	3
145	такой же	4	3
146	при анализе	2	3
147	у него	6	3
148	ничего общего	3	3
149	не является	5	3
150	в самых	4	2
151	этих двух	3	2
152	в отношении	9	2
153	зависит от	4	2
154	на всем	2	2
155	но все	2	2
156	только не	3	2
157	и другие	2	2
158	что между	4	2
159	его и	3	2
160	между собой	13	2
161	в какой	6	2
162	того же	7	2
163	с другой	4	2
164	с которыми	2	2
165	это не	4	2
166	к этому	3	2
167	в такой	5	2
168	же самое	4	2
169	для развития	6	2
170	для ребенка	3	2
171	до конца	3	2
172	это и	3	2
173	том что	15	2
174	высшей степени	2	2
175	чем он	2	2
176	а не	10	2
177	что с	5	2
178	одной стороны	3	2
179	из них	2	2
180	у ребенка	9	2
181	мы говорили	2	2
182	на всю	2	2
183	что мы	4	2
184	его отношение	2	2
185	но если	6	2
186	в процессе	13	2
187	в своем	5	2
188	в этот	2	2
189	точка зрения	8	2
190	помощью которого	2	2
191	что значит	3	2
192	ответ на	3	2
193	только для	2	2
194	в развитии	28	2
195	во второй	2	2
196	сих пор	3	2
197	что она	2	2
198	в их	3	2
199	только на	2	2
200	отношения к	2	2
201	в совершенно	2	2
202	а с	2	2
203	этом отношении	5	2
204	с одной	3	2
205	что оно	6	2
206	внутренней речи	7	2
207	сознания в	3	2
208	а потому	3	2
209	из того	11	2
210	в отличие	2	2
211	речи мы	3	2
212	должны быть	2	2
213	в высшей	2	2
214	и даже	2	2
215	к объекту	7	2
216	так же	15	2
217	как на	3	2
218	отличие от	2	2
219	на основе	2	2
220	мы видим	4	2
221	опирается на	4	2
222	значение для	2	2
223	и то	4	2
224	их в	2	2
225	потому и	3	2
226	они не	3	2
227	в своих	2	2
228	сознание и	2	2
229	что и	3	2
230	к его	3	2
231	но как	3	2
232	в другом	6	2
233	речи и	6	2
234	действительно ли	3	2
235	в первом	3	2
236	до сих	3	2
237	как это	8	2
238	в области	12	2
239	в момент	2	2
240	и поэтому	2	2
241	в виду	2	2
