N	2gram	Bakhtin_Fr_5	Marksizm
1	может быть	2	28
2	и в	45	19
3	как бы	12	19
4	и не	15	19
5	не может	5	18
6	точки зрения	4	17
7	то же	11	16
8	и его	13	16
9	как мы	8	15
10	в этом	14	15
11	таким образом	8	14
12	лишь в	2	14
13	в сущности	4	14
14	не только	14	13
15	с точки	2	13
16	связи с	6	13
17	в нем	10	11
18	вовсе не	8	11
19	не в	7	10
20	в пределах	2	10
21	но и	10	10
22	том что	7	10
23	так и	6	10
24	и т.п	16	10
25	для него	3	9
26	при этом	2	9
27	в основе	4	9
28	как и	10	9
29	самом деле	5	9
30	а не	4	9
31	же время	9	8
32	в то	11	8
33	с его	7	8
34	только в	4	8
35	в связи	5	7
36	в том	10	7
37	его в	5	7
38	но в	14	7
39	прежде всего	10	7
40	на самом	5	7
41	и для	3	7
42	к тому	2	6
43	ни в	3	6
44	и как	5	6
45	того чтобы	6	6
46	в самом	4	6
47	с помощью	3	6
48	же самое	2	6
49	и все	7	6
50	между тем	2	6
51	мы уже	4	6
52	во всех	13	6
53	слова и	2	6
54	если мы	2	6
55	для того	6	6
56	хотя бы	2	6
57	мы можем	2	6
58	в большинстве	2	5
59	к нему	2	5
60	в их	4	5
61	так же	8	5
62	и на	5	5
63	и здесь	4	5
64	большинстве случаев	2	5
65	к этому	2	5
66	того же	3	5
67	в его	13	5
68	все же	2	5
69	в данном	2	5
70	в отношении	2	4
71	это не	3	4
72	то что	2	4
73	мы видели	7	4
74	и их	5	4
75	того что	3	4
76	сказать что	4	4
77	бы в	4	4
78	как раз	5	4
79	что он	6	4
80	было бы	2	4
81	конечно не	2	4
82	связь с	3	4
83	этой связи	3	4
84	и т.д	2	4
85	ничего не	4	4
86	перед нами	4	3
87	характерно что	4	3
88	и от	4	3
89	в этой	6	3
90	в ней	8	3
91	а в	4	3
92	с этим	4	3
93	все эти	5	3
94	в другом	3	3
95	не имеет	3	3
96	чем же	4	3
97	не было	3	3
98	в истории	2	3
99	о том	4	3
100	так как	6	3
101	конечно в	2	3
102	в различных	2	3
103	в качестве	2	3
104	до сих	3	3
105	одной из	5	3
106	он не	6	3
107	относится к	2	3
108	и до	2	3
109	что и	7	3
110	в своей	3	3
111	мысли и	6	3
112	в отличие	2	3
113	менее всего	3	3
114	той же	4	3
115	и это	4	3
116	отличие от	2	3
117	сих пор	3	3
118	делает его	2	2
119	независимо от	2	2
120	что в	12	2
121	что это	2	2
122	точку зрения	2	2
123	эти последние	2	2
124	в одной	3	2
125	на все	2	2
126	он был	7	2
127	тому же	4	2
128	из важнейших	2	2
129	о чем	3	2
130	и у	5	2
131	одним из	5	2
132	жизни и	8	2
133	в своем	11	2
134	в особенности	2	2
135	именно в	3	2
136	в системе	2	2
137	и даже	4	2
138	как на	4	2
139	рядом с	2	2
140	конечно и	2	2
141	и с	10	2
142	он и	3	2
143	в начале	2	2
144	то есть	25	2
145	но они	3	2
146	от этого	2	2
147	у него	4	2
148	этих форм	2	2
149	значение и	2	2
150	но не	4	2
151	сказанного нами	2	2
152	ведь это	2	2
153	здесь в	4	2
154	и о	4	2
155	должен быть	2	2
156	и прежде	3	2
157	оставаясь в	2	2
158	в атмосфере	6	2
159	здесь как	4	2
160	в значительной	2	2
161	и он	3	2
162	мы не	4	2
163	там где	3	2
164	это было	4	2
165	вместе с	3	2
