N	2gram	Tiupa_Disk_1	Myshleni
1	в том	23	33
2	том что	19	27
3	точки зрения	3	26
4	то что	5	20
5	в этом	15	19
6	того что	3	17
7	и в	16	15
8	не только	28	15
9	что в	4	14
10	таким образом	3	14
11	что он	4	12
12	и т.д	4	12
13	в самом	3	11
14	в процессе	5	11
15	в целом	4	10
16	но и	14	10
17	в своем	6	9
18	может быть	17	9
19	не является	4	9
20	не может	9	9
21	о том	8	9
22	в сущности	2	9
23	связи с	4	9
24	так и	8	8
25	никогда не	2	8
26	не в	7	8
27	заключается в	3	8
28	и что	2	8
29	к тому	5	7
30	одной стороны	9	7
31	с одной	9	7
32	и не	11	7
33	потому что	4	7
34	как бы	5	7
35	по себе	3	7
36	и т.п	12	7
37	во всяком	2	7
38	едва ли	2	7
39	в частности	9	6
40	как мы	2	6
41	в этой	2	6
42	в виду	2	6
43	по отношению	9	6
44	с другой	10	6
45	сказать что	3	6
46	в истории	4	6
47	но в	8	6
48	и к	4	6
49	как и	16	6
50	по своей	11	6
51	к которому	2	6
52	это не	3	5
53	уже в	2	5
54	что с	2	5
55	и др	2	5
56	и даже	3	5
57	отношению к	9	5
58	внутренней речи	2	5
59	приводит к	2	5
60	то же	7	5
61	прежде всего	11	4
62	том чтобы	2	4
63	в них	4	4
64	а в	5	4
65	в начале	2	4
66	с его	4	4
67	к этому	2	4
68	все же	3	4
69	в качестве	34	4
70	в своей	5	4
71	как в	10	4
72	а с	5	4
73	хотя бы	3	4
74	и его	2	4
75	только в	7	4
76	том числе	2	3
77	числе и	2	3
78	об этом	2	3
79	для него	4	3
80	при этом	13	3
81	из двух	2	3
82	точка зрения	2	3
83	из них	3	3
84	данном случае	2	3
85	со стороны	7	3
86	языка и	2	3
87	они не	2	3
88	лишь в	4	3
89	и по	2	3
90	в которых	4	3
91	в основе	7	3
92	мы имеем	2	3
93	и все	2	3
94	с этим	3	3
95	состоит в	9	3
96	но не	11	3
97	того же	3	3
98	одной из	4	3
99	для себя	4	3
100	когда он	2	3
101	речи как	2	3
102	а не	22	3
103	или в	2	3
104	в данном	5	3
105	в отличие	5	3
106	и ее	2	3
107	отличие от	5	3
108	в противоположность	2	2
109	и есть	2	2
110	перед нами	3	2
111	столь же	3	2
112	как уже	3	2
113	или иной	5	2
114	можно сказать	5	2
115	и как	6	2
116	имеет свою	3	2
117	той или	3	2
118	в котором	5	2
119	и тем	2	2
120	с ее	2	2
121	могут быть	4	2
122	на том	2	2
123	в их	5	2
124	для обозначения	3	2
125	целый ряд	2	2
126	ни чисто	2	2
127	не следует	2	2
128	к себе	2	2
129	же самое	2	2
130	также и	3	2
131	однако и	2	2
132	а также	8	2
133	понятие о	3	2
134	в одном	2	2
135	и составляет	3	2
136	отнюдь не	8	2
137	всей его	2	2
138	не могло	2	2
139	к его	2	2
140	самому себе	2	2
141	стороны и	2	2
142	именно в	3	2
143	представляет собой	17	2
144	указывает на	2	2
145	за пределы	2	2
146	иначе говоря	2	2
147	в его	7	2
148	что и	3	2
149	во всех	5	2
150	научного мышления	3	2
151	или менее	2	2
152	что же	2	2
153	в себя	5	2
154	в силу	5	2
155	тому как	3	2
156	тем что	3	2
157	подобно тому	2	2
158	в себе	7	2
159	в другом	2	2
160	на протяжении	2	2
161	и вообще	2	2
162	заметить что	2	2
163	более или	2	2
