N	2gram	Vygotskiy__5	slovoVRo
1	и в	30	41
2	в нем	7	30
3	и т	7	28
4	то есть	13	26
5	т п	3	23
6	в романе	2	21
7	могут быть	8	19
8	во всех	2	17
9	но и	6	16
10	и не	6	16
11	точки зрения	7	16
12	не только	16	16
13	а не	8	15
14	то же	7	14
15	может быть	11	14
16	не может	9	14
17	и его	6	14
18	и на	3	14
19	в то	2	14
20	в сущности	12	13
21	в его	4	13
22	до конца	2	12
23	как бы	19	12
24	в этом	14	12
25	так и	3	11
26	в той	3	10
27	или иной	2	9
28	той или	2	9
29	таким образом	20	9
30	все эти	2	9
31	прежде всего	4	8
32	на его	3	8
33	но в	5	8
34	как в	3	8
35	как мы	5	8
36	с точки	2	8
37	или в	6	8
38	не в	8	7
39	и следовательно	2	7
40	вовсе не	3	7
41	в своей	4	7
42	все же	7	7
43	в отношении	2	6
44	того же	2	6
45	это не	3	6
46	при этом	8	6
47	и даже	2	6
48	а в	4	6
49	в них	4	6
50	только в	5	6
51	с другой	9	5
52	со своим	2	5
53	в самом	14	5
54	все это	2	5
55	т д	3	5
56	в основе	7	5
57	и к	4	5
58	он в	2	5
59	перед нами	2	4
60	преимущественно в	2	4
61	в каждом	2	4
62	одной стороны	12	4
63	в ней	4	4
64	один из	5	4
65	в их	3	4
66	с одной	12	4
67	и наконец	3	4
68	рядом с	5	4
69	и с	2	4
70	в которой	3	4
71	и все	4	4
72	с его	2	4
73	не как	3	4
74	как и	6	4
75	еще не	5	4
76	по преимуществу	2	4
77	и потому	5	4
78	быть и	2	4
79	другой стороны	5	4
80	и для	6	4
81	ту же	2	4
82	там где	4	4
83	ничего не	2	4
84	как только	4	3
85	не могут	3	3
86	все время	20	3
87	никогда не	9	3
88	хотя бы	3	3
89	формы и	3	3
90	из этих	3	3
91	к тому	8	3
92	мы найдем	4	3
93	в том	27	3
94	в свою	3	3
95	для него	3	3
96	в большей	2	3
97	в него	4	3
98	в зависимости	6	3
99	из них	2	3
100	данном случае	3	3
101	в своем	6	3
102	именно в	6	3
103	того что	8	3
104	в результате	4	3
105	и здесь	6	3
106	о том	10	3
107	так как	9	3
108	у него	3	3
109	с этим	2	3
110	в себе	5	3
111	с этой	2	3
112	по существу	2	3
113	зависимости от	7	3
114	в качестве	2	3
115	было бы	5	3
116	он не	3	3
117	из этого	2	3
118	в данном	3	3
119	же как	2	2
120	в частности	4	2
121	от этой	2	2
122	тому что	8	2
123	что все	6	2
124	том и	2	2
125	этом случае	2	2
126	можно сказать	2	2
127	для нас	3	2
128	так что	3	2
129	что они	5	2
130	на этом	6	2
131	такое понимание	2	2
132	друг с	3	2
133	и той	2	2
134	для того	20	2
135	между ними	2	2
136	был бы	5	2
137	и тем	6	2
138	в целом	5	2
139	в этих	3	2
140	на том	2	2
141	вносит в	2	2
142	имеет дело	4	2
143	именно эта	2	2
144	должно быть	2	2
145	так же	13	2
146	время как	2	2
147	сказать что	9	2
148	потому что	23	2
149	но он	3	2
150	поэтический язык	2	2
151	не является	2	2
152	а как	2	2
153	в котором	2	2
154	между собой	2	2
155	обстоит дело	3	2
156	бы его	2	2
157	в одном	2	2
158	к этому	3	2
159	остановимся на	3	2
160	у нас	4	2
161	том что	21	2
162	не с	2	2
163	мы видим	8	2
164	одна из	3	2
165	но не	7	2
166	одно и	3	2
167	лучшем случае	3	2
168	слов и	2	2
169	до сих	5	2
170	мы уже	6	2
171	совершенно не	6	2
172	с которым	3	2
173	как вещь	2	2
174	и о	3	2
175	сих пор	5	2
176	романа как	2	2
177	в ее	3	2
178	как раз	13	2
179	так в	3	2
180	а с	5	2
181	на самом	2	2
182	если мы	16	2
183	только на	4	2
184	и эта	2	2
185	не есть	4	2
186	речь в	2	2
187	сил в	4	2
188	той же	3	2
189	в лучшем	3	2
190	мы не	3	2
191	можно было	3	2
192	и то	9	2
193	различия между	2	2
194	мы все	6	2
195	в другом	3	2
196	связи с	2	2
197	с другом	3	2
