N	2gram	Medvedev_F_1	RusskieA
1	и в	24	29
2	т е	34	24
3	что в	4	22
4	в том	6	22
5	как бы	6	18
6	может быть	14	13
7	как и	11	11
8	одна из	2	11
9	в этом	15	11
10	все это	9	10
11	и с	8	10
12	не только	7	10
13	а в	6	9
14	или на	2	8
15	но и	7	8
16	его в	3	8
17	мы видели	2	7
18	как в	8	7
19	с тем	2	6
20	мы не	3	6
21	же в	3	6
22	еще не	6	6
23	вместе с	2	6
24	таким образом	13	6
25	при этом	5	6
26	и на	8	6
27	на нее	2	6
28	это не	2	5
29	то что	8	5
30	и что	2	5
31	но не	3	5
32	для этого	4	5
33	и т	12	5
34	не может	16	5
35	или же	3	5
36	т д	8	5
37	из воды	2	5
38	но в	5	5
39	именно в	8	4
40	в них	3	4
41	и все	6	4
42	вопрос о	2	4
43	уже не	2	4
44	по существу	2	4
45	не в	8	4
46	же как	2	4
47	так же	4	4
48	то же	10	4
49	у нас	5	4
50	а не	10	4
51	как это	6	4
52	и других	3	3
53	и от	7	3
54	в году	2	3
55	главным образом	4	3
56	для этой	2	3
57	в ее	8	3
58	она не	6	3
59	а н	3	3
60	до конца	7	3
61	того что	5	3
62	было бы	6	3
63	с другими	4	3
64	во всех	5	3
65	все эти	6	3
66	друг друга	4	3
67	как мы	5	3
68	между тем	2	3
69	в этой	6	3
70	в эту	2	3
71	не менее	11	2
72	с этой	4	2
73	связи с	3	2
74	своей книге	2	2
75	никогда не	4	2
76	жизни в	2	2
77	с другой	5	2
78	если он	3	2
79	прежде всего	22	2
80	что и	2	2
81	прав когда	2	2
82	к ней	2	2
83	нас не	2	2
84	это и	3	2
85	и как	3	2
86	у них	3	2
87	здесь в	2	2
88	одной стороны	4	2
89	только как	2	2
90	и пр	17	2
91	в него	2	2
92	еще в	2	2
93	один из	3	2
94	должен быть	5	2
95	не с	2	2
96	все же	3	2
97	в своей	11	2
98	все в	2	2
99	ее от	2	2
100	том чтобы	2	2
101	в их	11	2
102	влияние на	3	2
103	не было	3	2
104	с одной	4	2
105	на самом	7	2
106	ее к	2	2
107	эта связь	2	2
108	должно быть	11	2
109	жизнь и	3	2
110	в своих	2	2
111	с этим	2	2
112	и ее	10	2
113	во всем	2	2
114	в то	9	2
115	в которой	4	2
116	не можем	2	2
