N	2gram	Tiupa_Disk_1	Problema
1	то есть	20	46
2	в его	7	43
3	и не	11	42
4	и в	16	38
5	не может	9	27
6	может быть	17	26
7	как бы	5	22
8	по отношению	9	21
9	отнюдь не	8	19
10	отношению к	9	19
11	к содержанию	3	17
12	и его	2	16
13	в нем	9	15
14	в этом	15	15
15	прежде всего	11	13
16	только в	7	13
17	за пределы	2	12
18	но не	11	12
19	во всех	5	11
20	отношение к	4	10
21	в их	5	10
22	таким образом	3	10
23	но и	14	9
24	не только	28	9
25	в том	23	8
26	и как	6	8
27	и др	2	8
28	точки зрения	3	8
29	то что	5	8
30	слова в	2	7
31	что в	4	7
32	с другой	10	7
33	не в	7	7
34	в самом	3	7
35	но отнюдь	2	7
36	между тем	4	7
37	конститутивный момент	2	7
38	как и	16	7
39	еще не	14	7
40	в своей	5	7
41	как мы	2	7
42	не всегда	2	6
43	в пределах	2	6
44	а в	5	6
45	произведение в	2	6
46	не есть	2	6
47	все же	3	6
48	дело с	2	6
49	отношения к	2	6
50	то же	7	5
51	в своем	6	5
52	это не	3	5
53	при этом	13	5
54	имеет место	3	5
55	никогда не	2	5
56	в основе	7	5
57	далеко не	10	5
58	в них	4	5
59	и о	4	5
60	так и	8	5
61	в отличие	5	5
62	а не	22	5
63	могут быть	4	5
64	отличие от	5	5
65	не менее	2	4
66	должны быть	3	4
67	известной степени	2	4
68	в виду	2	4
69	другой стороны	3	4
70	данном случае	2	4
71	в форме	2	4
72	сказать что	3	4
73	в то	3	4
74	о том	8	4
75	в произведении	3	4
76	и потому	3	4
77	к которому	2	4
78	но в	8	4
79	но они	2	4
80	не с	3	4
81	в ее	3	4
82	как в	10	4
83	может и	2	4
84	что не	4	4
85	хотя бы	3	4
86	в данном	5	4
87	более того	2	4
88	в себе	7	4
89	сказать и	2	3
90	вследствие этого	3	3
91	в тех	2	3
92	его как	2	3
93	основе своей	2	3
94	имеем дело	2	3
95	же время	4	3
96	одной стороны	9	3
97	например в	2	3
98	хотя и	2	3
99	не является	4	3
100	точка зрения	2	3
101	и тем	2	3
102	в целом	4	3
103	за его	2	3
104	с одной	9	3
105	они не	2	3
106	и даже	3	3
107	и на	5	3
108	также и	3	3
109	и все	2	3
110	и к	4	3
111	как его	2	3
112	том что	19	3
113	одной из	4	3
114	оно не	2	3
115	приводит к	2	3
116	на ее	2	3
117	едва ли	2	3
118	на этом	2	2
119	в едином	2	2
120	ни к	6	2
121	и есть	2	2
122	в частности	9	2
123	в равной	2	2
124	в какой	2	2
125	столь же	3	2
126	в каждом	2	2
127	для понимания	2	2
128	эстетической деятельности	3	2
129	или иной	5	2
130	можно сказать	5	2
131	но зато	2	2
132	в значительной	2	2
133	не более	2	2
134	в свою	3	2
135	совпадает с	2	2
136	той или	3	2
137	в котором	5	2
138	в культуре	2	2
139	отличается от	2	2
140	как к	2	2
141	в особенности	4	2
142	не было	7	2
143	лишь в	4	2
144	и что	2	2
145	того что	3	2
146	в своих	3	2
147	не следует	2	2
148	к себе	2	2
149	к его	2	2
150	но как	2	2
151	в начале	2	2
152	в истории	4	2
153	о котором	2	2
154	же самое	2	2
155	того или	2	2
156	мы имеем	2	2
157	с его	4	2
158	себе не	3	2
159	и во	2	2
160	определить как	2	2
161	к этому	2	2
162	что он	4	2
163	связи с	4	2
164	здесь в	2	2
165	в строгом	3	2
166	что и	3	2
167	себя в	2	2
168	эстетическая деятельность	3	2
169	человека в	2	2
170	в себя	5	2
171	и он	2	2
172	или в	2	2
173	тем что	3	2
174	можно определить	2	2
175	и ее	2	2
176	в другом	2	2
177	и вообще	2	2
178	событием и	2	2
