N	2gram	Potebnia_M_3	Psycholo
1	то что	18	32
2	и в	30	31
3	в том	32	30
4	и т	5	26
5	то есть	34	26
6	что в	17	23
7	может быть	28	22
8	таким образом	14	20
9	при этом	3	19
10	так как	13	18
11	художественного произведения	5	17
12	не может	6	17
13	как и	10	16
14	том что	18	16
15	и не	15	16
16	т п	2	16
17	искусства и	3	15
18	точки зрения	2	15
19	только в	21	14
20	а не	15	13
21	не только	21	13
22	что и	13	13
23	так же	3	12
24	мы не	9	12
25	в этом	10	12
26	в самом	8	11
27	с таким	2	11
28	могут быть	3	11
29	не в	15	11
30	в области	2	11
31	на то	2	10
32	художественное произведение	6	10
33	того что	18	10
34	потому что	46	10
35	по себе	16	9
36	ни в	2	9
37	как в	10	9
38	самом деле	2	9
39	вместе с	12	8
40	все это	4	8
41	т д	3	8
42	и что	10	8
43	что мы	8	8
44	что он	6	7
45	том чтобы	2	7
46	есть в	3	7
47	только тогда	9	7
48	и его	4	7
49	того чтобы	3	7
50	тому как	5	7
51	сказать что	5	7
52	о том	2	7
53	что это	4	6
54	вовсе не	7	6
55	очевидно что	5	6
56	одной стороны	3	6
57	внутренняя форма	15	6
58	было бы	9	6
59	если бы	12	6
60	из этих	9	6
61	вслед за	3	6
62	целый ряд	2	6
63	а в	12	6
64	что она	3	6
65	для того	4	6
66	и даже	2	6
67	искусство есть	2	6
68	в его	4	6
69	и есть	3	5
70	само по	3	5
71	и все	3	5
72	тогда когда	9	5
73	в ее	2	5
74	показывает что	2	5
75	все же	2	5
76	так что	7	5
77	мы видим	2	5
78	с одной	7	5
79	то время	4	5
80	для нас	20	5
81	она не	2	5
82	несмотря на	2	5
83	в какой	2	5
84	как бы	3	5
85	был бы	2	5
86	в целом	3	5
87	другой стороны	4	5
88	то же	23	5
89	с и	3	5
90	с другой	7	5
91	подобно тому	2	5
92	в то	10	5
93	к тому	7	4
94	в которой	3	4
95	в котором	4	4
96	прежде всего	3	4
97	тому что	3	4
98	столь же	4	4
99	одной и	4	4
100	в себе	16	4
101	указывает на	6	4
102	что я	5	4
103	у него	2	4
104	и если	2	4
105	и о	2	4
106	никак не	3	4
107	один из	4	4
108	со стороны	3	4
109	к этому	3	4
110	те же	6	4
111	с этой	2	4
112	мы можем	3	4
113	в искусстве	3	4
114	этого слова	11	4
115	мы различаем	2	4
116	там где	3	4
117	между тем	9	4
118	уже в	5	3
119	не могут	5	3
120	как на	5	3
121	каждого из	2	3
122	произведении искусства	4	3
123	с тем	7	3
124	только не	2	3
125	именно эти	2	3
126	с здесь	2	3
127	в своем	5	3
128	по тому	5	3
129	только при	2	3
130	с в	2	3
131	та же	2	3
132	точно так	12	3
133	что все	3	3
134	в каждом	3	3
135	представить себе	3	3
136	в собственном	2	3
137	а потому	6	3
138	себе а	4	3
139	это и	2	3
140	но это	6	3
141	в силу	3	3
142	не будет	3	3
143	но не	7	3
144	все что	4	3
145	не можем	3	3
146	до сих	3	3
147	например в	6	3
148	в этой	2	3
149	в слове	32	3
150	он не	4	3
151	художественном произведении	3	3
152	себе не	4	3
153	но мы	2	3
154	сих пор	3	3
155	не есть	17	3
156	жизни и	2	3
157	в своей	2	3
158	каждой из	3	3
159	и той	2	3
160	собственном смысле	2	3
161	так и	11	3
162	разница между	3	3
163	что при	3	3
164	только на	3	3
165	не было	4	3
166	что оно	11	3
167	от того	8	3
168	но только	2	3
169	тем же	4	3
170	и по	4	3
171	той же	2	3
172	в таком	3	3
173	в которых	2	3
174	с этим	6	3
175	внутренней формы	19	3
176	слова в	7	3
177	внутреннюю форму	5	3
178	у меня	2	3
179	может стать	2	3
180	и это	4	3
181	в произведении	3	3
182	что эта	2	3
183	когда мы	2	3
184	что по	2	3
185	на деле	5	3
186	всеми остальными	3	2
187	не менее	5	2
188	не существует	3	2
189	а слово	2	2
190	сама по	2	2
191	независимо от	5	2
192	и как	5	2
193	бы мы	2	2
194	себе представить	3	2
195	и без	7	2
196	в них	5	2
197	и от	4	2
198	должны будем	3	2
199	человека и	5	2
200	и теперь	6	2
201	это в	2	2
202	что внутренняя	2	2
203	не всегда	2	2
204	с ним	6	2
205	и вместе	3	2
206	есть не	7	2
207	смысле этого	7	2
208	там же	6	2
209	а только	3	2
210	оно есть	3	2
211	тем не	3	2
212	есть для	5	2
213	уже не	6	2
214	и потому	4	2
215	это можно	3	2
216	себя и	4	2
217	что они	2	2
218	более или	3	2
219	что даже	4	2
220	такой степени	2	2
221	есть нечто	4	2
222	чувственному образу	3	2
223	но что	2	2
224	не дает	2	2
225	что с	2	2
226	и может	3	2
227	и тот	2	2
228	по поводу	4	2
229	чувственный образ	23	2
230	что такое	2	2
231	том же	2	2
232	и следовательно	3	2
233	далеко не	4	2
234	что содержание	5	2
235	чувства и	3	2
236	даже в	2	2
237	и понятия	3	2
238	и тем	5	2
239	в нем	9	2
240	мы видели	4	2
241	человека то	2	2
242	не знаем	3	2
243	отношение к	2	2
244	из них	6	2
245	я думаю	2	2
246	но и	19	2
247	или менее	3	2
248	что же	2	2
249	мысли и	2	2
250	и тогда	3	2
251	как мы	7	2
252	только что	8	2
253	мысли так	2	2
254	то и	6	2
255	в нас	2	2
256	что есть	2	2
257	каждое из	2	2
258	этом отношении	2	2
259	тем самым	7	2
260	мысли а	4	2
261	к нему	3	2
262	есть только	5	2
263	то или	2	2
264	от него	2	2
265	что для	4	2
266	отказаться от	2	2
267	в чем	3	2
268	к чувственному	2	2
269	образ и	6	2
270	их в	2	2
271	бы ни	3	2
272	и с	2	2
273	что только	6	2
274	одно из	5	2
275	из виду	2	2
276	в каком	5	2
277	но как	2	2
278	в сознании	15	2
279	и то	8	2
280	бы в	2	2
281	на это	4	2
282	его в	3	2
283	этих слов	2	2
284	таком случае	2	2
285	не составляет	2	2
286	внешняя форма	7	2
287	не то	3	2
288	в одном	2	2
289	есть к	3	2
290	при восприятии	2	2
