N	2gram	Bakhtin_Pr_2	FransuaR
1	и в	43	41
2	то есть	4	24
3	мы уже	3	18
4	во всех	4	17
5	таким образом	5	17
6	в нем	12	16
7	и с	5	16
8	и его	8	13
9	но и	14	13
10	как мы	10	12
11	в этом	13	12
12	все это	5	11
13	уже говорили	3	11
14	все эти	5	11
15	прежде всего	10	10
16	в самом	7	10
17	не только	11	10
18	и др	2	10
19	так как	4	10
20	то что	7	10
21	здесь в	3	9
22	кроме того	3	9
23	во время	4	9
24	и на	10	9
25	и все	6	9
26	о том	5	9
27	никогда не	9	8
28	в сущности	9	8
29	но в	10	8
30	у него	6	7
31	в них	4	7
32	вовсе не	5	7
33	том что	2	7
34	как бы	22	7
35	и до	4	7
36	как и	14	7
37	что в	4	7
38	в его	10	7
39	в образе	2	6
40	что он	13	6
41	например в	2	6
42	или в	8	6
43	также и	3	6
44	сказать что	2	6
45	в то	7	6
46	то же	8	5
47	с его	4	5
48	в одном	12	5
49	так же	2	5
50	же время	5	5
51	и он	5	5
52	между собою	4	5
53	из них	2	5
54	так и	3	5
55	в своем	4	5
56	рядом с	5	5
57	большинстве случаев	8	5
58	в той	5	5
59	и что	5	5
60	той же	3	5
61	тем что	3	5
62	но он	4	5
63	в себе	5	5
64	во всем	3	5
65	там где	4	5
66	что это	2	5
67	уже в	2	4
68	с другой	4	4
69	та же	2	4
70	он был	3	4
71	а затем	2	4
72	у нас	2	4
73	и как	2	4
74	не в	11	4
75	в большинстве	9	4
76	тот же	3	4
77	в котором	6	4
78	даже в	3	4
79	все же	3	4
80	не может	18	4
81	как в	2	4
82	самом деле	5	4
83	и наконец	6	4
84	и даже	3	4
85	а в	5	4
86	более того	4	4
87	в результате	4	4
88	в другом	7	4
89	того же	3	4
90	с ним	3	4
91	мы увидим	5	3
92	перед нами	7	3
93	он сам	3	3
94	в одной	3	3
95	с этим	2	3
96	мы будем	3	3
97	но это	4	3
98	есть в	3	3
99	до сих	7	3
100	было бы	5	3
101	и сам	7	3
102	конечно не	2	3
103	и их	3	3
104	никак не	5	3
105	в него	7	3
106	и особенно	2	3
107	в первой	2	3
108	сих пор	7	3
109	и для	3	3
110	в голове	2	3
111	при этом	6	3
112	и не	29	3
113	того что	2	3
114	что не	2	3
115	между ними	4	3
116	к нему	5	3
117	только в	4	3
118	в первом	2	3
119	тело и	2	3
120	говорили что	2	3
121	он является	2	2
122	времени и	2	2
123	не могут	4	2
124	не был	2	2
125	что если	3	2
126	ведь это	2	2
127	в этих	6	2
128	для этого	2	2
129	значение в	2	2
130	превращается в	2	2
131	в конце	2	2
132	переходит в	2	2
133	а за	3	2
134	человека и	2	2
135	себе самом	3	2
136	стороны и	3	2
137	конечно в	2	2
138	если мы	2	2
139	для нас	2	2
140	в том	6	2
141	и различные	2	2
142	как его	4	2
143	так что	5	2
144	ведь и	7	2
145	но не	5	2
146	есть и	3	2
147	должна быть	3	2
148	до конца	4	2
149	со всеми	3	2
150	кажется что	3	2
151	может быть	23	2
152	одной плоскости	2	2
153	за пределы	3	2
154	в своей	4	2
155	они могут	2	2
156	хотя и	5	2
157	он не	9	2
158	и очень	2	2
159	себя в	3	2
160	в форме	2	2
161	другой стороны	3	2
162	как раз	4	2
163	не на	4	2
164	еще более	2	2
165	это все	3	2
166	но эта	2	2
167	лишь в	8	2
168	а не	7	2
169	с точки	8	2
170	мы не	4	2
171	к себе	7	2
172	каждый из	2	2
173	самим собой	3	2
174	и то	2	2
175	их в	4	2
176	между тем	3	2
177	точки зрения	13	2
178	из этих	2	2
179	как он	2	2
180	и этим	3	2
181	так сказать	6	2
182	но здесь	5	2
183	бы в	5	2
184	но конечно	2	2
185	в эту	3	2
186	в романе	3	2
