N	2gram	Bakhtin_fo_2	StatiiOP
1	и в	46	25
2	в этом	22	24
3	в том	10	20
4	что в	5	19
5	что он	3	19
6	может быть	7	19
7	тем что	3	19
8	том что	4	15
9	в этой	2	14
10	и пр	2	13
11	в его	8	12
12	то что	7	12
13	не только	11	12
14	в этих	3	11
15	так что	4	11
16	прежде всего	14	10
17	таким образом	3	10
18	и не	9	10
19	у него	9	9
20	но и	9	9
21	и т	14	8
22	все это	6	8
23	о том	4	8
24	это не	2	7
25	было бы	2	7
26	с этим	5	7
27	не может	2	7
28	точки зрения	10	7
29	в то	5	7
30	место в	4	6
31	из этих	4	6
32	в конце	2	6
33	не в	9	6
34	только в	11	6
35	как бы	10	6
36	как в	4	6
37	как на	2	6
38	а в	3	6
39	и на	7	6
40	т п	11	6
41	то же	8	5
42	в них	7	5
43	потому что	8	5
44	с другой	2	5
45	в котором	4	5
46	и это	2	5
47	а не	4	5
48	того что	3	5
49	он не	5	5
50	так и	7	5
51	мы имеем	2	5
52	но в	10	5
53	этом отношении	2	4
54	с тем	2	4
55	и др	5	4
56	точка зрения	3	4
57	в смысле	5	4
58	у нас	2	4
59	как и	8	4
60	мы видим	2	4
61	но это	2	4
62	то в	2	4
63	на протяжении	3	4
64	что здесь	2	4
65	в качестве	3	4
66	можно сказать	2	4
67	и к	2	4
68	а также	3	4
69	отношение к	3	4
70	всего в	3	4
71	в особенности	6	4
72	не было	3	4
73	лишь в	2	4
74	с точки	8	4
75	и для	9	4
76	и с	6	4
77	во всяком	2	4
78	все же	6	4
79	что все	2	3
80	уже в	4	3
81	и более	2	3
82	все они	3	3
83	во время	10	3
84	к этому	3	3
85	же время	4	3
86	всех этих	7	3
87	он был	2	3
88	с этой	4	3
89	для него	3	3
90	тем более	3	3
91	на этом	2	3
92	кроме того	3	3
93	до конца	2	3
94	и наконец	6	3
95	все эти	5	3
96	не является	3	3
97	в некоторых	2	3
98	в их	3	3
99	в связи	8	3
100	уже не	3	3
101	и его	12	3
102	но он	2	3
103	говорить о	2	3
104	в другом	3	3
105	связи с	8	3
106	так как	6	3
107	не был	2	2
108	борьба с	3	2
109	никогда не	6	2
110	себя и	3	2
111	и у	5	2
112	и во	6	2
113	в одной	2	2
114	в поэзии	2	2
115	в духе	2	2
116	вовсе не	13	2
117	или иной	2	2
118	к тому	3	2
119	как мы	6	2
120	на котором	2	2
121	большое значение	2	2
122	без всякого	2	2
123	что они	4	2
124	но не	5	2
125	более что	2	2
126	того же	3	2
127	в последнем	2	2
128	до сих	2	2
129	еще не	6	2
130	в это	3	2
131	в сущности	2	2
132	во всех	11	2
133	в прямом	2	2
134	в уста	2	2
135	в виду	3	2
136	если в	2	2
137	нет и	3	2
138	вступают в	2	2
139	один из	2	2
140	как можно	3	2
141	вместе с	9	2
142	сих пор	2	2
143	ее в	3	2
144	в форме	3	2
145	не на	3	2
146	и только	2	2
147	в отношении	2	2
148	т д	3	2
149	с одной	2	2
150	и других	2	2
151	него есть	2	2
152	не мог	2	2
153	для того	8	2
154	и по	3	2
155	и всегда	2	2
156	на основе	3	2
157	в которых	3	2
158	могут быть	2	2
159	имеем в	3	2
160	жизни но	2	2
161	так сказать	7	2
162	то есть	10	2
