N	2gram	Tiupa_Anal_2	Formalny
1	т е	2	34
2	и в	16	24
3	художественного произведения	2	23
4	в его	2	23
5	прежде всего	3	22
6	и не	12	20
7	так и	15	18
8	не может	4	16
9	точки зрения	4	16
10	в этом	18	15
11	может быть	6	14
12	с точки	2	13
13	таким образом	2	13
14	в своем	4	11
15	не менее	4	11
16	как и	14	11
17	в своей	2	11
18	в их	3	11
19	вовсе не	2	10
20	литературное произведение	3	10
21	и их	2	10
22	то же	4	10
23	а не	10	10
24	и его	4	10
25	все это	4	9
26	в то	2	9
27	произведения в	5	8
28	же время	2	8
29	именно в	3	8
30	то что	7	8
31	как в	4	8
32	лишь в	9	8
33	и на	6	8
34	не в	4	8
35	место в	3	7
36	не только	16	7
37	с ее	2	7
38	но и	12	7
39	отнюдь не	8	6
40	и все	3	6
41	было бы	3	6
42	в том	12	6
43	в этой	9	6
44	в пределах	9	6
45	она не	2	6
46	еще не	2	6
47	как бы	10	6
48	в целом	8	6
49	а в	3	6
50	отношения к	2	6
51	на основе	2	6
52	как это	6	6
53	по себе	2	5
54	при этом	10	5
55	только на	3	5
56	во всех	4	5
57	в самом	6	5
58	и до	2	5
59	со стороны	3	5
60	как мы	3	5
61	того что	2	5
62	с другой	6	5
63	но в	6	5
64	в частности	16	4
65	никогда не	3	4
66	и к	5	4
67	в мире	6	4
68	одной стороны	4	4
69	литературного произведения	16	4
70	если бы	3	4
71	отношению к	4	4
72	при таком	2	4
73	так же	2	4
74	по отношению	4	4
75	что в	2	4
76	с одной	5	4
77	как о	3	4
78	но не	4	3
79	борьба с	3	3
80	или иного	3	3
81	к тому	7	3
82	его как	2	3
83	для него	4	3
84	так например	2	3
85	в общем	2	3
86	не о	2	3
87	он не	2	3
88	один из	2	3
89	всего в	2	3
90	на фоне	3	3
91	особенно в	7	3
92	сводится к	3	3
93	тем самым	4	3
94	и даже	9	3
95	его в	2	3
96	в себе	7	3
97	этого слова	3	3
98	бы в	3	3
99	того или	3	2
100	еще одна	2	2
101	а как	2	2
102	вступает в	2	2
103	в нашем	3	2
104	и особенно	4	2
105	в одном	2	2
106	художественного восприятия	2	2
107	здесь в	2	2
108	но эта	2	2
109	уже не	4	2
110	по существу	2	2
111	только в	4	2
112	в действительности	3	2
113	и если	3	2
114	одной из	3	2
115	как раз	4	2
116	и является	4	2
117	только не	4	2
118	за пределы	4	2
119	еще в	2	2
120	была бы	2	2
121	не с	4	2
122	что и	3	2
123	не есть	2	2
124	на него	2	2
125	вместе с	2	2
126	художественного целого	7	2
127	он в	4	2
128	приводит к	3	2
129	не так	4	2
130	в результате	3	2
131	между тем	2	2
132	на его	3	2
133	данного произведения	2	2
134	ничего не	9	2
135	жизни но	2	2
136	в произведении	2	2
137	с ним	2	2
138	в эту	3	2
139	произведения как	2	2
