N	2gram	Ircho_Kome_1	OGranits
1	и в	22	13
2	и его	8	12
3	прежде всего	5	9
4	не может	2	8
5	и не	8	8
6	может быть	9	8
7	точки зрения	4	7
8	в его	5	7
9	таким образом	8	6
10	не только	10	6
11	то что	2	6
12	только в	3	6
13	все же	3	5
14	то же	6	4
15	все это	5	4
16	еще и	2	4
17	мы не	3	4
18	мы можем	4	4
19	было бы	2	4
20	в сознании	3	4
21	но в	4	4
22	отношению к	3	3
23	что в	6	3
24	но и	11	3
25	так и	5	3
26	в их	4	3
27	по отношению	3	3
28	и все	3	3
29	в одном	8	3
30	здесь мы	3	3
31	да и	3	3
32	как и	9	3
33	не в	6	3
34	за пределы	2	3
35	в которой	6	3
36	г в	4	3
37	в себе	2	3
38	так как	4	3
39	еще в	5	2
40	не менее	3	2
41	для себя	2	2
42	уже в	5	2
43	и тем	2	2
44	в нем	4	2
45	ее в	2	2
46	в целом	3	2
47	в отношении	6	2
48	другой стороны	5	2
49	с другой	5	2
50	в них	3	2
51	а в	6	2
52	с одной	3	2
53	в течение	3	2
54	вовсе не	2	2
55	на две	2	2
56	в тех	3	2
57	к тому	6	2
58	как в	5	2
59	в чем	3	2
60	для исследования	2	2
61	в г	11	2
62	в том	11	2
63	так же	3	2
64	не мог	3	2
65	том что	12	2
66	в своих	2	2
67	что они	4	2
68	в этом	3	2
69	тем что	4	2
70	между тем	5	2
71	могут быть	3	2
72	при этом	5	2
73	чем же	2	2
74	к сожалению	2	2
75	связанные с	2	2
76	и ее	3	2
77	в другом	4	2
78	тот же	3	2
79	одной стороны	3	2
80	в действительности	2	2
81	несмотря на	4	2
82	в области	2	2
83	в самом	2	2
84	мог бы	2	2
85	вслед за	2	2
86	а также	4	2
