N	2gram	Tiupa_Hudo_2	FransuaR
1	и в	28	41
2	мы уже	3	18
3	в нем	3	16
4	и с	6	16
5	и его	5	13
6	но и	9	13
7	как мы	2	12
8	в этом	13	12
9	все это	3	11
10	прежде всего	3	10
11	в самом	5	10
12	не только	11	10
13	то что	6	10
14	и на	3	9
15	и все	7	9
16	о том	12	9
17	никогда не	5	8
18	в этой	5	8
19	но в	2	8
20	у него	5	7
21	в них	3	7
22	вовсе не	2	7
23	том что	19	7
24	как бы	5	7
25	как и	11	7
26	что в	5	7
27	в его	11	7
28	что он	8	6
29	один из	2	6
30	вместе с	2	6
31	или в	3	6
32	сказать что	2	6
33	в то	6	6
34	то же	6	5
35	с его	5	5
36	в одном	3	5
37	в ее	18	5
38	так же	3	5
39	же время	4	5
40	и он	3	5
41	а также	2	5
42	из них	2	5
43	так и	8	5
44	в своем	5	5
45	рядом с	5	5
46	той же	2	5
47	тем что	6	5
48	в себе	9	5
49	что это	5	5
50	все время	3	4
51	с другой	3	4
52	та же	2	4
53	и от	2	4
54	роль в	2	4
55	именно в	2	4
56	не в	13	4
57	все что	3	4
58	одной стороны	3	4
59	в ней	3	4
60	в котором	6	4
61	все же	2	4
62	не может	4	4
63	с одной	3	4
64	как в	5	4
65	самом деле	3	4
66	именно на	2	4
67	того чтобы	4	4
68	а в	6	4
69	в основе	2	4
70	в другом	2	4
71	с ним	7	4
72	перед нами	11	3
73	он сам	2	3
74	во втором	2	3
75	в духе	2	3
76	одной из	3	3
77	как у	2	3
78	они и	2	3
79	до сих	2	3
80	они были	2	3
81	было бы	3	3
82	и сам	5	3
83	говорили о	2	3
84	людей в	2	3
85	жизни и	6	3
86	сих пор	2	3
87	и для	2	3
88	при этом	11	3
89	и не	18	3
90	те же	2	3
91	что не	2	3
92	между ними	2	3
93	к нему	3	3
94	с другими	3	3
95	в данном	2	3
96	только в	4	3
97	в первом	2	3
98	потому что	2	3
99	это уже	2	2
100	в частности	7	2
101	в этих	3	2
102	все они	3	2
103	характерно что	3	2
104	превращается в	4	2
105	себе в	2	2
106	всю ночь	3	2
107	а за	2	2
108	человека и	3	2
109	что все	3	2
110	для нас	3	2
111	в том	15	2
112	раз в	3	2
113	с мотивом	2	2
114	что они	4	2
115	на этом	2	2
116	но не	4	2
117	есть и	3	2
118	может быть	8	2
119	в своей	6	2
120	он не	4	2
121	лицо и	2	2
122	себя в	8	2
123	данном случае	2	2
124	как раз	4	2
125	что даже	2	2
126	и другие	5	2
127	страх в	2	2
128	как это	7	2
129	лишь в	2	2
130	а не	14	2
131	и у	2	2
132	с точки	2	2
133	внимание на	3	2
134	к себе	3	2
135	характер и	2	2
136	которая была	2	2
137	и то	2	2
138	между тем	8	2
139	точки зрения	2	2
140	из этих	2	2
141	говорить о	2	2
142	страх перед	2	2
143	в последней	2	2
144	как он	3	2
145	уже отмечали	3	2
146	это было	2	2
147	как о	3	2
148	а для	2	2
