N	2gram	Ircho_Kome_2	Analitik
1	в качестве	5	31
2	может быть	11	29
3	в том	11	27
4	не может	3	22
5	и не	14	21
6	в частности	4	19
7	и в	26	18
8	но и	10	17
9	отнюдь не	2	15
10	не только	7	15
11	не в	2	14
12	как и	4	13
13	в его	4	13
14	в этом	10	13
15	том что	9	12
16	но не	3	10
17	то же	3	9
18	а в	3	9
19	в то	6	9
20	в мире	2	8
21	в той	2	8
22	в принципе	2	8
23	но в	3	8
24	к тому	12	7
25	это не	2	6
26	прежде всего	4	6
27	перед лицом	2	6
28	же время	3	6
29	в самом	4	6
30	себя в	3	6
31	то что	6	6
32	в своей	3	6
33	в отличие	2	6
34	отличие от	2	6
35	по отношению	3	6
36	точки зрения	4	6
37	только в	4	6
38	мы имеем	2	6
39	в этой	3	5
40	что в	9	5
41	как бы	2	5
42	отношению к	3	5
43	в целом	4	5
44	в их	3	5
45	и его	12	5
46	между тем	4	5
47	и на	7	5
48	о том	6	5
49	столь же	9	4
50	с другой	2	4
51	не всегда	2	4
52	ни в	5	4
53	тому же	11	4
54	того же	3	4
55	для того	5	4
56	все же	4	4
57	вместе с	9	4
58	так и	12	4
59	дело с	3	4
60	ни было	2	4
61	не более	2	4
62	более чем	4	4
63	из которых	3	4
64	не следует	2	4
65	как правило	3	4
66	место в	4	3
67	том числе	3	3
68	с его	5	3
69	и есть	2	3
70	однако в	2	3
71	в нашем	2	3
72	то ни	2	3
73	хотя бы	2	3
74	и все	2	3
75	в нем	6	3
76	и к	2	3
77	что он	5	3
78	и т	2	3
79	в силу	2	3
80	как известно	2	3
81	еще не	6	3
82	одной стороны	2	3
83	никто не	3	3
84	одним из	2	3
85	он не	2	3
86	в котором	3	3
87	если в	2	3
88	даже в	2	3
89	что и	7	3
90	бы то	2	3
91	таким образом	6	3
92	с одной	2	3
93	того чтобы	6	3
94	к нему	3	3
95	т п	2	3
96	в наиболее	4	3
97	могла бы	3	3
98	как будто	4	3
99	как он	3	3
100	если бы	9	3
101	в состав	2	3
102	в какой	2	2
103	не является	2	2
104	из этих	4	2
105	вовсе не	2	2
106	вопрос о	3	2
107	что именно	2	2
108	в начале	4	2
109	х годов	2	2
110	и сам	3	2
111	отношение к	2	2
112	было бы	8	2
113	еще в	4	2
114	нет и	2	2
115	один из	5	2
116	из них	7	2
117	не говоря	2	2
118	со стороны	2	2
119	на этом	2	2
120	той же	3	2
121	в двух	6	2
122	едва ли	14	2
123	роль в	2	2
124	как мы	4	2
125	на себя	7	2
126	из четырех	2	2
127	что из	2	2
128	в первом	2	2
129	которые в	2	2
130	так как	4	2
131	потому что	6	2
132	в которой	5	2
133	и с	5	2
134	мира в	4	2
