N	2gram	Vinokur_Ku_2	Literetu
1	не только	20	24
2	при этом	2	19
3	в качестве	8	17
4	но и	7	17
5	а не	10	16
6	в том	19	16
7	в частности	2	15
8	том что	11	14
9	может быть	15	13
10	в году	2	13
11	и не	16	12
12	в этом	18	12
13	состоит в	2	11
14	прежде всего	8	11
15	в своем	2	11
16	своего рода	4	11
17	то что	9	10
18	или иначе	3	9
19	так или	2	8
20	не в	8	8
21	и в	23	8
22	только в	5	8
23	как это	5	8
24	не менее	7	7
25	я не	5	7
26	в его	5	7
27	как бы	4	7
28	уже не	8	7
29	отказ от	2	7
30	как и	2	6
31	связи с	3	6
32	того что	3	6
33	точки зрения	14	6
34	казалось бы	3	5
35	с этой	2	5
36	что он	5	5
37	же в	3	5
38	же время	3	5
39	в конечном	2	5
40	а также	3	5
41	как в	3	5
42	не может	9	5
43	то же	6	5
44	в отличие	2	5
45	уже в	3	5
46	тем самым	2	5
47	в данном	4	5
48	в то	4	5
49	отличие от	2	5
50	конечном счете	2	4
51	для этого	3	4
52	это не	6	4
53	в конце	4	4
54	в силу	7	4
55	но не	6	4
56	еще не	5	4
57	и тем	5	4
58	все же	7	4
59	по преимуществу	2	4
60	в своей	2	4
61	данном случае	2	4
62	со стороны	4	4
63	так и	4	4
64	никогда не	2	4
65	в связи	4	4
66	всего лишь	3	4
67	лишь в	5	4
68	и его	3	4
69	как раз	3	4
70	в своих	2	4
71	не как	2	4
72	в этой	6	4
73	не было	4	3
74	что в	10	3
75	и есть	2	3
76	с другой	8	3
77	одного из	2	3
78	сводится к	3	3
79	да и	6	3
80	аналогии с	3	3
81	в пределах	4	3
82	в самом	12	3
83	несмотря на	5	3
84	у него	3	3
85	же и	2	3
86	в сфере	3	3
87	один из	5	3
88	всего в	3	3
89	ли не	2	3
90	в их	2	3
91	приводит к	5	3
92	а в	3	3
93	таким образом	5	3
94	еще и	2	3
95	этой точки	2	3
96	тем же	2	3
97	и даже	2	3
98	той же	2	3
99	потому что	25	3
100	во всяком	5	3
101	нуждается в	2	3
102	он и	2	3
103	но в	11	3
104	также и	5	3
105	тех же	2	3
106	в области	11	3
107	в виду	3	3
108	на этом	3	2
109	этого не	3	2
110	должна быть	5	2
111	отнюдь не	4	2
112	все они	2	2
113	превращается в	2	2
114	так называемых	2	2
115	дело не	2	2
116	их не	2	2
117	различие между	3	2
118	к тому	4	2
119	а только	3	2
120	тем не	6	2
121	в другом	2	2
122	в нашей	4	2
123	что я	4	2
124	того же	3	2
125	было бы	15	2
126	по поводу	2	2
127	мы в	2	2
128	всяком случае	5	2
129	должен быть	5	2
130	говоря уже	2	2
131	в нем	4	2
132	на том	2	2
133	в сущности	9	2
134	этой книге	3	2
135	не говоря	2	2
136	то и	3	2
137	не на	2	2
138	этой цели	2	2
139	этом отношении	3	2
140	с одной	2	2
141	все эти	12	2
142	есть наиболее	2	2
143	чтобы не	2	2
144	самом деле	9	2
145	что не	6	2
146	что такое	3	2
147	бы на	2	2
148	хотя бы	9	2
149	с точки	8	2
150	своей собственной	3	2
151	что для	2	2
152	роль в	2	2
153	можно было	9	2
154	и то	5	2
155	между тем	6	2
156	тем что	3	2
157	могут быть	4	2
158	как будто	2	2
159	ту же	6	2
160	это всего	2	2
161	на это	3	2
