N	2gram	Propp_Isto_2	slovoVRo
1	и в	15	39
2	может быть	17	37
3	и т	19	35
4	и его	3	33
5	не только	18	24
6	и не	11	22
7	но и	14	21
8	не может	5	20
9	в нем	7	19
10	все это	3	16
11	в этом	11	16
12	так и	5	15
13	а не	5	14
14	слова в	2	13
15	как в	5	13
16	во всех	2	12
17	не в	7	9
18	и с	4	9
19	прежде всего	5	8
20	таким образом	7	8
21	при этом	4	7
22	еще не	9	7
23	в его	6	7
24	как бы	6	7
25	никогда не	15	7
26	в этих	11	7
27	могут быть	2	7
28	в него	2	7
29	этом случае	5	6
30	все же	9	6
31	как и	2	6
32	но не	2	6
33	она не	5	6
34	в сущности	2	6
35	все эти	4	6
36	так сказать	2	6
37	но в	6	6
38	с другой	2	5
39	это не	2	5
40	и для	2	5
41	для нас	4	5
42	том что	7	5
43	но все	5	5
44	одной стороны	3	5
45	только в	6	5
46	в том	6	5
47	например в	2	5
48	и их	2	5
49	один из	8	5
50	с одной	4	5
51	человека в	2	5
52	и наконец	5	5
53	с ними	2	5
54	всех этих	3	4
55	и др	4	4
56	себя и	2	4
57	на образ	2	4
58	ни в	2	4
59	отношению к	3	4
60	одна из	2	4
61	в основном	2	4
62	по отношению	3	4
63	его не	2	4
64	то же	10	4
65	а в	12	4
66	с другими	2	4
67	и на	4	4
68	его в	10	4
69	здесь не	2	4
70	так как	14	4
71	перед нами	2	3
72	что в	12	3
73	материал в	2	3
74	хотя бы	2	3
75	не столько	2	3
76	здесь в	2	3
77	что и	6	3
78	но это	4	3
79	связи с	8	3
80	у него	4	3
81	и часто	2	3
82	в ней	4	3
83	к нему	5	3
84	в некоторых	2	3
85	в свете	2	3
86	а также	2	3
87	той же	2	3
88	связан с	5	3
89	сказать что	2	3
90	и социальной	2	3
91	в особенности	2	3
92	как это	3	3
93	уже в	2	2
94	не было	2	2
95	и более	2	2
96	и другие	4	2
97	его и	4	2
98	на котором	2	2
99	но он	4	2
100	того как	4	2
101	в себе	4	2
102	и здесь	9	2
103	что он	24	2
104	с ее	2	2
105	в нее	2	2
106	мы увидим	8	2
107	этих случаях	10	2
108	мы уже	6	2
109	или на	4	2
110	к материалу	2	2
111	с одним	3	2
112	же и	3	2
113	к ней	2	2
114	о нем	4	2
115	не все	2	2
116	сих пор	7	2
117	на его	2	2
118	мы видели	2	2
119	то что	12	2
120	вместе с	7	2
121	на него	5	2
122	а именно	3	2
123	в их	3	2
124	кроме того	2	2
125	так в	3	2
126	есть на	2	2
127	в связи	5	2
128	с этим	5	2
129	т д	18	2
130	всех сторон	4	2
131	именно в	2	2
132	в себя	3	2
133	мы не	3	2
134	они не	4	2
135	того чтобы	2	2
136	роль в	3	2
137	или в	2	2
138	он не	8	2
139	эти слова	3	2
140	в другом	9	2
141	не знает	2	2
142	о том	3	2
143	как он	3	2
144	только с	2	2
145	в одном	5	2
146	из него	2	2
147	до сих	6	2
