N	2gram	Tiupa_Teor_1	VerxiiNi
1	и в	18	26
2	таким образом	3	22
3	вместе с	2	15
4	в этом	8	15
5	точки зрения	9	13
6	как бы	5	12
7	в том	16	11
8	может быть	17	10
9	не только	16	10
10	из этих	3	10
11	что в	9	9
12	но и	9	9
13	в области	4	9
14	с другой	7	8
15	но не	9	8
16	и не	13	8
17	том что	9	7
18	одной стороны	2	7
19	то что	3	7
20	а с	3	7
21	с одной	2	7
22	потому что	3	7
23	но в	9	7
24	в конце	2	6
25	к тому	2	6
26	и потому	2	6
27	того же	3	6
28	что и	2	6
29	так и	10	6
30	все это	2	6
31	в отношении	3	6
32	все эти	2	6
33	с точки	3	6
34	в себе	9	6
35	и т.д	3	6
36	том числе	2	5
37	и к	3	5
38	отношение к	5	5
39	одной из	2	5
40	в его	6	5
41	никогда не	4	5
42	к жизни	2	5
43	или менее	2	5
44	так же	2	5
45	лишь в	6	5
46	а не	9	5
47	и для	2	5
48	в мире	19	5
49	более или	2	5
50	в этих	3	4
51	в нем	4	4
52	в самом	4	4
53	не может	4	4
54	а в	13	4
55	то же	7	4
56	и что	3	4
57	и по	2	4
58	с другими	5	4
59	он не	3	4
60	в то	6	4
61	только в	6	4
62	то есть	12	4
63	в этой	3	4
64	далеко не	2	4
65	не менее	4	3
66	в рамках	7	3
67	и другие	2	3
68	если бы	3	3
69	из которого	3	3
70	так или	4	3
71	можно сказать	3	3
72	для него	2	3
73	и как	2	3
74	представляет собой	9	3
75	в своем	4	3
76	в качестве	24	3
77	случае не	2	3
78	и о	4	3
79	не вполне	2	3
80	если в	2	3
81	духовной культуры	2	3
82	тем не	3	3
83	отношению к	4	3
84	при этом	12	3
85	уже не	4	3
86	того что	4	3
87	и даже	2	3
88	в которой	2	3
89	или иначе	5	3
90	в одном	2	3
91	есть как	2	2
92	не могут	2	2
93	с его	5	2
94	только не	2	2
95	именно в	3	2
96	состоит в	17	2
97	в них	2	2
98	превращается в	2	2
99	и особенно	2	2
100	прежде всего	2	2
101	в свою	3	2
102	или иной	4	2
103	а также	6	2
104	к его	2	2
105	и здесь	2	2
106	без остатка	2	2
107	по своему	2	2
108	же время	5	2
109	еще не	4	2
110	и больше	2	2
111	вслед за	2	2
112	и является	2	2
113	не могло	2	2
114	один из	2	2
115	не с	3	2
116	быть и	2	2
117	приводит к	5	2
118	отличается от	2	2
119	мы имеем	7	2
120	в самой	2	2
121	в одно	2	2
122	одним из	2	2
123	сказать что	3	2
124	не в	7	2
125	по своей	3	2
126	и это	2	2
127	к которому	3	2
128	между тем	5	2
129	в виду	5	2
