N	2gram	Propp_Russ_1	VeschiIm
1	т е	17	42
2	не может	4	33
3	не только	22	31
4	может быть	8	29
5	и не	6	28
6	и в	36	26
7	то что	6	24
8	значит что	2	22
9	и т	10	21
10	т д	9	20
11	а не	2	20
12	не просто	2	18
13	что она	2	14
14	только в	4	14
15	и что	4	13
16	того что	4	13
17	что это	3	12
18	но и	16	12
19	все же	5	12
20	таким образом	6	11
21	а и	5	11
22	то же	3	10
23	уже не	6	10
24	в ней	2	10
25	как бы	5	10
26	потому что	10	10
27	не значит	2	10
28	в том	17	9
29	и с	2	9
30	себя и	2	8
31	иное как	2	8
32	но это	4	8
33	что иное	2	8
34	не что	2	8
35	ничего не	3	8
36	в свете	2	7
37	так как	15	7
38	е в	8	7
39	том что	19	7
40	и их	4	7
41	и пр	2	7
42	в этом	12	7
43	так что	2	6
44	и как	2	6
45	что они	7	6
46	но что	2	6
47	что в	19	6
48	точки зрения	3	6
49	но в	2	6
50	она не	2	6
51	с ним	2	6
52	не менее	3	5
53	это не	10	5
54	тем не	3	5
55	свою очередь	2	5
56	еще не	4	5
57	и до	2	5
58	для этого	2	5
59	а в	9	5
60	с тем	8	5
61	отнюдь не	2	5
62	в свою	3	5
63	у нас	8	5
64	одна из	4	5
65	но не	2	5
66	и для	2	5
67	на себя	2	5
68	в своем	3	4
69	независимо от	2	4
70	в отдельности	2	4
71	из них	8	4
72	судить о	2	4
73	в их	4	4
74	в и	17	4
75	с этим	2	4
76	о том	8	4
77	и более	2	4
78	как и	10	4
79	во всех	4	4
80	и потому	2	4
81	что и	7	4
82	быть и	2	4
83	этот вопрос	2	4
84	с точки	3	4
85	мы не	6	4
86	тем что	4	4
87	же не	2	4
88	но даже	2	3
89	что именно	2	3
90	к тому	4	3
91	несмотря на	3	3
92	на этом	3	3
93	в нем	2	3
94	все это	6	3
95	их в	3	3
96	мы имеем	4	3
97	к другому	2	3
98	в одном	3	3
99	в жизни	2	3
100	один из	8	3
101	мы видим	2	3
102	между прочим	2	3
103	к ней	2	3
104	как можно	2	3
105	вместе с	10	3
106	так и	7	3
107	только на	3	3
108	а с	4	3
109	с в	4	3
110	в частности	2	2
111	его и	2	2
112	тому что	4	2
113	на все	2	2
114	что на	4	2
115	но все	3	2
116	что ему	2	2
117	переход от	2	2
118	но она	2	2
119	а а	25	2
120	в разных	3	2
121	так же	3	2
122	в своих	2	2
123	в более	2	2
124	говорится о	2	2
125	как это	8	2
126	то есть	3	2
127	мы можем	2	2
128	но они	3	2
129	о чем	3	2
130	с собой	4	2
131	не с	3	2
132	в силу	2	2
133	на этой	2	2
134	в качестве	3	2
135	об этом	9	2
136	когда он	2	2
137	как в	5	2
138	находится в	2	2
139	приводит к	3	2
140	тогда как	2	2
141	как мы	10	2
142	в в	2	2
143	можно говорить	2	2
144	тут же	2	2
145	не случайно	2	2
146	в особенности	2	2
