N	2gram	Nazirov_Vr_1	Analitik
1	не только	9	22
2	тогда как	2	20
3	и в	8	18
4	как и	6	14
5	в этом	8	14
6	но и	7	13
7	и его	3	13
8	том что	3	12
9	и не	5	12
10	при этом	4	11
11	а в	2	10
12	как бы	4	10
13	может быть	4	9
14	что в	7	9
15	в том	3	9
16	с его	3	8
17	и даже	6	8
18	в его	3	7
19	в русской	3	7
20	как раз	2	7
21	в начале	6	6
22	для него	2	6
23	еще не	2	6
24	в этой	2	6
25	он не	3	6
26	о том	4	6
27	никогда не	2	5
28	в конце	3	5
29	в свою	2	5
30	в мире	2	5
31	и т.п	2	5
32	уже не	2	5
33	между тем	5	5
34	не менее	2	4
35	о чем	2	4
36	отнюдь не	2	4
37	в своем	3	4
38	столь же	2	4
39	что он	4	4
40	и как	3	4
41	и а	2	4
42	все же	6	4
43	русской литературе	3	4
44	таким образом	2	4
45	далеко не	3	4
46	уже в	4	3
47	к этому	3	3
48	же время	5	3
49	все это	4	3
50	так в	2	3
51	то же	5	3
52	не было	5	3
53	в году	18	3
54	точки зрения	2	3
55	но как	2	3
56	в то	5	3
57	его в	3	3
58	ответ на	2	3
59	нашего времени	2	3
60	в них	2	2
61	это не	4	2
62	о себе	3	2
63	с нею	2	2
64	в нем	6	2
65	и ее	2	2
66	несмотря на	4	2
67	же в	2	2
68	в романе	6	2
69	одна из	2	2
70	в ней	4	2
71	об этом	5	2
72	а также	2	2
73	то что	7	2
74	вместе с	2	2
75	не может	2	2
76	отношения к	2	2
77	о которой	2	2
78	в той	2	2
79	не мог	2	2
80	с точки	2	2
81	и он	2	2
82	из повести	2	2
83	в глазах	2	2
84	в момент	2	2
85	тем что	3	2
86	в себе	2	2
87	и все	7	2
88	но в	6	2
