N	2gram	Losev_Vlad_1	Myslijsy
1	потому что	11	49
2	для нас	4	31
3	то есть	3	30
4	и в	31	24
5	может быть	6	23
6	то что	18	20
7	и не	17	19
8	в том	11	18
9	что в	14	16
10	не только	24	15
11	того же	6	14
12	при этом	2	13
13	было бы	2	13
14	не в	5	13
15	но не	3	12
16	не может	6	12
17	то же	6	12
18	что мы	2	11
19	что и	5	11
20	вместе с	3	11
21	только в	9	11
22	таким образом	3	11
23	для него	7	10
24	в себе	4	10
25	так что	10	10
26	как в	3	10
27	так как	8	10
28	вовсе не	5	9
29	в нем	4	9
30	но и	19	9
31	то и	2	9
32	под влиянием	3	8
33	а в	9	8
34	том что	14	8
35	более или	3	8
36	или менее	3	8
37	и на	3	8
38	в этом	14	8
39	во всяком	2	7
40	всяком случае	2	7
41	как и	4	7
42	того что	2	7
43	тем что	2	7
44	в чем	2	7
45	с другой	3	6
46	и как	4	6
47	по поводу	12	6
48	тем не	2	6
49	и т	2	6
50	не было	5	6
51	в то	8	6
52	уже в	7	5
53	не менее	2	5
54	с ним	5	5
55	что они	3	5
56	тот же	3	5
57	на то	5	5
58	о том	11	5
59	так и	6	5
60	в них	2	5
61	для того	2	5
62	из них	2	5
63	все же	3	5
64	в которой	4	5
65	место в	2	4
66	во время	3	4
67	главным образом	4	4
68	никогда не	9	4
69	из этих	2	4
70	образом в	2	4
71	что он	12	4
72	уже не	3	4
73	еще не	2	4
74	и если	5	4
75	в самом	2	4
76	между прочим	11	4
77	в котором	6	4
78	с а	9	4
79	если не	3	4
80	и что	6	4
81	тем самым	2	4
82	от него	2	4
83	как он	4	4
84	то время	2	4
85	с тем	2	4
86	но в	12	4
87	для меня	4	4
88	но даже	2	3
89	так например	2	3
90	и от	5	3
91	и все	4	3
92	на все	2	3
93	но мы	2	3
94	хотя и	4	3
95	этого последнего	2	3
96	что на	2	3
97	о которой	3	3
98	все что	2	3
99	кажется что	2	3
100	но это	3	3
101	но она	3	3
102	в целом	3	3
103	на него	3	3
104	со стороны	2	3
105	что она	2	3
106	только что	2	3
107	что его	4	3
108	в нас	4	3
109	т д	2	3
110	и притом	3	3
111	и у	4	3
112	и для	2	3
113	как на	2	3
114	той же	2	3
115	что для	4	3
116	с ними	2	3
117	и то	10	3
118	в каком	2	3
119	и вообще	4	3
120	и весь	2	2
121	но на	3	2
122	время и	2	2
123	этом смысле	4	2
124	и затем	2	2
125	с в	3	2
126	в нашем	4	2
127	и его	7	2
128	что у	4	2
129	но он	5	2
130	хотя бы	2	2
131	не столько	2	2
132	и это	2	2
133	а к	22	2
134	в жизни	3	2
135	что все	2	2
136	к этому	6	2
137	с его	11	2
138	мы знаем	2	2
139	у нас	6	2
140	которой мы	2	2
141	за пределы	3	2
142	с первого	2	2
143	все эти	3	2
144	совсем не	4	2
145	у него	15	2
146	же время	4	2
147	но что	3	2
148	что с	2	2
149	и тот	2	2
150	в общем	3	2
151	некоторое время	2	2
152	чувства к	3	2
153	нет возможности	2	2
154	к ней	4	2
155	его на	2	2
156	в его	12	2
157	и потому	6	2
158	для нее	2	2
159	один из	4	2
160	ни с	4	2
161	указывает на	2	2
162	все это	5	2
163	другой стороны	3	2
164	в связи	3	2
165	а а	4	2
166	а с	5	2
167	прибавить что	2	2
168	и других	2	2
169	но только	3	2
170	того чтобы	2	2
171	что такое	2	2
172	и по	8	2
173	как это	7	2
174	и здесь	3	2
175	имеют для	2	2
176	сказать что	7	2
177	то мы	3	2
178	даже и	9	2
179	во всем	4	2
180	о котором	2	2
181	мы должны	2	2
182	на этом	2	2
183	а это	2	2
184	это было	6	2
