N	3gram	Vinokur_Ku_1	Komedia
1	до сих пор	4	9
2	в том что	15	9
3	в свою очередь	3	6
4	в самом деле	7	6
5	для того чтобы	15	6
6	то же время	2	4
7	о том что	5	4
8	в то же	2	4
9	и в самом	2	3
10	в связи с	3	3
11	во всяком случае	5	3
12	с точки зрения	9	3
13	вместе с тем	3	3
14	по отношению к	8	3
15	речь идет о	2	3
16	о том как	3	3
17	тем не менее	4	3
18	и т п	18	3
19	в этом случае	2	2
20	с другой стороны	6	2
21	в этом отношении	5	2
22	состоит в том	3	2
23	т е в	2	2
24	то обстоятельство что	8	2
25	но все же	2	2
26	так или иначе	2	2
