N	2gram	Bakhtin_Fr_3	UchenyiS
1	и в	40	14
2	а не	5	10
3	не только	13	10
4	и не	13	8
5	прежде всего	16	8
6	то что	5	7
7	в этом	15	7
8	не может	3	7
9	может быть	9	6
10	хотя бы	2	5
11	все это	4	5
12	то же	7	5
13	но и	11	4
14	в этой	3	4
15	в их	4	4
16	конечно не	2	4
17	с другой	2	4
18	но в	8	3
19	как и	11	3
20	все же	2	3
21	в своей	6	3
22	в частности	3	3
23	для этого	3	3
24	же время	6	3
25	для него	5	3
26	это не	2	3
27	в то	6	3
28	было бы	4	3
29	в области	4	3
30	у нас	4	3
31	но конечно	2	2
32	форму и	2	2
33	том что	4	2
34	но не	2	2
35	в том	8	2
36	мы не	2	2
37	с его	3	2
38	всех этих	3	2
39	и для	5	2
40	но это	3	2
41	представляется нам	2	2
42	о чем	2	2
43	если бы	3	2
44	нас в	2	2
45	только в	3	2
46	и с	8	2
47	тем что	3	2
48	сих пор	4	2
49	даже и	2	2
50	что он	2	2
51	и у	2	2
52	в себе	3	2
53	в системе	2	2
54	как раз	5	2
55	до сих	4	2
56	в конце	3	2
57	этом отношении	2	2
58	ни от	2	2
59	в самом	6	2
60	меньшей степени	2	2
61	одним из	2	2
62	самом деле	3	2
63	что и	3	2
64	в его	13	2
65	между тем	3	2
66	таким образом	10	2
