N	2gram	Bakhtin_Fr_8	Poddanst
1	не только	8	17
2	и в	56	14
3	и не	9	12
4	в области	5	11
5	в отношении	5	10
6	в этом	14	10
7	то же	11	9
8	в том	13	9
9	в качестве	4	9
10	но в	6	9
11	в пределах	5	8
12	же время	10	7
13	в то	12	7
14	только в	9	7
15	но и	9	6
16	в ней	4	6
17	было бы	2	6
18	с другой	2	5
19	не в	3	5
20	в которых	2	5
21	и о	3	5
22	может быть	3	5
23	в котором	2	4
24	то что	3	4
25	что в	5	4
26	если бы	2	4
27	в своем	3	4
28	не может	2	4
29	и к	4	4
30	а в	2	4
31	том что	8	4
32	а также	3	4
33	как бы	11	4
34	и потому	4	4
35	в нем	8	3
36	с тем	2	3
37	это не	2	3
38	с одной	4	3
39	прежде всего	6	3
40	для того	2	3
41	с точки	2	3
42	мы не	2	3
43	и как	2	3
44	между тем	3	3
45	но не	5	3
46	точки зрения	6	3
47	в себе	4	3
48	одной стороны	2	3
49	потому что	6	3
50	хотя и	2	3
51	к началу	2	2
52	том числе	3	2
53	в мире	2	2
54	начала и	4	2
55	во всех	8	2
56	в частности	7	2
57	время в	3	2
58	друг другу	2	2
59	в них	11	2
60	все это	8	2
61	во всей	2	2
62	как раз	2	2
63	главным образом	3	2
64	и других	4	2
65	в значительной	2	2
66	а не	2	2
67	точек зрения	2	2
68	в ее	6	2
69	одна из	4	2
70	в виде	2	2
71	не было	5	2
72	из них	2	2
73	например в	4	2
74	культуры в	2	2
75	в эту	2	2
76	в его	18	2
77	и с	8	2
