N	2gram	Losev_Dial_1	DiskursI
1	в качестве	2	34
2	не только	13	28
3	в том	9	23
4	а не	14	22
5	том что	9	19
6	может быть	17	17
7	и в	18	16
8	как и	2	16
9	в этом	12	15
10	еще не	2	14
11	но и	7	14
12	прежде всего	10	11
13	но не	4	11
14	и не	30	11
15	с другой	6	10
16	как в	2	10
17	в частности	2	9
18	в нем	16	9
19	одной стороны	2	9
20	не может	12	9
21	с одной	2	9
22	отнюдь не	9	8
23	так и	9	8
24	о том	4	8
25	но в	6	8
26	в основе	3	7
27	в его	3	7
28	со стороны	2	7
29	то же	10	7
30	не было	6	7
31	в себе	11	7
32	только в	3	7
33	не в	6	7
34	в своем	5	6
35	и как	7	6
36	ни к	2	6
37	к тому	4	5
38	или иной	3	5
39	можно сказать	6	5
40	тому же	2	5
41	как бы	11	5
42	в котором	4	5
43	в своей	2	5
44	то что	13	5
45	а с	2	5
46	а в	5	5
47	в их	3	5
48	в эпоху	2	5
49	в данном	3	5
50	что в	13	4
51	не является	3	4
52	в них	3	4
53	не как	2	4
54	что он	11	4
55	уже не	2	4
56	для него	2	4
57	же время	4	4
58	и о	3	4
59	отношение к	5	4
60	в особенности	5	4
61	что не	7	4
62	в которых	2	4
63	потому что	14	4
64	могут быть	3	4
65	это не	9	3
66	по себе	25	3
67	человеческого сознания	2	3
68	что и	3	3
69	с этим	2	3
70	в самом	3	3
71	к ним	2	3
72	той или	7	3
73	себе не	5	3
74	или на	2	3
75	один из	3	3
76	не с	5	3
77	хотя бы	6	3
78	все же	5	3
79	из них	2	3
80	как не	2	3
81	именно в	2	3
82	того что	2	3
83	другой стороны	4	3
84	и даже	13	3
85	сказать что	10	3
86	точки зрения	17	3
87	в то	6	3
88	также и	7	3
89	и потому	3	3
90	в противоположность	5	2
91	но они	2	2
92	по мере	2	2
93	не менее	2	2
94	и есть	16	2
95	а о	2	2
96	никогда не	9	2
97	по крайней	4	2
98	и все	3	2
99	в каждом	2	2
100	к этому	2	2
101	стороны и	3	2
102	об этом	4	2
103	крайней мере	4	2
104	более или	3	2
105	на этом	2	2
106	мифа как	2	2
107	чем он	2	2
108	указывает на	3	2
109	отличается от	2	2
110	хотя и	4	2
111	точка зрения	2	2
112	не есть	40	2
113	дело не	2	2
114	или менее	3	2
115	что же	3	2
116	мысли и	3	2
117	для своего	2	2
118	отношения к	3	2
119	может и	4	2
120	как мы	4	2
121	и что	12	2
122	в науке	3	2
123	и он	5	2
124	здесь в	2	2
125	во всяком	4	2
126	мы имеем	2	2
127	что касается	2	2
128	но как	2	2
129	он всегда	2	2
130	в другом	2	2
131	и вообще	4	2
132	что даже	2	2
133	могла бы	2	2
134	заметить что	2	2
135	в виду	5	2
136	о чем	2	2
137	это было	2	2
