N	2gram	Tiupa_Hudo_1	Analitik
1	в качестве	9	31
2	может быть	5	29
3	в том	12	27
4	не может	7	22
5	и не	2	21
6	в частности	5	19
7	и в	14	18
8	а не	12	17
9	но и	5	17
10	отнюдь не	3	15
11	не только	12	15
12	художественной реальности	3	14
13	тогда как	7	14
14	не в	7	14
15	как и	9	13
16	в его	8	13
17	в этом	11	13
18	том что	16	12
19	при этом	12	12
20	состоит в	2	11
21	в себе	11	11
22	но не	3	10
23	художественного целого	4	10
24	то же	9	9
25	а в	7	9
26	иначе говоря	2	9
27	в то	8	9
28	в мире	3	8
29	но в	5	8
30	художественного восприятия	2	7
31	к тому	7	7
32	это не	7	6
33	прежде всего	11	6
34	наш взгляд	2	6
35	же время	8	6
36	в самом	4	6
37	себя в	4	6
38	то что	8	6
39	в своей	10	6
40	в себя	2	6
41	по отношению	8	6
42	на наш	2	6
43	точки зрения	5	6
44	по своей	4	6
45	только в	5	6
46	я и	2	6
47	в этой	8	5
48	что в	6	5
49	такого рода	3	5
50	как бы	7	5
51	отношению к	8	5
52	в целом	2	5
53	в тексте	3	5
54	в их	2	5
55	лишь в	3	5
56	и его	5	5
57	между тем	8	5
58	и на	3	5
59	о том	12	5
60	на вопрос	2	4
61	того что	4	4
62	себя и	2	4
63	конечном счете	2	4
64	столь же	4	4
65	по себе	2	4
66	в литературе	3	4
67	ни в	5	4
68	внутреннего я	2	4
69	в конечном	2	4
70	все же	3	4
71	так и	13	4
72	именно в	7	4
73	уже не	7	4
74	с точки	3	4
75	в другом	2	4
76	с другим	2	4
77	не следует	2	4
78	как правило	6	4
79	всего лишь	4	4
80	с ним	4	4
81	в рамках	2	3
82	с его	5	3
83	человек в	2	3
84	однако в	2	3
85	и все	4	3
86	личности в	7	3
87	или иного	2	3
88	в нем	3	3
89	и к	4	3
90	в ходе	3	3
91	что он	9	3
92	и т	11	3
93	при встрече	2	3
94	еще не	7	3
95	что не	2	3
96	он не	4	3
97	о нем	3	3
98	литературоведческого анализа	2	3
99	если в	2	3
100	даже в	3	3
101	встрече с	3	3
102	а с	2	3
103	от себя	2	3
104	того чтобы	3	3
105	того или	2	3
106	в таком	3	3
107	не случайно	7	3
108	автора и	2	3
109	т п	8	3
110	как будто	4	3
111	в равной	3	3
112	будто бы	3	3
113	как он	2	3
114	в художественном	2	3
115	а также	3	3
116	если бы	3	3
117	своего рода	7	3
118	в творческом	3	2
119	только для	2	2
120	быть может	7	2
121	на фоне	2	2
122	никогда не	6	2
123	все эти	3	2
124	не столько	2	2
125	установкой на	2	2
126	человеческого я	4	2
127	бытия и	4	2
128	вопрос о	2	2
129	художественного письма	2	2
130	можно сказать	4	2
131	в начале	2	2
132	то в	4	2
133	и потому	2	2
134	как от	2	2
135	такой же	3	2
136	в противовес	2	2
137	должно быть	2	2
138	для него	10	2
139	в пределах	3	2
140	читателя в	6	2
141	или не	3	2
142	было бы	6	2
143	несмотря на	4	2
144	на его	2	2
145	деле в	2	2
146	говоря о	2	2
147	при всей	2	2
148	и о	4	2
149	человеческого бытия	3	2
150	не о	2	2
151	еще в	3	2
152	произведения с	2	2
153	один из	4	2
154	представляют собой	2	2
155	из них	4	2
156	со стороны	3	2
157	эстетический анализ	3	2
158	что же	2	2
159	личности к	2	2
160	по выражению	2	2
161	здесь не	2	2
162	как к	3	2
163	на этом	3	2
164	же мере	2	2
165	той же	2	2
166	и читателя	4	2
167	этом отношении	3	2
168	на самом	2	2
169	самом деле	5	2
170	едва ли	3	2
171	и по	3	2
172	в т	3	2
173	особенно в	2	2
174	как мы	3	2
175	на основе	2	2
176	художественного мира	2	2
177	героя в	2	2
178	для себя	3	2
179	романа в	3	2
180	нет ничего	2	2
181	потому что	5	2
182	и с	4	2
183	перед собой	2	2
