N	2gram	Bakhtin_Pr_1	UchenyiS
1	и в	23	14
2	а не	20	10
3	не только	13	10
4	и не	34	8
5	прежде всего	7	8
6	то что	18	7
7	в этом	25	7
8	не может	11	7
9	в искусстве	2	6
10	может быть	21	6
11	в художественном	2	5
12	хотя бы	2	5
13	художественного творчества	2	5
14	все это	7	5
15	то же	10	5
16	но и	11	4
17	в этой	4	4
18	в их	3	4
19	с другой	2	4
20	но в	4	3
21	как и	8	3
22	все же	5	3
23	в своей	11	3
24	бы то	3	3
25	по нашему	5	3
26	то ни	3	3
27	же время	7	3
28	другой стороны	2	3
29	для него	15	3
30	это не	10	3
31	в то	10	3
32	не как	12	3
33	было бы	6	3
34	нашему мнению	3	3
35	в области	3	3
36	ни было	4	3
37	но конечно	2	2
38	том что	9	2
39	но не	8	2
40	в том	11	2
41	художественной формы	5	2
42	по существу	4	2
43	мы не	2	2
44	с его	6	2
45	художественного задания	2	2
46	крайней мере	2	2
47	не в	6	2
48	всех этих	3	2
49	и для	3	2
50	но это	5	2
51	бы и	4	2
52	должна была	4	2
53	должна быть	2	2
54	представляется нам	2	2
55	этом смысле	9	2
56	не столько	3	2
57	если бы	10	2
58	только в	8	2
59	и с	4	2
60	тем что	3	2
61	сих пор	2	2
62	что он	10	2
63	и у	4	2
64	в себе	5	2
65	как раз	4	2
66	до сих	2	2
67	в конце	5	2
68	могли бы	3	2
69	что все	3	2
70	этом отношении	5	2
71	в самом	8	2
72	не могут	6	2
73	по себе	7	2
74	а его	3	2
75	одним из	8	2
76	ничего не	6	2
77	самом деле	5	2
78	а как	6	2
79	по крайней	2	2
80	что она	2	2
81	что и	5	2
82	в его	24	2
83	между тем	5	2
84	конце концов	4	2
85	таким образом	11	2
