N	2gram	Vinokur_Ku_1	FransuaR
1	и в	24	45
2	и не	12	15
3	не только	10	14
4	в этом	14	14
5	но в	2	14
6	в его	12	13
7	и его	5	13
8	как бы	7	12
9	что в	17	12
10	в своем	3	11
11	то же	8	11
12	в то	2	11
13	прежде всего	9	10
14	в том	30	10
15	в нем	4	10
16	но и	6	10
17	как и	2	10
18	и с	5	10
19	же время	2	9
20	вовсе не	10	8
21	в ней	6	8
22	таким образом	12	8
23	в самой	4	8
24	так же	4	8
25	с его	4	7
26	том что	21	7
27	не в	11	7
28	что и	4	7
29	все это	6	7
30	также и	2	7
31	потому что	23	7
32	и все	2	7
33	что он	6	6
34	в этой	3	6
35	он не	2	6
36	здесь не	3	6
37	так и	7	6
38	того чтобы	17	6
39	для того	16	6
40	связи с	7	6
41	так как	9	6
42	в них	7	6
43	с ним	5	5
44	это и	4	5
45	например в	5	5
46	одним из	2	5
47	хотя и	3	5
48	как раз	8	5
49	не может	7	5
50	в связи	3	5
51	этом отношении	5	5
52	все эти	6	5
53	на самом	2	5
54	самом деле	9	5
55	и как	2	5
56	и на	4	5
57	и здесь	3	4
58	но не	5	4
59	ничего не	2	4
60	в самом	10	4
61	в сущности	3	4
62	в общем	3	4
63	между собою	2	4
64	в их	3	4
65	не мог	2	4
66	здесь как	2	4
67	а не	8	4
68	и даже	3	4
69	как на	3	4
70	а в	5	4
71	той же	3	4
72	можно было	6	4
73	с этим	4	4
74	точки зрения	14	4
75	только в	11	4
76	о том	9	4
77	бы в	7	4
78	как это	3	4
79	это было	2	4
80	не менее	7	3
81	нисколько не	3	3
82	как в	4	3
83	это не	7	3
84	из этих	4	3
85	в одном	3	3
86	ни в	2	3
87	по существу	4	3
88	есть в	4	3
89	того же	4	3
90	в своей	2	3
91	форм в	2	3
92	как они	2	3
93	до сих	4	3
94	вместе с	7	3
95	сих пор	4	3
96	что она	3	3
97	не было	3	3
98	еще и	5	3
99	именно в	6	3
100	с помощью	7	3
101	того что	9	3
102	на этот	2	3
103	и он	3	3
104	не имеет	2	3
105	и для	2	3
106	в которых	6	3
107	нуждается в	3	3
108	там где	4	3
109	о чем	2	3
110	не могут	2	2
111	если мы	2	2
112	с тем	5	2
113	и есть	2	2
114	в сторону	2	2
115	превращается в	2	2
116	хотя бы	10	2
117	относится к	2	2
118	что все	2	2
119	в духе	3	2
120	еще один	2	2
121	значение и	2	2
122	можно сказать	3	2
123	к тому	5	2
124	слова но	2	2
125	в г	3	2
126	когда в	2	2
127	несколько слов	3	2
128	то что	9	2
129	на улице	2	2
130	во все	2	2
131	в пределах	4	2
132	в качестве	7	2
133	в большинстве	2	2
134	со словом	3	2
135	так например	2	2
136	для них	2	2
137	было бы	15	2
138	что это	5	2
139	несмотря на	3	2
140	и если	3	2
141	конечно не	2	2
142	может быть	13	2
143	в ряде	2	2
144	том же	2	2
145	если в	2	2
146	даже в	3	2
147	один из	4	2
148	должен быть	4	2
149	и мысли	2	2
150	в каждом	2	2
151	слова и	4	2
152	все же	12	2
153	в целом	4	2
154	когда он	3	2
155	на том	3	2
156	здесь только	2	2
157	связанная с	2	2
158	а именно	2	2
159	в особенности	3	2
160	при этом	6	2
161	в истории	3	2
162	можно говорить	2	2
163	лишь в	2	2
164	и что	5	2
165	в системе	3	2
166	с точки	9	2
167	рядом с	5	2
168	роль в	4	2
169	в данном	4	2
170	не столько	2	2
171	между тем	5	2
172	одно из	2	2
173	из области	4	2
174	на эту	2	2
175	уже и	3	2
176	труда и	2	2
177	том как	3	2
178	от этого	2	2
